global,time,sl_ind_empl_ma_zs
world,1991,23.92734
world,1992,23.85859
world,1993,23.86485
world,1994,23.87572
world,1995,23.79325
world,1996,23.84833
world,1997,23.84335
world,1998,23.61915
world,1999,23.48029
world,2000,23.4252
world,2001,23.40478
world,2002,23.24107
world,2003,23.40232
world,2004,23.85015
world,2005,24.37219
world,2006,25.04044
world,2007,25.76353
world,2008,25.94379
world,2009,25.96831
world,2010,26.37381
world,2011,26.84495
world,2012,27.35916
world,2013,27.43573
world,2014,27.54774
world,2015,27.46217
world,2016,27.41138
world,2017,27.31577
world,2018,27.46141
world,2019,27.26522
