global,time,sl_uem_totl_fe_zs
world,1991,4.93977
world,1992,5.04419
world,1993,5.32943
world,1994,5.65798
world,1995,5.84303
world,1996,5.92941
world,1997,6.00431
world,1998,6.14838
world,1999,6.2399
world,2000,6.03363
world,2001,6.07788
world,2002,6.28506
world,2003,6.39721
world,2004,6.30494
world,2005,6.20932
world,2006,5.92794
world,2007,5.66652
world,2008,5.58572
world,2009,6.11805
world,2010,6.07123
world,2011,5.95398
world,2012,5.92444
world,2013,5.89389
world,2014,5.76645
world,2015,5.81759
world,2016,5.86491
world,2017,5.76648
world,2018,5.55366
world,2019,5.50957
world,2020,6.46163
world,2021,6.35672
