global,time,sh_dyn_aids_fe_zs
world,1990,47.3
world,1991,47.7
world,1992,48.2
world,1993,48.8
world,1994,49.2
world,1995,49.6
world,1996,49.9
world,1997,50.2
world,1998,50.4
world,1999,50.6
world,2000,50.8
world,2001,51
world,2002,51.1
world,2003,51.2
world,2004,51.3
world,2005,51.4
world,2006,51.5
world,2007,51.6
world,2008,51.7
world,2009,51.8
world,2010,51.9
world,2011,52.1
world,2012,52.2
world,2013,52.4
world,2014,52.7
world,2015,52.9
world,2016,53.1
world,2017,53.3
world,2018,53.4
world,2019,53.6
world,2020,53.7
