global,time,se_prm_enrr_fe
world,1970,79.12489
world,1971,79.184
world,1972,80.01034
world,1973,82.32414
world,1974,83.00309
world,1975,85.91096
world,1976,87.44952
world,1977,87.67349
world,1978,86.5277
world,1979,87.04618
world,1980,88.41228
world,1981,89.27581
world,1982,89.60393
world,1983,89.52554
world,1984,90.13665
world,1985,90.78281
world,1986,92.80739
world,1987,92.40158
world,1988,93.12336
world,1989,93.40538
world,1990,93.3726
world,1991,93.19556
world,1992,92.94356
world,1993,93.16255
world,1994,93.28901
world,1995,93.47384
world,1996,92.87574
world,1997,92.66642
world,1998,93.43594
world,1999,93.90131
world,2000,94.74071
world,2001,95.73739
world,2002,96.15661
world,2003,98.73856
world,2004,99.29404
world,2005,99.73999
world,2006,100.05451
world,2007,100.94194
world,2008,101.67409
world,2009,101.81629
world,2010,101.36309
world,2011,101.83509
world,2012,102.74602
world,2013,103.9031
world,2014,102.64864
world,2015,102.38754
world,2016,104.37398
world,2017,104.1398
world,2018,100.56053
world,2019,100.81585
