geo,time,sl_ind_empl_fe_zs
afg,1991,14.56
afg,1992,14.4
afg,1993,13.91
afg,1994,14.05
afg,1995,13.79
afg,1996,13.35
afg,1997,12.93
afg,1998,12.5
afg,1999,12.01
afg,2000,11.39
afg,2001,10.59
afg,2002,11.43
afg,2003,11.52
afg,2004,11.07
afg,2005,11.53
afg,2006,11.8
afg,2007,12.69
afg,2008,12.92
afg,2009,14.81
afg,2010,16.44
afg,2011,17.3
afg,2012,18.98
afg,2013,20.11
afg,2014,21.09
afg,2015,21.88
afg,2016,22.94
afg,2017,24.28
afg,2018,24.51
afg,2019,25.02
ago,1991,2.02
ago,1992,1.94
ago,1993,1.91
ago,1994,1.85
ago,1995,1.82
ago,1996,1.79
ago,1997,1.8
ago,1998,1.84
ago,1999,1.77
ago,2000,1.77
ago,2001,1.83
ago,2002,1.79
ago,2003,1.83
ago,2004,1.84
ago,2005,1.69
ago,2006,1.57
ago,2007,1.46
ago,2008,1.35
ago,2009,1.28
ago,2010,1.16
ago,2011,1.12
ago,2012,1.08
ago,2013,1.05
ago,2014,1.02
ago,2015,1.01
ago,2016,1
ago,2017,0.97
ago,2018,0.94
ago,2019,0.92
alb,1991,6.77
alb,1992,6.85
alb,1993,6.91
alb,1994,6.99
alb,1995,7.1
alb,1996,6.72
alb,1997,6.45
alb,1998,6.49
alb,1999,6.52
alb,2000,6.62
alb,2001,6.79
alb,2002,7.03
alb,2003,7.29
alb,2004,7.48
alb,2005,7.77
alb,2006,8.19
alb,2007,8.42
alb,2008,8.85
alb,2009,10.26
alb,2010,10.64
alb,2011,11.42
alb,2012,10.56
alb,2013,10.24
alb,2014,11.75
alb,2015,14.04
alb,2016,14.84
alb,2017,15.17
alb,2018,15.66
alb,2019,16.31
are,1991,14.38
are,1992,14.23
are,1993,14.08
are,1994,13.95
are,1995,13.78
are,1996,13.74
are,1997,13.79
are,1998,13.75
are,1999,13.67
are,2000,13.66
are,2001,12.72
are,2002,11.83
are,2003,11.05
are,2004,10.32
are,2005,9.59
are,2006,9.01
are,2007,8.42
are,2008,7.91
are,2009,7.43
are,2010,7
are,2011,6.69
are,2012,6.43
are,2013,6.26
are,2014,6.14
are,2015,6.05
are,2016,5.9
are,2017,5.69
are,2018,5.53
are,2019,5.42
arg,1991,20
arg,1992,19.11
arg,1993,16.31
arg,1994,14.62
arg,1995,15.1
arg,1996,12.56
arg,1997,11.69
arg,1998,10.8
arg,1999,10.86
arg,2000,10.35
arg,2001,10.46
arg,2002,9.44
arg,2003,11.23
arg,2004,10.86
arg,2005,10.68
arg,2006,10.68
arg,2007,10.48
arg,2008,10.24
arg,2009,9.69
arg,2010,9.44
arg,2011,10.02
arg,2012,9.53
arg,2013,8.99
arg,2014,8.39
arg,2015,8.66
arg,2016,8.88
arg,2017,9.17
arg,2018,9.14
arg,2019,9.2
arm,1991,10.65
arm,1992,10.55
arm,1993,10.28
arm,1994,10.03
arm,1995,9.68
arm,1996,9.37
arm,1997,9.13
arm,1998,8.95
arm,1999,8.79
arm,2000,8.63
arm,2001,8.43
arm,2002,8.27
arm,2003,8.19
arm,2004,8.05
arm,2005,7.87
arm,2006,7.76
arm,2007,7.88
arm,2008,6.54
arm,2009,5.38
arm,2010,5.82
