global,time,ic_reg_durs
world,2003,51.5097
world,2004,48.46042
world,2005,50.72025
world,2006,47.84311
world,2007,43.31118
world,2008,39.94678
world,2009,37.72849
world,2010,35.93779
world,2011,31.87471
world,2012,31.35787
world,2013,26.77937
world,2014,24.29894
world,2015,23.40421
world,2016,23.00579
world,2017,21.49526
world,2018,20.5
world,2019,19.59738
