geo,time,er_h2o_fwst_zs
afg,1977,35.82213
afg,1982,53.15823
afg,1987,70.49433
afg,1992,63.33779
afg,1997,56.18125
afg,2002,54.75702
afg,2007,54.75702
afg,2012,54.75702
afg,2017,54.75702
afg,2018,54.75702
ago,1987,1.27321
ago,1992,1.43685
ago,1997,1.60049
ago,2002,1.76796
ago,2007,1.87188
ago,2012,1.87188
ago,2017,1.87188
ago,2018,1.87188
alb,1992,7.11274
alb,1997,8.59651
alb,2002,9.99471
alb,2007,7.49844
alb,2012,6.75685
alb,2017,6.55649
alb,2018,5.75721
are,1982,707.37781
are,1987,975.8222
are,1992,1076.40002
are,1997,1360.95996
are,2002,1499.99109
are,2007,1847.15149
are,2012,1798.36365
are,2017,1708
are,2018,1667.33337
arg,1977,7.67161
arg,1982,7.74311
arg,1987,7.81461
arg,1992,7.8861
arg,1997,8.12736
arg,2002,8.79423
arg,2007,9.71754
arg,2012,10.45666
arg,2017,10.45666
arg,2018,10.45666
arm,1997,37.32096
arm,2002,34.94049
arm,2007,60.76256
arm,2012,59.33024
arm,2017,57.79705
arm,2018,54.75086
atg,1992,4.14103
atg,1997,6.32051
atg,2002,8.5
atg,2007,9.42308
atg,2012,8.46154
atg,2017,8.46154
atg,2018,8.46154
aus,1997,8.81713
aus,2002,8.37708
aus,2007,6.58629
aus,2012,6.38038
aus,2017,4.27449
aus,2018,4.65787
aut,1982,9.49102
aut,1987,10.13595
aut,1992,10.11827
aut,1997,10.06355
aut,2002,9.88395
aut,2007,9.7337
aut,2012,9.64355
aut,2017,9.64355
aut,2018,9.64355
aze,1992,71.54781
aze,1997,55.27931
aze,2002,44.49106
aze,2007,54.18415
aze,2012,52.85935
aze,2017,53.00729
aze,2018,53.7293
bdi,1987,3.63901
bdi,1992,6.27029
bdi,1997,8.90158
bdi,2002,10.36536
bdi,2007,10.19287
bdi,2012,10.19287
bdi,2017,10.19287
bdi,2018,10.19287
bel,1982,109.66315
bel,1987,106.4715
bel,1992,103.27985
bel,1997,94.47174
bel,2002,82.74815
bel,2007,76.33907
bel,2012,65.11057
bel,2017,49.06634
bel,2018,49.06634
ben,1987,0.89749
ben,1992,1.07849
ben,1997,1.07572
ben,2002,0.97524
ben,2007,0.97524
ben,2012,0.97524
ben,2017,0.97524
ben,2018,0.97524
bfa,1987,3.00727
bfa,1992,3.59465
bfa,1997,4.51455
bfa,2002,6.84512
bfa,2007,7.82027
bfa,2012,7.82027
bfa,2017,7.82027
bfa,2018,7.82027
bgd,2012,5.72334
bgd,2017,5.72334
bgd,2018,5.72334
bgr,1982,104.54579
bgr,1987,96.30444
bgr,1992,54.14689
bgr,1997,48.63774
bgr,2002,48.70057
bgr,2007,45.84079
bgr,2012,42.23963
bgr,2017,41.82127
bgr,2018,40.09904
bhr,1992,179.10974
bhr,1997,222.73541
bhr,2002,220.61395
bhr,2007,187.09248
bhr,2012,163.73825
bhr,2017,133.70689
bhr,2018,133.70689
bih,2002,2.49336
bih,2007,2.58699
bih,2012,2.90637
bih,2017,2.66202
bih,2018,2.66202
blr,1997,6.33751
blr,2002,5.882
blr,2007,5.41463
blr,2012,5.02747
blr,2017,4.60448
blr,2018,4.58141
blz,1987,0.24956
blz,1992,0.44229
blz,1997,0.93742
blz,2002,1.26029
blz,2007,1.26029
blz,2012,1.26029
blz,2017,1.26029
blz,2018,1.26029
bol,1987,0.69899
bol,1992,0.86649
bol,1997,1.034
bol,2002,1.12649
bol,2007,1.16897
bol,2012,1.177
bol,2017,1.177
bol,2018,1.177
bra,1987,1.65674
bra,1992,2.17762
bra,1997,2.60775
bra,2002,2.68322
bra,2007,2.94184
bra,2012,3.3031
bra,2017,3.10544
bra,2018,1.4225
brb,1962,37.5
brb,1967,46.875
brb,1972,56.25
brb,1977,65.625
brb,1982,75
brb,1987,84.375
brb,1992,93.75
brb,1997,101.25
brb,2002,101.25
brb,2007,87.5
brb,2012,87.5
brb,2017,87.5
brb,2018,87.5
brn,1992,3.06456
brn,1997,3.46647
brn,2002,3.46647
brn,2007,3.46647
brn,2012,3.46647
brn,2017,3.46647
brn,2018,3.46647
btn,2012,1.41381
btn,2017,1.41381
btn,2018,1.41381
bwa,1987,1.00972
bwa,1992,1.18164
bwa,1997,1.71118
