geo,time,sl_tlf_cact_zs
bdi,2020,78.184
bdi,2021,78.201
bel,1990,48.34
bel,1991,49.27
bel,1992,49.63
bel,1993,49.73
bel,1994,50.33
bel,1995,50.54
bel,1996,50.41
bel,1997,50.52
bel,1998,50.85
bel,1999,51.91
bel,2000,52.29
bel,2001,50.89
bel,2002,51.19
bel,2003,51.35
bel,2004,52.03
bel,2005,53.3
bel,2006,53.11
bel,2007,53.59
bel,2008,53.68
bel,2009,53.47
bel,2010,54.07
bel,2011,53.2
bel,2012,53.25
bel,2013,53.56
bel,2014,53.51
bel,2015,53.31
bel,2016,53.11
bel,2017,53.84
bel,2018,54.19
bel,2019,54.39
bel,2020,53.83
bel,2021,54.257
ben,1990,72.171
ben,1991,72.172
ben,1992,72.16
ben,1993,72.119
ben,1994,72.078
ben,1995,72.037
ben,1996,71.996
ben,1997,71.955
ben,1998,71.914
ben,1999,71.873
ben,2000,71.832
ben,2001,71.791
ben,2002,71.75
ben,2003,71.764
ben,2004,71.779
ben,2005,71.793
ben,2006,71.808
ben,2007,71.822
ben,2008,71.837
ben,2009,71.851
ben,2010,71.866
ben,2011,71.88
ben,2012,71.846
ben,2013,71.806
ben,2014,71.761
ben,2015,71.712
ben,2016,71.671
ben,2017,71.624
ben,2018,71.571
ben,2019,71.513
ben,2020,70.834
ben,2021,70.947
bfa,1990,83.91
bfa,1991,83.93
bfa,1992,83.316
bfa,1993,82.682
bfa,1994,82.03
bfa,1995,81.36
bfa,1996,80.669
bfa,1997,79.96
bfa,1998,79.231
bfa,1999,78.483
bfa,2000,77.716
bfa,2001,76.929
bfa,2002,76.123
bfa,2003,75.298
bfa,2004,74.454
bfa,2005,73.591
bfa,2006,72.71
bfa,2007,71.875
bfa,2008,71.024
bfa,2009,70.159
bfa,2010,69.279
bfa,2011,68.384
bfa,2012,67.476
bfa,2013,66.554
bfa,2014,65.62
bfa,2015,65.584
bfa,2016,65.549
bfa,2017,65.511
bfa,2018,65.467
bfa,2019,65.416
bfa,2020,64.795
bfa,2021,64.871
bgd,1990,59.041
bgd,1991,58.992
bgd,1992,58.96
bgd,1993,58.942
bgd,1994,58.937
bgd,1995,58.942
bgd,1996,58.87
bgd,1997,58.811
bgd,1998,58.757
bgd,1999,58.7
bgd,2000,58.634
bgd,2001,58.549
bgd,2002,58.468
bgd,2003,58.388
bgd,2004,58.304
bgd,2005,58.213
bgd,2006,58.07
bgd,2007,57.873
bgd,2008,57.676
bgd,2009,57.478
bgd,2010,57.281
bgd,2011,57.083
bgd,2012,56.885
bgd,2013,56.686
bgd,2014,56.488
bgd,2015,56.289
bgd,2016,56.09
bgd,2017,58.33
bgd,2018,58.349
bgd,2019,58.336
bgd,2020,56.714
bgd,2021,56.971
bgr,1990,56.532
bgr,1991,56.867
bgr,1992,57.17
bgr,1993,56.306
bgr,1994,55.438
bgr,1995,54.567
bgr,1996,53.693
bgr,1997,52.817
bgr,1998,51.939
bgr,1999,51.06
bgr,2000,50.18
bgr,2001,51.37
bgr,2002,50.82
bgr,2003,49.92
bgr,2004,50.55
bgr,2005,49.69
bgr,2006,51.29
bgr,2007,52.6
bgr,2008,53.81
bgr,2009,53.02
bgr,2010,53.39
bgr,2011,52.51
bgr,2012,53.08
bgr,2013,53.9
bgr,2014,54.14
bgr,2015,54.07
bgr,2016,53.33
bgr,2017,55.35
bgr,2018,55.32
bgr,2019,56.58
bgr,2020,55.55
bgr,2021,55.628
bhr,1990,65.633
bhr,1991,65.22
bhr,1992,65.7
bhr,1993,65.7
bhr,1994,65.7
bhr,1995,65.7
bhr,1996,65.8
bhr,1997,65.8
bhr,1998,65.8
bhr,1999,65.8
bhr,2000,65.9
bhr,2001,65.71
bhr,2002,66.45
bhr,2003,67.182
bhr,2004,67.905
bhr,2005,68.62
bhr,2006,69.326
bhr,2007,70.024
bhr,2008,70.712
bhr,2009,71.391
bhr,2010,72.06
bhr,2011,71.04
bhr,2012,71.173
bhr,2013,71.306
bhr,2014,71.438
bhr,2015,71.57
bhr,2016,71.653
bhr,2017,71.782
bhr,2018,72.044
bhr,2019,72.276
bhr,2020,69.93
bhr,2021,70.306
bhs,1990,71.6
bhs,1991,72.153
bhs,1992,72.698
bhs,1993,73.238
bhs,1994,73.77
bhs,1995,73.9
bhs,1996,73.7
bhs,1997,74.9
bhs,1998,75.863
bhs,1999,76.8
bhs,2000,76.501
bhs,2001,76.2
bhs,2002,76.4
bhs,2003,76.042
bhs,2004,75.68
bhs,2005,75.235
bhs,2006,74.784
bhs,2007,74.328
bhs,2008,73.867
bhs,2009,73.4
bhs,2010,72.923
bhs,2011,72.44
bhs,2012,74.5
bhs,2013,72.7
bhs,2014,72.694
bhs,2015,72.683
bhs,2016,72.667
bhs,2017,72.639
bhs,2018,72.655
bhs,2019,72.679
bhs,2020,66.401
bhs,2021,68.438
bih,1990,46.115
bih,1991,46.555
bih,1992,46.766
bih,1993,46.808
bih,1994,46.542
bih,1995,46.198
bih,1996,45.902
bih,1997,45.699
bih,1998,45.413
bih,1999,44.799
bih,2000,44.465
bih,2001,44.203
bih,2002,43.899
bih,2003,43.677
bih,2004,43.353
bih,2005,42.923
bih,2006,42.67
bih,2007,43.42
bih,2008,43.36
bih,2009,43.18
bih,2010,44.16
bih,2011,43.66
bih,2012,43.79
bih,2013,43.33
bih,2014,43.43
bih,2015,43.89
bih,2016,43.05
bih,2017,42.29
bih,2018,41.91
bih,2019,41.8
bih,2020,42.575
bih,2021,42.014
blr,1990,57.972
blr,1991,58.031
blr,1992,58.536
blr,1993,58.965
blr,1994,59.667
blr,1995,60.32
blr,1996,60.126
blr,1997,59.452
blr,1998,58.972
blr,1999,58.77
blr,2000,59.107
blr,2001,59.444
blr,2002,59.78
blr,2003,60.114
blr,2004,60.448
blr,2005,60.781
blr,2006,61.113
blr,2007,61.443
blr,2008,61.773
blr,2009,62.102
blr,2010,62.429
blr,2011,62.756
blr,2012,63.081
blr,2013,63.405
blr,2014,63.728
blr,2015,64.05
blr,2016,64.37
blr,2017,64.43
blr,2018,64.53
blr,2019,64.348
blr,2020,64.048
blr,2021,63.734
blz,1990,55.323
blz,1991,55.639
blz,1992,55.981
blz,1993,56.136
blz,1994,56.07
blz,1995,57.019
blz,1996,57.962
blz,1997,58.9
blz,1998,58.7
blz,1999,59.3
blz,2000,59.541
blz,2001,59.782
blz,2002,60.022
blz,2003,60.262
blz,2004,60.501
blz,2005,60.74
blz,2006,60.978
blz,2007,61.215
blz,2008,61.453
blz,2009,61.689
blz,2010,61.925
blz,2011,62.161
blz,2012,62.396
blz,2013,62.63
blz,2014,63.49
blz,2015,63.871
blz,2016,64.25
blz,2017,64.03
blz,2018,64.036
blz,2019,63.972
blz,2020,60.681
blz,2021,61.611
bol,1990,69.202
bol,1991,69.505
bol,1992,69.457
bol,1993,69.665
bol,1994,69.912
bol,1995,70.162
bol,1996,70.382
bol,1997,70.66
bol,1998,70.557
bol,1999,70.454
bol,2000,70.35
bol,2001,70.753
bol,2002,71.153
bol,2003,71.55
bol,2004,71.943
bol,2005,72.333
bol,2006,72.72
bol,2007,71.88
bol,2008,71.81
bol,2009,72.12
bol,2010,72.05
bol,2011,71.98
bol,2012,68.62
bol,2013,69.3
bol,2014,71.37
bol,2015,67.08
bol,2016,67.36
bol,2017,68.63
bol,2018,71.8
bol,2019,70.68
bol,2020,64.458
bol,2021,75.99
bra,1990,61.251
bra,1991,61.223
bra,1992,61.623
bra,1993,62.021
bra,1994,62.418
bra,1995,62.813
bra,1996,61.153
bra,1997,61.953
bra,1998,62.123
bra,1999,62.643
bra,2000,63.185
bra,2001,63.723
bra,2002,64.433
bra,2003,64.383
bra,2004,65.093
bra,2005,65.733
bra,2006,65.353
bra,2007,65.053
bra,2008,64.883
bra,2009,65.073
bra,2010,63.916
bra,2011,62.743
bra,2012,62.49
bra,2013,62.35
bra,2014,62.14
bra,2015,62.24
bra,2016,62.07
bra,2017,62.36
bra,2018,62.25
bra,2019,62.61
bra,2020,57.28
bra,2021,58.408
brb,1990,67.34
brb,1991,65.19
brb,1992,66.12
brb,1993,66.798
brb,1994,67.47
brb,1995,68.16
brb,1996,67
brb,1997,67.72
brb,1998,67.77
brb,1999,67.83
brb,2000,68.696
brb,2001,69.55
brb,2002,68.49
brb,2003,69.25
brb,2004,69.68
brb,2005,69.56
brb,2006,67.87
brb,2007,67.8
brb,2008,67.62
brb,2009,66.96
brb,2010,66.6
brb,2011,67.59
brb,2012,66.19
brb,2013,66.71
brb,2014,63.88
brb,2015,63.96
brb,2016,65.44
brb,2017,64.37
brb,2018,63.57
brb,2019,62.3
brb,2020,59.338
brb,2021,59.735
brn,1990,65.489
brn,1991,65.57
brn,1992,65.812
brn,1993,66.053
brn,1994,66.293
brn,1995,66.532
brn,1996,66.771
brn,1997,67.008
brn,1998,67.245
brn,1999,67.481
brn,2000,67.716
brn,2001,67.95
brn,2002,67.797
brn,2003,67.643
brn,2004,67.489
brn,2005,67.335
brn,2006,67.18
brn,2007,67.024
brn,2008,66.869
brn,2009,66.713
brn,2010,66.557
brn,2011,66.4
brn,2012,65.801
brn,2013,65.196
brn,2014,64.586
brn,2015,63.972
brn,2016,63.353
brn,2017,62.73
brn,2018,65.39
brn,2019,64.41
brn,2020,63.798
brn,2021,63.562
btn,1990,70.735
btn,1991,70.565
btn,1992,70.389
btn,1993,70.208
btn,1994,70.021
btn,1995,69.835
btn,1996,69.811
btn,1997,69.811
btn,1998,69.828
btn,1999,69.861
btn,2000,69.907
btn,2001,69.963
btn,2002,70.029
btn,2003,70.097
btn,2004,70.147
btn,2005,70.174
btn,2006,70.06
btn,2007,69.944
