geo,time,sh_prv_smok_ma
afg,2000,55.3
afg,2005,50.8
afg,2010,46.8
afg,2015,42.9
afg,2018,40.8
afg,2019,40.1
afg,2020,39.4
alb,2000,59
alb,2005,53.2
alb,2010,47.9
alb,2015,43.2
alb,2018,40.7
alb,2019,39.8
alb,2020,38.8
and,2000,42.5
and,2005,40.5
and,2010,39
and,2015,37.3
and,2018,36.2
and,2019,35.6
and,2020,35.3
arg,2000,39.6
arg,2005,36.9
arg,2010,34.2
arg,2015,31.7
arg,2018,30.3
arg,2019,29.8
arg,2020,29.4
arm,2000,61.7
arm,2005,58.5
arm,2010,55.4
arm,2015,52
arm,2018,50.5
arm,2019,50
arm,2020,49.4
aus,2000,26.5
aus,2005,23.2
aus,2010,20.3
aus,2015,17.8
aus,2018,16.5
aus,2019,16
aus,2020,15.6
aut,2000,56.8
aut,2005,47.2
aut,2010,39.7
aut,2015,33.1
aut,2018,29.8
aut,2019,28.6
aut,2020,27.7
aze,2000,57.1
aze,2005,54.8
aze,2010,52.2
aze,2015,50.1
aze,2018,48.4
aze,2019,48.2
aze,2020,47.9
bdi,2000,31.5
bdi,2005,26.9
bdi,2010,23.3
bdi,2015,20
bdi,2018,18.4
bdi,2019,18
bdi,2020,17.4
bel,2000,39
bel,2005,35.1
bel,2010,31.8
bel,2015,28.8
bel,2018,27.1
bel,2019,26.3
bel,2020,25.8
ben,2000,28.3
ben,2005,22.7
ben,2010,18.3
ben,2015,14.7
ben,2018,12.9
ben,2019,12.3
ben,2020,11.8
bfa,2000,36.9
bfa,2005,32.8
bfa,2010,28.7
bfa,2015,25.2
bfa,2018,23.3
bfa,2019,22.8
bfa,2020,22.1
bgd,2000,66.7
bgd,2005,62.9
bgd,2010,59
bgd,2015,55.5
bgd,2018,53.3
bgd,2019,52.5
bgd,2020,52.2
bgr,2000,59.2
bgr,2005,53.9
bgr,2010,49.2
bgr,2015,44.7
bgr,2018,42.4
bgr,2019,41.7
bgr,2020,40.9
bhr,2000,36.2
bhr,2005,33
bhr,2010,30.2
bhr,2015,27.6
bhr,2018,26.1
bhr,2019,25.7
bhr,2020,25.3
bhs,2000,17.2
bhs,2005,17.6
bhs,2010,18.1
bhs,2015,18.4
bhs,2018,18.7
bhs,2019,18.8
bhs,2020,18.8
bih,2000,58.2
bih,2005,53.5
bih,2010,49.3
bih,2015,45.6
bih,2018,43.2
bih,2019,42.6
bih,2020,42
blr,2000,68
blr,2005,62.5
blr,2010,57
blr,2015,51.9
blr,2018,49.3
blr,2019,48.2
blr,2020,47.4
blz,2000,26.4
blz,2005,23
blz,2010,20
blz,2015,17.3
blz,2018,16
blz,2019,15.6
blz,2020,15.1
bol,2000,36.6
bol,2005,31.8
bol,2010,27.3
bol,2015,23.6
bol,2018,21.7
bol,2019,21.1
bol,2020,20.5
bra,2000,29.6
bra,2005,25.5
bra,2010,21.8
bra,2015,18.8
bra,2018,17.2
bra,2019,16.7
bra,2020,16.2
brb,2000,17.1
brb,2005,16.6
brb,2010,16
brb,2015,15.5
brb,2018,15.1
brb,2019,15
brb,2020,15
brn,2000,28.6
brn,2005,29
brn,2010,29.4
brn,2015,29.7
brn,2018,29.9
brn,2019,30
brn,2020,30
bwa,2000,38.7
bwa,2005,36.5
bwa,2010,34.3
bwa,2015,32.1
bwa,2018,30.9
bwa,2019,30.7
bwa,2020,30.4
can,2000,30.3
can,2005,25.5
can,2010,21.6
can,2015,18.1
can,2018,16.3
can,2019,15.8
can,2020,15.3
che,2000,32.9
che,2005,31.8
che,2010,30.5
che,2015,29.3
che,2018,28.4
che,2019,28.3
che,2020,28.1
chl,2000,51.3
chl,2005,45.4
chl,2010,40.2
chl,2015,35.5
chl,2018,33.1
chl,2019,32.3
chl,2020,31.6
chn,2000,50.2
chn,2005,50.4
chn,2010,50
chn,2015,49.8
chn,2018,49.4
chn,2019,49.7
chn,2020,49.4
civ,2000,34.5
civ,2005,29.4
civ,2010,24.9
civ,2015,21.1
civ,2018,19
civ,2019,18.5
civ,2020,17.9
cmr,2000,21.4
cmr,2005,19.1
cmr,2010,16.9
cmr,2015,14.9
cmr,2018,13.9
cmr,2019,13.5
cmr,2020,13.2
cod,2000,29.6
cod,2005,27.5
cod,2010,26
cod,2015,24.2
cod,2018,23.2
cod,2019,22.9
cod,2020,22.7
cog,2000,18.2
