geo,time,ny_tax_nind_kn
abw,2000,258750000
afg,2002,7606457000
afg,2003,13698868800
afg,2004,17060018000
afg,2005,19601730100
afg,2006,21996560000
afg,2007,20490140900
afg,2008,21219860000
afg,2009,33780328600
afg,2010,37212705400
afg,2011,40848011400
afg,2012,47513223800
afg,2013,52210456300
afg,2014,48211955300
afg,2015,53471096000
afg,2016,58329000000
afg,2017,63660673100
afg,2018,64003563800
afg,2019,60385510600
afg,2020,57182226400
ago,2002,5374000100
ago,2003,9601000100
ago,2004,7454431700
ago,2005,7583877800
ago,2006,7122287500
ago,2007,6849769900
ago,2008,16162438600
ago,2009,18074721200
ago,2010,24786226100
ago,2011,26504119400
ago,2012,26682807200
ago,2013,28106665800
ago,2014,40745941800
ago,2015,16623504300
ago,2016,-4964703200
ago,2017,-4724833000
ago,2018,1650535100
ago,2019,69262000000
ago,2020,78309000000
alb,2010,162161030000
alb,2020,173371930000
arg,1965,47731626935.7056
arg,1966,46297942212.6018
arg,1967,48059535489.7572
arg,1968,54048356114.1699
arg,1969,59968557389.5313
arg,1970,50635483323.2202
arg,1971,55965004471.9631
arg,1972,56947871685.3134
arg,1973,56829298936.1067
arg,1974,60915805217.6947
arg,1975,60550542840.8325
arg,1976,55911586469.128
arg,1977,60845447046.0159
arg,1978,54082667981.1975
arg,1979,66218401656.56809
arg,1980,58858977756.95429
arg,1981,55695538605.6859
arg,1982,55380070709.0507
arg,1983,56298441928.2223
arg,1984,57317178002.2577
arg,1985,54808412452.9471
arg,1986,57418836752.7818
arg,1987,57150523047.2459
arg,1988,55701827730.8406
arg,1989,51632475646.6114
arg,1990,49197700258.2627
arg,1991,51348561200
arg,1992,57943107500
arg,1993,71682119500
arg,1994,76262436900
arg,1995,72435048300
arg,1996,79583136800
arg,1997,89841343400
arg,1998,93576648100
arg,1999,85805136000
arg,2000,84483796900
arg,2001,76424303900
arg,2002,53332247200
arg,2003,62164538000
arg,2004,72687735800
arg,2005,77752610200
arg,2006,86060317900
arg,2007,98628540500
arg,2008,104356878900
arg,2009,97189066200
arg,2010,107526142800
arg,2011,117261326800
arg,2012,118399700500
arg,2013,122411555800
arg,2014,115188707400
arg,2015,118546914900
arg,2016,116854793100
arg,2017,121602802600
arg,2018,118844754300
arg,2019,114271009300
arg,2020,103055991300
arm,1990,98634964548.00781
arm,1991,73976221300
arm,1992,43571994900
arm,1993,45968455200
arm,1994,41187735600
arm,1995,52637928000
arm,1996,74552149200
arm,1997,112912818300
arm,1998,137844990400
arm,1999,132867970500
arm,2000,150614121500
arm,2001,176022034400
arm,2002,201215274600
arm,2003,217118017000
arm,2004,222348247900
arm,2005,249973158800
arm,2006,287262332000
arm,2007,390443622100
arm,2008,457209481400
arm,2009,354225232000
arm,2010,401691413200
arm,2011,416955686900
arm,2012,458234300000
arm,2013,477164258100
arm,2014,485753214700
arm,2015,460979800800
arm,2016,443923548200
arm,2017,486984132300
arm,2018,525942862900
arm,2019,563284806200
arm,2020,506956325600
atg,1977,74063446.86609
atg,1978,85563234.47355
atg,1979,94360403.10724
atg,1980,107328816.92009
atg,1981,115457110.20756
atg,1982,123014112.51093
atg,1983,122016472.43374
atg,1984,132380337.95271
atg,1985,143885198.49652
atg,1986,195981324.3774
atg,1987,202864064.29599
atg,1988,210846657.44164
atg,1989,210721411.06582
atg,1990,220560000
atg,1991,218410000
atg,1992,223320000
atg,1993,232170000
atg,1994,252870000
atg,1995,253510000
atg,1996,278370000
atg,1997,283620000
atg,1998,289240000
atg,1999,286900000
atg,2000,244880000
atg,2001,262980000
atg,2002,278500000
atg,2003,298220000
atg,2004,357530000
atg,2005,355210000
atg,2006,418150000
atg,2007,522110000
atg,2008,481040000
atg,2009,383530000
atg,2010,391330000
atg,2011,387200000
atg,2012,414130000
atg,2013,370900000
atg,2014,384600000
atg,2015,405130000
atg,2016,425040000
atg,2017,428710000
atg,2018,444780000
atg,2019,431510000
atg,2020,376910000
aus,1975,47543000000
aus,1976,47355000000
aus,1977,49799000000
aus,1978,49689000000
aus,1979,51132000000
aus,1980,51296000000
aus,1981,52631000000
aus,1982,54946000000
aus,1983,51375000000
aus,1984,54691000000
aus,1985,59047000000
aus,1986,59536000000
aus,1987,58487000000
aus,1988,61615000000
aus,1989,66076000000
aus,1990,67965000000
aus,1991,66263000000
