global,time,ne_imp_gnfs_cd
world,1970,383382604057.84399
world,1971,426586977840.28802
world,1972,503025326258.70001
world,1973,684202174159.66199
world,1974,975743623695.72083
world,1975,1030352485248.73999
world,1976,1160812585259.01001
world,1977,1330772135596.04004
world,1978,1534900998777.62988
world,1979,1941888593184.83008
world,1980,2359122921682.02979
world,1981,2366489836313.4502
world,1982,2256348555047.39014
world,1983,2202231231650.93994
world,1984,2318400550115.4502
world,1985,2354172189472.7998
world,1986,2614834295164.64941
world,1987,3069803043924.47998
world,1988,3532434268155.83008
world,1989,3837273757905.02002
world,1990,4375159862734.56982
world,1991,4451060448168.94043
world,1992,4952491073216.01953
world,1993,4799610427373.25
world,1994,5314187351763.13965
world,1995,6306051531735.64941
world,1996,6617782596701
world,1997,6838248666837.00977
world,1998,6794128645394.21973
world,1999,7095526201558.9502
world,2000,7944473148042.68945
world,2001,7740318537550.50879
world,2002,8042237062134.17969
world,2003,9320745921977.90039
world,2004,11285894750490.90039
world,2005,12803412107602.40039
world,2006,14649777730574.69922
world,2007,16997359107641.40039
world,2008,19495411609369.19922
world,2009,15675710797191.69922
world,2010,18588839264171.39844
world,2011,21917064897976.80078
world,2012,22177495741145.80078
world,2013,22760905767961.80078
world,2014,23268302094975.69531
world,2015,20721329633793.69531
world,2016,20344054615164.30078
world,2017,22405781910337.80078
world,2018,24636814998256.39844
world,2019,24307181830846.39844
world,2020,21745501928971.69531
