geo,time,se_prm_uner_zs
abw,1999,1.71478
abw,2000,1.60268
abw,2001,0.32258
abw,2002,1.81634
abw,2003,3.32156
abw,2004,2.17652
abw,2005,1.64077
abw,2006,0.96918
abw,2007,0.81243
abw,2008,0.46906
abw,2009,3.34173
abw,2010,0.90962
abw,2014,0.07791
afg,1974,73.17779
afg,1993,73.234
ago,1982,54.80138
ago,1983,57.46078
ago,1998,54.65331
ago,2008,17.55309
ago,2009,18.7407
ago,2010,18.09081
ago,2011,18.40073
alb,1999,3.20646
alb,2000,4.61665
alb,2001,6.13449
alb,2003,8.30129
alb,2004,9.07655
alb,2008,11.10173
alb,2009,12.94225
alb,2010,12.36399
alb,2011,10.97244
alb,2012,7.77925
alb,2013,4.58103
alb,2014,2.40796
alb,2015,2.20127
alb,2016,2.34458
alb,2017,2.22159
alb,2018,2.55779
alb,2019,2.10689
alb,2020,3.84193
are,1978,20.31501
are,1980,23.84771
are,1981,26.79743
are,1982,21.763
are,1983,26.33729
are,1984,26.51529
are,1985,26.87827
are,1986,26.13275
are,1987,15.14981
are,1988,11.75719
are,1989,6.99894
are,1990,3.0932
are,1991,2.57186
are,1992,6.01189
are,1993,9.56662
are,1994,11.58454
are,1995,11.10966
are,1996,13.94532
are,1997,17.54715
are,1998,17.00932
are,2007,5.5249
are,2012,6.01802
are,2013,6.70879
are,2014,2.34758
are,2015,0.10793
are,2016,0.59811
are,2017,1.25688
are,2019,0.21781
are,2020,0.23628
arg,1970,4.87265
arg,1974,3.37747
arg,1975,3.67225
arg,1987,4.54245
arg,1991,3.8241
arg,1997,0
arg,1998,0.2657
arg,1999,0.16547
arg,2000,0.43164
arg,2001,0.36526
arg,2002,0.32845
arg,2003,0.33771
arg,2004,0.63966
arg,2005,0.44143
arg,2006,0.26663
arg,2007,0.12832
arg,2008,0.18277
arg,2009,0.20719
arg,2010,0.60373
arg,2011,0.5659
arg,2012,0.57176
arg,2013,0.40809
arg,2014,0.09804
arg,2015,0.0563
arg,2016,0.45239
arg,2017,0.43269
arg,2018,0.40345
arg,2019,0.42247
arm,2002,12.8688
arm,2003,14.46957
arm,2005,11.38667
arm,2006,7.78235
arm,2007,2.92043
arm,2011,4.84614
arm,2012,3.58824
arm,2013,3.4119
arm,2014,5.87312
arm,2015,5.11268
arm,2016,6.02191
arm,2017,6.16014
arm,2018,6.90522
arm,2019,8.87942
arm,2020,10.47731
atg,2007,0.90443
atg,2008,0.65075
atg,2009,1.93801
atg,2010,3.6719
atg,2011,1.72687
atg,2012,4.45432
atg,2013,9.08523
atg,2014,5.56714
atg,2015,1.219
atg,2016,1.36658
atg,2017,2.44945
atg,2018,0.6899
atg,2019,1.72715
aus,1971,3.45895
aus,1973,4.84596
aus,1974,5.47699
aus,1975,2.72078
aus,1976,1.69621
aus,1977,0.02304
aus,1978,0.01593
aus,1979,0.02315
aus,1980,0.04586
aus,1981,0.09388
aus,1982,0.907
aus,1983,1.88581
aus,1984,3.69669
aus,1985,3.65303
aus,1986,2.9785
aus,1987,2.42694
aus,1988,1.75106
aus,1989,1.63488
aus,1990,2.02553
aus,1991,2.61126
aus,1992,2.84391
aus,1993,3.26102
aus,1994,3.56564
aus,1995,5.00391
aus,1996,4.59944
aus,1997,5.01632
aus,1998,5.08499
aus,1999,5.45088
aus,2000,5.51469
aus,2001,1.69661
aus,2002,1.64873
aus,2003,2.5161
aus,2004,2.11305
aus,2005,1.35145
aus,2006,1.15176
aus,2007,0.99022
aus,2008,0.90004
aus,2009,0.68776
aus,2010,0.50665
aus,2011,2.32234
aus,2012,2.01349
aus,2013,0.06038
aus,2014,0.08473
aus,2015,0.08832
aus,2016,0.04413
aus,2017,0.31825
aus,2018,0.42838
aus,2019,0.68465
aut,1971,9.04416
aut,1972,9.83469
aut,1973,11.18919
aut,1974,12.08258
aut,1975,12.37457
aut,1976,12.95526
aut,1989,5.7125
aut,1999,0.1145
aut,2000,0.27054
aut,2001,1.27078
aut,2002,3.39973
aut,2003,3.84064
aut,2004,3.45106
aut,2005,2.80775
aut,2006,2.67838
aut,2007,2.59764
aut,2008,2.88673
aut,2009,2.54492
aut,2010,2.32457
aut,2011,2.85753
aut,2012,1.66857
aut,2013,1.02622
aut,2014,0.65279
aut,2015,0.47045
aut,2016,0.20606
aut,2017,0.04572
aut,2018,0.0437
aut,2019,0.05623
aze,1991,3.82858
aze,1992,3.85062
aze,1993,8.67995
aze,1994,16.73505
