geo,time,ne_gdi_ftot_kd_zg
ago,2020,-1.43152
alb,1997,-20.6187
alb,1998,12.80951
alb,1999,37.26997
alb,2000,42.62533
alb,2001,22.71264
alb,2002,5.17116
alb,2003,7.8852
alb,2004,11.79803
alb,2005,7.05841
alb,2006,7.56971
alb,2007,4.63651
alb,2008,4.41667
alb,2009,0.97636
alb,2010,-8.46911
alb,2011,5.94331
alb,2012,-7.85825
alb,2013,-1.97586
alb,2014,-4.54765
alb,2015,3.50033
alb,2016,2.42755
alb,2017,6.03434
alb,2018,2.34632
alb,2019,-3.67908
alb,2020,-2.02546
are,2002,5.80421
are,2003,7.55129
are,2004,2.60821
are,2005,15.0784
are,2006,14.88543
are,2007,43.28995
are,2008,0.36859
are,2009,9.05509
are,2010,-9.42605
are,2011,-0.29198
are,2012,1.05673
are,2013,-5.68689
are,2014,10.88535
are,2015,4.31582
are,2016,8.83789
are,2017,-17.26942
are,2018,3.60408
are,2019,0.02185
are,2020,5.84453
arg,1961,14.16662
arg,1962,-8.02955
arg,1963,-13.49207
arg,1964,10.09222
arg,1965,4.99955
arg,1966,0
arg,1967,4.76239
arg,1968,12.87881
arg,1969,22.81848
arg,1970,1.70496
arg,1971,8.15604
arg,1972,1.09269
arg,1973,-7.27273
arg,1974,4.02782
arg,1975,0.20375
arg,1976,10.4727
arg,1977,20.84675
arg,1978,-12.79519
arg,1979,6.76892
arg,1980,8.32789
arg,1981,-14.97594
arg,1982,-19.94288
arg,1983,0.39951
arg,1984,-4.13439
arg,1985,-14.10471
arg,1986,11.04078
arg,1987,12.93592
arg,1988,-3.51973
arg,1989,-21.60156
arg,1990,-16.85009
arg,1991,29.94168
arg,1992,32.64347
arg,1993,13.62314
arg,1994,13.67227
arg,1995,-13.08405
arg,1996,8.88331
arg,1997,17.66286
arg,1998,6.54397
arg,1999,-12.60985
arg,2000,-6.80426
arg,2001,-15.66105
arg,2002,-36.44758
arg,2003,38.16618
arg,2004,34.4252
arg,2005,15.82837
arg,2006,14.47282
arg,2007,20.4532
arg,2008,8.69543
arg,2009,-22.57285
arg,2010,26.25458
arg,2011,17.37796
arg,2012,-7.0752
arg,2013,2.33949
arg,2014,-6.75555
arg,2015,3.4625
arg,2016,-5.77847
arg,2017,13.38057
arg,2018,-5.74565
arg,2019,-15.89
arg,2020,-12.92565
arm,1995,-15.44093
arm,1996,8.59504
arm,1997,3.1038
arm,1998,11.95492
arm,1999,0.03767
arm,2000,16.6179
arm,2001,5.75866
arm,2002,33.22646
arm,2003,27.68406
arm,2004,19.07725
arm,2005,29.15288
arm,2006,33.73841
arm,2007,18.16811
arm,2008,11.90128
arm,2009,-25.3516
arm,2010,-2.89994
arm,2011,-11.19999
arm,2012,-1.71783
arm,2013,-7
arm,2014,-2.2
arm,2015,2.5
arm,2016,-11.4
arm,2017,9.7
arm,2018,4.8
arm,2019,4.4
arm,2020,-8.6
aus,1961,5.67171
aus,1962,1.77808
aus,1963,6.25203
aus,1964,9.36615
aus,1965,7.48351
aus,1966,8.13242
aus,1967,5.09722
aus,1968,7.37414
aus,1969,6.39186
aus,1970,3.28029
aus,1971,3.22134
aus,1972,2.80648
aus,1973,3.05876
aus,1974,4.26817
aus,1975,-6.41055
aus,1976,3.43512
aus,1977,3.89016
aus,1978,3.83467
aus,1979,9.7754
aus,1980,2.87271
aus,1981,12.78874
aus,1982,7.25116
aus,1983,-9.46989
aus,1984,5.08058
aus,1985,9.60973
aus,1986,5.93068
aus,1987,0.38634
aus,1988,7.49059
aus,1989,10.7216
aus,1990,0.90626
aus,1991,-9.48005
aus,1992,-3.99705
aus,1993,6.6349
aus,1994,5.79318
aus,1995,11.02555
aus,1996,2.73747
aus,1997,6.63756
aus,1998,9.74298
aus,1999,4.43923
aus,2000,8.09457
