geo,time,hd_hci_ovrl_fe
afg,2017,0.363
afg,2018,0.36386
afg,2020,0.36852
ago,2017,0.358
ago,2018,0.35378
ago,2020,0.35571
alb,2010,0.56527
alb,2017,0.637
alb,2018,0.66246
alb,2020,0.66451
are,2010,0.65252
are,2018,0.68774
are,2020,0.68765
arg,2010,0.61229
arg,2017,0.632
arg,2018,0.6277
arg,2020,0.61328
arm,2017,0.593
arm,2018,0.60625
arm,2020,0.6031
atg,2018,0.59758
atg,2020,0.62567
aus,2010,0.77136
aus,2017,0.805
aus,2018,0.7953
aus,2020,0.78387
aut,2010,0.75317
aut,2017,0.798
aut,2018,0.7797
aut,2020,0.76119
aze,2010,0.5086
aze,2018,0.64595
aze,2020,0.58731
bdi,2010,0.34611
bdi,2017,0.387
bdi,2018,0.40687
bdi,2020,0.4038
bel,2010,0.76644
bel,2017,0.766
bel,2018,0.77166
bel,2020,0.77234
ben,2010,0.35966
ben,2017,0.403
ben,2018,0.39785
ben,2020,0.40123
bfa,2010,0.31837
bfa,2017,0.36
bfa,2018,0.38113
bfa,2020,0.38795
bgd,2017,0.492
bgd,2018,0.47153
bgd,2020,0.4776
bgr,2010,0.66426
bgr,2017,0.707
bgr,2018,0.68839
bgr,2020,0.6323
bhr,2010,0.63352
bhr,2017,0.699
bhr,2018,0.69387
bhr,2020,0.68562
bih,2017,0.627
bih,2018,0.62741
bih,2020,0.59164
blr,2020,0.73424
brn,2020,0.64495
btn,2020,0.47474
bwa,2010,0.39199
bwa,2017,0.446
bwa,2018,0.43842
bwa,2020,0.44028
can,2010,0.78608
can,2017,0.808
can,2018,0.81038
can,2020,0.81041
che,2010,0.77719
che,2017,0.774
che,2018,0.77132
che,2020,0.76499
chl,2010,0.64325
chl,2017,0.682
chl,2018,0.67756
chl,2020,0.66578
chn,2017,0.674
chn,2018,0.65461
chn,2020,0.65918
civ,2010,0.30176
civ,2017,0.323
civ,2018,0.36694
civ,2020,0.37778
cmr,2010,0.37613
cmr,2017,0.393
cmr,2018,0.39309
cmr,2020,0.39704
cod,2017,0.37
cod,2018,0.36604
cod,2020,0.3679
cog,2010,0.4105
cog,2017,0.411
cog,2018,0.42643
cog,2020,0.42796
col,2010,0.58635
col,2017,0.609
col,2018,0.61225
col,2020,0.61433
com,2017,0.41
com,2018,0.40706
com,2020,0.41334
cri,2010,0.61168
cri,2017,0.621
cri,2018,0.61693
cri,2020,0.64289
cyp,2010,0.71033
cyp,2017,0.759
cyp,2018,0.76214
cyp,2020,0.76268
cze,2010,0.75625
cze,2017,0.8
cze,2018,0.78182
cze,2020,0.77438
deu,2010,0.77807
deu,2017,0.802
deu,2018,0.77693
deu,2020,0.76759
dma,2018,0.58077
dma,2020,0.57695
dnk,2010,0.7606
dnk,2017,0.789
dnk,2018,0.78599
dnk,2020,0.77361
dom,2017,0.51
dom,2018,0.52604
dom,2020,0.52319
dza,2010,0.54277
dza,2017,0.545
dza,2018,0.55222
dza,2020,0.55664
ecu,2010,0.54045
ecu,2017,0.619
ecu,2018,0.61448
ecu,2020,0.61297
egy,2010,0.4915
egy,2017,0.505
egy,2018,0.51171
egy,2020,0.51406
esp,2010,0.72695
esp,2017,0.757
esp,2018,0.75094
esp,2020,0.74017
est,2010,0.77206
est,2017,0.783
est,2018,0.80622
est,2020,0.81055
eth,2017,0.386
eth,2018,0.38555
eth,2020,0.38416
fin,2010,0.85296
fin,2017,0.848
fin,2018,0.84471
fin,2020,0.83013
fji,2020,0.5322
fra,2010,0.77752
fra,2018,0.77317
fra,2020,0.78094
fsm,2018,0.48146
fsm,2020,0.52651
gab,2017,0.468
gab,2018,0.47165
gab,2020,0.47293
gbr,2010,0.7745
gbr,2017,0.789
gbr,2018,0.78678
gbr,2020,0.79138
geo,2010,0.59477
geo,2017,0.643
geo,2018,0.65657
geo,2020,0.61205
gha,2017,0.446
gha,2018,0.45038
gha,2020,0.45784
gin,2017,0.352
gin,2018,0.35443
gin,2020,0.35747
gmb,2010,0.37864
gmb,2017,0.41
gmb,2018,0.41607
gmb,2020,0.43557
grc,2010,0.73754
grc,2017,0.694
grc,2018,0.7168
grc,2020,0.71258
grd,2018,0.57802
grd,2020,0.59669
gtm,2010,0.44852
gtm,2017,0.469
gtm,2018,0.46589
gtm,2020,0.47094
guy,2017,0.521
guy,2018,0.51521
guy,2020,0.5161
hkg,2010,0.80077
hkg,2017,0.833
hkg,2018,0.84913
hkg,2020,0.84778
hnd,2017,0.502
hnd,2018,0.49214
hnd,2020,0.4928
hrv,2010,0.73549
hrv,2017,0.747
hrv,2018,0.75258
hrv,2020,0.73897
hti,2017,0.463
hti,2018,0.45795
hti,2020,0.45965
hun,2010,0.72511
hun,2017,0.729
hun,2018,0.72918
hun,2020,0.70631
idn,2010,0.51059
idn,2017,0.55
idn,2018,0.55236
idn,2020,0.55661
ind,2017,0.451
ind,2018,0.4916
ind,2020,0.50049
irl,2010,0.79024
irl,2018,0.82185
irl,2020,0.80458
irn,2010,0.57705
irn,2017,0.602
irn,2018,0.61104
irn,2020,0.61208
irq,2017,0.412
irq,2018,0.41262
irq,2020,0.42351
isl,2010,0.77207
isl,2017,0.758
isl,2018,0.76328
isl,2020,0.76802
isr,2010,0.74123
isr,2018,0.78089
isr,2020,0.76351
ita,2010,0.76742
ita,2017,0.774
ita,2018,0.75964
ita,2020,0.73802
jam,2017,0.558
jam,2018,0.56854
jam,2020,0.56205
jor,2010,0.5857
jor,2017,0.589
jor,2018,0.57549
jor,2020,0.58035
kaz,2010,0.629
kaz,2017,0.78
kaz,2018,0.80787
kaz,2020,0.65243
kgz,2017,0.603
kgz,2018,0.61484
kgz,2020,0.61674
kir,2018,0.50925
kir,2020,0.53656
kna,2018,0.58762
kna,2020,0.59964
kor,2010,0.85035
kor,2017,0.852
kor,2018,0.85277
kor,2020,0.81461
kos,2017,0.575
kos,2018,0.58882
kos,2020,0.58403
kwt,2010,0.60435
kwt,2017,0.599
kwt,2018,0.59242
kwt,2020,0.59643
lao,2017,0.462
lao,2018,0.46517
lao,2020,0.4653
lbn,2017,0.537
lbr,2017,0.325
lbr,2018,0.32233
lbr,2020,0.32378
lca,2018,0.61623
lca,2020,0.62708
lso,2010,0.3604
ltu,2010,0.75293
ltu,2017,0.761
ltu,2018,0.77768
ltu,2020,0.75646
lux,2010,0.71816
lux,2017,0.707
lux,2018,0.70226
lux,2020,0.70015
lva,2010,0.72828
lva,2017,0.773
lva,2018,0.79042
lva,2020,0.75139
mac,2010,0.67076
mac,2017,0.787
mac,2018,0.78821
mac,2020,0.81791
mar,2010,0.47368
mar,2017,0.511
mar,2018,0.50519
mar,2020,0.51598
mda,2010,0.58156
mda,2017,0.603
mda,2018,0.6058
mda,2020,0.60685
mdg,2010,0.39638
mdg,2017,0.391
mdg,2018,0.39654
mdg,2020,0.40359
mex,2010,0.60409
mex,2017,0.62
mex,2018,0.62725
mex,2020,0.62667
mhl,2018,0.42174
mhl,2020,0.44482
mkd,2010,0.54878
mkd,2017,0.548
mkd,2018,0.54944
mkd,2020,0.57344
mli,2017,0.315
mli,2018,0.32085
mli,2020,0.31758
mlt,2010,0.71387
mlt,2017,0.731
mlt,2018,0.72985
mlt,2020,0.73835
mmr,2017,0.49
mmr,2018,0.48735
mmr,2020,0.49457
mne,2010,0.60563
mne,2018,0.63874
mne,2020,0.64046
mng,2018,0.63935
mng,2020,0.6361
mrt,2017,0.357
mrt,2018,0.38074
mrt,2020,0.39269
mus,2010,0.62191
mwi,2010,0.37636
mys,2010,0.60717
mys,2017,0.645
mys,2018,0.65518
mys,2020,0.63391
nam,2010,0.40537
ner,2017,0.312
ner,2018,0.31537
ner,2020,0.31334
nga,2017,0.338
nga,2018,0.35968
nga,2020,0.36601
nic,2017,0.55
nic,2018,0.52644
nic,2020,0.52702
nld,2010,0.80491
nld,2017,0.813
nld,2018,0.81543
nld,2020,0.8072
nor,2010,0.7894
nor,2017,0.788
nor,2018,0.78322
nor,2020,0.79313
nru,2020,0.53089
nzl,2010,0.80181
nzl,2017,0.785
nzl,2018,0.78857
nzl,2020,0.79106
omn,2010,0.58065
omn,2017,0.657
omn,2018,0.65162
omn,2020,0.64771
pak,2017,0.384
pak,2018,0.39637
pak,2020,0.40117
pan,2010,0.53474
pan,2017,0.544
pan,2018,0.52807
pan,2020,0.51851
per,2010,0.55942
per,2017,0.589
per,2018,0.59769
per,2020,0.60482
phl,2017,0.579
phl,2018,0.57897
phl,2020,0.53847
plw,2018,0.59467
plw,2020,0.61581
png,2017,0.393
png,2018,0.42393
png,2020,0.4286
pol,2017,0.781
pol,2018,0.79162
pol,2020,0.78623
prt,2010,0.76494
prt,2017,0.785
prt,2018,0.79251
prt,2020,0.78133
pry,2010,0.52171
pry,2017,0.535
pry,2018,0.5304
pry,2020,0.53105
pse,2017,0.576
pse,2018,0.599
pse,2020,0.60686
qat,2010,0.6102
qat,2017,0.654
qat,2018,0.65828
qat,2020,0.66991
rou,2010,0.63359
rou,2017,0.628
rou,2018,0.62131
rou,2020,0.61131
rus,2017,0.783
rus,2018,0.77662
rus,2020,0.72629
rwa,2017,0.388
rwa,2018,0.39076
rwa,2020,0.3938
sau,2010,0.56125
sau,2017,0.612
sau,2018,0.61118
sau,2020,0.59541
sdn,2018,0.38402
sdn,2020,0.38536
sen,2010,0.39787
sen,2017,0.428
sen,2018,0.43776
sen,2020,0.43956
sgp,2010,0.86245
sgp,2017,0.899
sgp,2018,0.90013
sgp,2020,0.88989
slb,2017,0.451
slb,2018,0.44529
slb,2020,0.43345
sle,2017,0.351
sle,2018,0.35982
sle,2020,0.37011
slv,2017,0.512
slv,2018,0.56419
slv,2020,0.56795
srb,2010,0.66837
srb,2017,0.771
srb,2018,0.77421
srb,2020,0.69521
svk,2010,0.71313
svk,2017,0.718
svk,2018,0.70363
svk,2020,0.69127
svn,2010,0.78824
svn,2017,0.811
svn,2018,0.8136
svn,2020,0.80269
swe,2010,0.7802
swe,2017,0.815
swe,2018,0.81596
swe,2020,0.81019
swz,2010,0.32391
syc,2010,0.58503
tcd,2010,0.27825
tcd,2017,0.289
tcd,2018,0.29084
tcd,2020,0.29159
tgo,2010,0.3665
tgo,2017,0.408
tgo,2018,0.42216
tgo,2020,0.42967
tha,2010,0.61316
tha,2017,0.614
tha,2018,0.63628
tha,2020,0.63225
tjk,2017,0.529
tjk,2018,0.54063
tls,2010,0.42009
tls,2017,0.472
tls,2018,0.47152
tls,2020,0.47341
ton,2017,0.523
ton,2018,0.54585
ton,2020,0.55694
tto,2010,0.58831
tun,2010,0.54545
tun,2017,0.53
tun,2018,0.53171
tun,2020,0.53944
tur,2010,0.63384
tur,2017,0.63
tur,2018,0.63433
tur,2020,0.65837
tuv,2018,0.45919
tuv,2020,0.47137
tza,2017,0.41
tza,2018,0.39749
tza,2020,0.4012
ukr,2010,0.67733
ukr,2017,0.686
ukr,2018,0.68194
ukr,2020,0.67654
ury,2010,0.61941
ury,2018,0.62653
ury,2020,0.62358
usa,2010,0.70465
usa,2017,0.757
usa,2018,0.73093
usa,2020,0.72042
uzb,2020,0.63119
vct,2018,0.56624
vct,2020,0.57051
vnm,2010,0.6803
vnm,2018,0.72525
vnm,2020,0.72767
vut,2017,0.489
vut,2018,0.45858
vut,2020,0.46829
wsm,2018,0.54488
wsm,2020,0.58108
yem,2017,0.363
yem,2018,0.36692
yem,2020,0.36707
zaf,2010,0.43838
zaf,2017,0.408
zaf,2018,0.44305
zaf,2020,0.44556
zwe,2010,0.41492
