geo,time,en_atm_pm25_mc_t1_zs
afg,1990,99.95832
afg,1995,99.95967
afg,2000,99.96671
afg,2005,99.93134
afg,2010,99.97463
afg,2011,99.99347
afg,2012,99.90859
afg,2013,99.85622
afg,2014,99.72133
afg,2015,99.83457
afg,2016,99.63784
afg,2017,99.66295
ago,1990,44.62773
ago,1995,40.6238
ago,2000,45.10512
ago,2005,38.72035
ago,2010,28.77761
ago,2011,28.78691
ago,2012,29.24478
ago,2013,35.82395
ago,2014,24.77732
ago,2015,22.48664
ago,2016,24.12086
ago,2017,23.93794
alb,1990,0.42387
alb,1995,0.0303
alb,2000,0.03552
alb,2005,0.03867
alb,2010,0
alb,2011,0.38716
alb,2012,0
alb,2013,0
alb,2014,0
alb,2015,0
alb,2016,0
alb,2017,0
and,1990,0
and,1995,0
and,2000,0
and,2005,0
and,2010,0
and,2011,0
and,2012,0
and,2013,0
and,2014,0
and,2015,0
and,2016,0
and,2017,0
are,1990,91.557
are,1995,91.3108
are,2000,92.47989
are,2005,86.49284
are,2010,91.40124
are,2011,91.33196
are,2012,97.80533
are,2013,94.63645
are,2014,66.28858
are,2015,99.78371
are,2016,97.2965
are,2017,98.30637
arg,1990,1.51219
arg,1995,1.63293
arg,2000,1.58441
arg,2005,1.89712
arg,2010,2.22691
arg,2011,2.98589
arg,2012,1.86549
arg,2013,0.82513
arg,2014,0.17721
arg,2015,0.30616
arg,2016,0.06121
arg,2017,0.06121
arm,1990,49.4887
arm,1995,43.29637
arm,2000,56.93301
arm,2005,57.74093
arm,2010,58.23427
arm,2011,60.09946
arm,2012,56.85828
arm,2013,46.00317
arm,2014,34.92773
arm,2015,46.17334
arm,2016,34.23518
arm,2017,34.2553
asm,1990,0
asm,1995,0
asm,2000,0
asm,2005,0
asm,2010,0
asm,2011,0
asm,2012,0
asm,2013,0
asm,2014,0
asm,2015,0
asm,2016,0
asm,2017,0
atg,1990,0
atg,1995,0
atg,2000,0
atg,2005,0
atg,2010,0
atg,2011,0
atg,2012,0
atg,2013,0
atg,2014,0
atg,2015,0
atg,2016,0
atg,2017,0
aus,1990,0
aus,1995,0
aus,2000,0
aus,2005,0
aus,2010,0
aus,2011,0
aus,2012,0
aus,2013,0
aus,2014,0
aus,2015,0
aus,2016,0
aus,2017,0
aut,1990,0
aut,1995,0
aut,2000,0
aut,2005,0
aut,2010,0
aut,2011,0
aut,2012,0
aut,2013,0
aut,2014,0
aut,2015,0
aut,2016,0
aut,2017,0
aze,1990,2.33189
aze,1995,0.14301
aze,2000,0.41787
aze,2005,0.45959
aze,2010,0.49886
aze,2011,0.57728
aze,2012,0.48889
aze,2013,0.49328
aze,2014,0.53025
aze,2015,0.58859
aze,2016,0.55906
aze,2017,0.5635
bdi,1990,100
bdi,1995,100
bdi,2000,100
bdi,2005,100
bdi,2010,100
bdi,2011,100
bdi,2012,100
bdi,2013,100
bdi,2014,100
bdi,2015,100
bdi,2016,100
bdi,2017,100
bel,1990,0
bel,1995,0
bel,2000,0
bel,2005,0
bel,2010,0
bel,2011,0
bel,2012,0
bel,2013,0
bel,2014,0
bel,2015,0
bel,2016,0
bel,2017,0
ben,1990,41.7903
ben,1995,40.87092
ben,2000,43.10186
ben,2005,35.63157
ben,2010,34.4369
ben,2011,35.19831
ben,2012,37.075
ben,2013,33.74696
ben,2014,33.44174
ben,2015,48.40688
ben,2016,45.11915
ben,2017,45.22
bfa,1990,99.72016
bfa,1995,99.56105
bfa,2000,99.46897
bfa,2005,80.23499
bfa,2010,71.63771
bfa,2011,74.71753
