global,time,bx_gsr_ccis_zs
world,1994,2.91443
world,1995,3.06533
world,1996,3.14595
world,1997,3.44368
world,1998,3.80461
world,1999,4.78093
world,2000,5.23413
world,2001,5.6912
world,2002,5.72858
world,2003,6.36383
world,2004,6.3958
world,2005,7.11921
world,2006,7.44498
world,2007,7.52637
world,2008,8.05502
world,2009,8.70185
world,2010,8.55589
world,2011,8.79894
world,2012,8.96212
world,2013,9.12568
world,2014,9.32206
world,2015,9.77923
world,2016,10.22389
world,2017,10.27525
world,2018,10.82201
world,2019,11.55335
world,2020,15.18669
