geo,time,ny_adj_nnty_kd_zg
ago,2001,22.98292
ago,2002,43.60096
ago,2003,9.94725
ago,2004,-4.29299
ago,2005,12.4137
ago,2006,17.77216
ago,2007,-5.87453
ago,2008,-20.52404
ago,2009,32.90003
ago,2010,9.16648
ago,2011,19.44597
ago,2012,12.63325
ago,2013,10.19151
ago,2014,9.03223
ago,2015,0.61252
ago,2016,-0.13886
ago,2017,-1.6622
ago,2018,-10.17403
ago,2019,0.2681
alb,1998,5.64668
alb,1999,14.9803
alb,2000,11.25757
alb,2001,9.9416
alb,2002,3.2962
alb,2003,5.17954
alb,2004,6.01061
alb,2005,3.78311
alb,2006,7.09544
alb,2007,3.66703
alb,2008,6.5185
alb,2009,0.53154
alb,2010,5.13792
alb,2011,0.2307
alb,2012,-0.86771
alb,2013,2.67213
alb,2014,0.64777
alb,2015,0.07518
alb,2016,3.13665
alb,2017,2.15474
alb,2018,3.70801
alb,2019,0.72827
are,2002,-0.82382
are,2003,6.14784
are,2004,9.61388
are,2005,6.01367
are,2006,17.72442
are,2007,7.17766
are,2008,5.63148
are,2009,-16.09601
are,2010,1.06273
are,2011,16.15771
are,2012,4.59473
are,2013,7.56585
are,2014,5.66311
are,2015,-8.66676
are,2016,1.26806
are,2017,8.15982
are,2018,-1.59641
are,2019,0.16377
arg,1971,10.22003
arg,1972,-0.79884
arg,1973,5.88954
arg,1974,3.31562
arg,1975,0.00646
arg,1976,-2.17018
arg,1977,5.57776
arg,1978,-5.3349
arg,1979,6.81111
arg,1980,3.87211
arg,1981,-6.50295
arg,1982,-7.1843
arg,1983,4.99099
arg,1984,2.11744
arg,1985,-6.79988
arg,1986,8.9695
arg,1987,1.25909
arg,1988,-0.6468
arg,1989,-13.11085
arg,1990,0.524
arg,1991,15.31205
arg,1992,14.08721
arg,1993,5.25424
arg,1994,4.88605
arg,1995,-4.67659
arg,1996,6.7397
arg,1997,7.42342
arg,1998,3.09962
arg,1999,-5.70009
arg,2000,-0.9849
arg,2001,-4.86642
arg,2002,-11.36113
arg,2003,11.31493
arg,2004,-0.96534
arg,2005,7.60622
arg,2006,20.85618
arg,2007,12.44213
arg,2008,5.82363
arg,2009,-7.42831
arg,2010,11.42956
arg,2011,9.13583
arg,2012,-1.52175
arg,2013,2.01901
arg,2014,-3.44409
arg,2015,5.11661
arg,2016,-1.92361
arg,2017,5.66761
arg,2018,-5.61693
arg,2019,-4.76605
arm,1996,6.43844
arm,1997,6.89882
arm,1998,3.56548
arm,1999,3.13915
arm,2000,-0.86763
