geo,time,sh_uhc_nop2_zs
afg,2007,2.66975
afg,2013,3.11992
afg,2016,4.55099
ago,2008,2.28665
ago,2018,3.44393
alb,1996,1.71905
alb,2002,3.95734
alb,2005,2.58067
alb,2008,1.22768
alb,2012,1.16818
arg,2004,0.86675
arm,1999,4.80425
arm,2001,4.75026
arm,2002,3.36047
arm,2003,3.30179
arm,2004,2.51158
arm,2005,1.75755
arm,2006,1.56795
arm,2007,0.9223
arm,2008,0.77596
arm,2009,1.5973
arm,2010,2.85722
arm,2011,2.01071
arm,2012,2.06319
arm,2013,2.03767
arm,2014,2.71111
arm,2015,1.96287
arm,2016,2.46214
arm,2017,2.42872
aus,2009,0
aus,2015,0
aut,1999,0
aze,2002,0.12913
aze,2003,0.11907
aze,2004,0
aze,2005,0
bdi,1998,0.12728
bdi,2006,0.96199
bdi,2013,0.34971
bel,2009,0
ben,2003,2.03736
ben,2011,1.42984
ben,2015,1.10361
bfa,1998,0.81592
bfa,2003,0.96845
bfa,2009,0.62673
bfa,2014,0.88056
bgd,2000,3.16705
bgd,2005,4.02064
bgd,2010,3.86209
bgd,2016,7.01876
bgr,1995,0.02865
bgr,1997,0.47434
bgr,2000,0.27129
bgr,2001,0.63309
bgr,2005,1.28845
bgr,2010,1.02452
bgr,2015,0.48918
bgr,2016,2.07069
bgr,2017,1.49276
bgr,2018,0.88973
bih,2001,0.41881
bih,2004,0.02907
bih,2007,0.08262
bih,2011,0.05969
bih,2015,0.04723
blr,2000,0.57461
blr,2001,0.47386
blr,2002,1.16794
blr,2003,0.76003
blr,2004,0.38847
blr,2005,0.15238
blr,2006,0.07983
blr,2007,0.03165
blr,2008,0.03768
blr,2009,0.02322
blr,2010,0.01435
blr,2011,0
blr,2012,0
blr,2013,0
blr,2014,0
blr,2015,0
blr,2016,0.01074
bol,1999,1.59359
bol,2000,2.54338
bol,2001,1.56075
bol,2002,1.59121
bol,2013,0.79491
bol,2014,0.48859
bol,2015,0.62793
bol,2018,0.6465
bol,2019,0.3255
bra,1996,1.36498
bra,2008,1.46117
bra,2017,0.55062
brb,2016,0.29105
btn,2000,0.57473
btn,2003,1.11701
btn,2007,1.03055
