geo,time,sl_tlf_cact_fm_ne_zs
abw,1960,32.29572
abw,1972,42.5763
abw,1981,53.41772
abw,1991,69.08298
abw,2000,78.20209
abw,2007,80.73058
abw,2010,86.361
abw,2011,84.48276
afg,1979,7.05724
afg,2008,53.3764
afg,2012,20.77871
afg,2014,33.44577
afg,2017,28.93658
afg,2020,24.68582
ago,1960,8.51064
ago,2004,84.16812
ago,2009,82.49154
ago,2010,95.7358
ago,2011,93.69607
ago,2014,72.90272
alb,1960,68.49444
alb,1989,93.87673
alb,1990,89.05081
alb,1991,88.84454
alb,1992,89.7785
alb,1993,75.16972
alb,1995,67.51037
alb,1996,65.34864
alb,1997,58.60215
alb,1998,59.67523
alb,1999,60.27778
alb,2000,65.33923
alb,2002,69.23293
alb,2003,63.36287
alb,2004,64.41559
alb,2005,65.311
alb,2006,65.71222
alb,2007,60.0949
alb,2008,74.30431
alb,2009,71.2983
alb,2010,73.25309
alb,2011,77.71691
alb,2012,74.81618
alb,2013,71.26176
alb,2014,69.4348
alb,2015,73.32814
alb,2016,76.66101
alb,2017,74.51894
alb,2018,76.11985
alb,2019,77.83012
are,1975,10.87772
are,1980,16.828
are,1995,33.96574
are,2005,40.74434
are,2008,46.79422
are,2009,47.30687
are,2016,54.93456
are,2017,56.97951
are,2018,56.67168
are,2019,62.58962
are,2020,69.51878
arg,1960,27.55961
arg,1970,32.68353
arg,1977,37.12713
arg,1978,37.82497
arg,1979,38.48842
arg,1980,35.8209
arg,1983,34.65655
arg,1985,35.20844
arg,1987,35.44208
arg,1989,36.90491
arg,1990,36.99797
arg,1991,52.74374
arg,1992,52.45902
arg,1993,56.31501
arg,1994,54.35746
arg,1995,54.25309
arg,1996,58.32241
arg,1997,58.55263
arg,1998,59.63303
arg,1999,61.49803
arg,2000,60.14454
arg,2001,59.50413
arg,2002,63.24549
arg,2003,66.80764
arg,2004,66.96393
arg,2005,65.79787
arg,2006,66.73771
arg,2007,65.28705
arg,2008,65.43243
arg,2009,66.47274
arg,2010,65.0467
arg,2011,64.81258
arg,2012,65.59111
arg,2013,65.39406
arg,2014,65.85231
arg,2017,67.69599
arg,2018,69.73666
arg,2019,70.43831
arg,2020,70.51823
arm,1997,79.0454
arm,2000,86.06977
arm,2007,63.75263
arm,2008,75.66937
arm,2009,73.91304
arm,2010,72.19917
arm,2011,73.05167
arm,2012,84.03788
arm,2013,73.22958
arm,2014,75.50294
arm,2015,74.85145
arm,2016,73.83336
arm,2017,74.76264
arm,2018,66.69937
arm,2019,69.18125
arm,2020,70.11059
asm,1960,62.29484
asm,1970,57.77161
asm,1974,55.85231
asm,1980,63.72494
asm,1990,72.00884
atg,1960,51.48515
atg,1970,50.34917
atg,1991,74.86257
atg,2001,84.67339
aus,1961,33.68741
aus,1966,41.91895
aus,1971,46.23335
aus,1976,55.23066
aus,1979,55.55839
aus,1980,57.14833
aus,1981,57.33504
aus,1982,57.65207
aus,1983,58.21927
aus,1984,59.40984
aus,1985,61.08764
aus,1986,63.65674
aus,1987,64.95885
aus,1988,66.26795
aus,1989,67.89927
aus,1990,69.1229
aus,1991,69.64094
aus,1992,70.0661
aus,1993,70.29232
aus,1994,71.45768
aus,1995,72.61889
aus,1996,73.1041
aus,1997,73.39726
aus,1998,73.78267
aus,1999,74.23865
aus,2000,75.61382
aus,2001,76.60729
aus,2002,76.94665
aus,2003,78.15208
aus,2004,77.87722
aus,2005,79.02622
aus,2006,79.62348
aus,2007,80.0855
aus,2008,80.62517
aus,2009,81.25864
aus,2010,80.99779
aus,2011,81.55744
aus,2012,81.93224
aus,2013,82.19639
aus,2014,82.66385
aus,2015,83.14813
aus,2016,84.05099
aus,2017,84.66544
aus,2018,85.24521
aus,2019,85.71428
aus,2020,85.96516
aus,2021,86.67705
aut,1961,55.9555
aut,1971,52.81595
aut,1980,54.06657
aut,1981,58.39526
aut,1982,54.54166
aut,1983,55.22304
aut,1984,57.28196
aut,1985,56.86942
aut,1986,57.47485
aut,1987,58.86948
aut,1988,60.05751
aut,1989,60.76168
aut,1990,61.98502
aut,1991,62.58806
aut,1992,64.40167
aut,1993,65.3774
aut,1994,68.92888
aut,1995,70.07237
aut,1996,69.93268
aut,1997,70.50652
aut,1998,71.21825
aut,1999,71.37504
aut,2000,71.72714
aut,2001,72.67775
aut,2002,74.37968
aut,2003,74.44314
aut,2004,76.80025
aut,2005,77.25903
aut,2006,77.89932
aut,2007,78.21518
aut,2008,79.13146
aut,2009,80.28818
aut,2010,80.71535
aut,2011,81.47982
aut,2012,82.17541
aut,2013,82.6087
aut,2014,83.26058
aut,2015,83.37349
aut,2016,83.72267
aut,2017,83.68508
aut,2018,83.31098
aut,2019,83.55715
aut,2020,84.08645
aze,1989,94.18422
aze,1993,59.47662
aze,1996,84.19834
aze,1997,89.05721
aze,1998,88.33633
aze,1999,78.33356
aze,2000,87.9081
aze,2001,87.71712
aze,2002,87.53181
aze,2003,87.35333
aze,2004,87.78524
aze,2005,87.6881
aze,2006,86.68516
aze,2007,85.78933
aze,2008,87.14628
aze,2009,90.1503
aze,2010,91.34601
aze,2011,91.05318
aze,2012,90.56047
aze,2013,90.29412
aze,2014,90.77598
aze,2015,91.09489
aze,2016,90.35971
aze,2017,90.24391
aze,2018,90.53085
aze,2019,90.81779
aze,2020,91.69054
bdi,1978,81.42636
bdi,1979,100.64844
bdi,1980,79.12322
bdi,1982,103.71977
bdi,1984,104.46984
bdi,1986,99.79358
bdi,1990,100.54409
bdi,1998,101.70213
bdi,2008,100.47265
bdi,2014,102.4907
bel,1961,33.59211
bel,1970,39.22197
bel,1977,52.9672
bel,1979,55.53308
bel,1980,56.74126
bel,1981,54.64135
bel,1983,55.03488
bel,1984,55.97455
bel,1985,56.5359
bel,1986,57.93601
bel,1987,58.44924
bel,1988,59.1145
bel,1989,58.85891
bel,1990,59.87877
bel,1991,61.90553
bel,1992,63.61406
bel,1993,65.29199
bel,1994,65.6531
