global,time,nv_srv_totl_zs
world,1995,64.85342
world,1996,63.80914
world,1997,62.37647
world,1998,63.28014
world,1999,63.66179
world,2000,63.54454
world,2001,64.52233
world,2002,64.99171
world,2003,64.78196
world,2004,64.10746
world,2005,63.60335
world,2006,62.90121
world,2007,62.51684
world,2008,62.13331
world,2009,64.07866
world,2010,62.71834
world,2011,61.95592
world,2012,62.15985
world,2013,62.26639
world,2014,62.53847
world,2015,64.28948
world,2016,64.9522
world,2017,64.48981
world,2018,64.26
world,2019,64.7905
