geo,time,sp_pop_dpnd_ol
abw,1960,4.62654
abw,1961,4.78209
abw,1962,4.94735
abw,1963,5.11928
abw,1964,5.3159
abw,1965,5.53466
abw,1966,5.77
abw,1967,5.99155
abw,1968,6.22669
abw,1969,6.50409
abw,1970,6.82303
abw,1971,7.32224
abw,1972,7.85956
abw,1973,8.41104
abw,1974,8.90962
abw,1975,9.36018
abw,1976,9.57951
abw,1977,9.77584
abw,1978,9.93558
abw,1979,10.09932
abw,1980,10.28068
abw,1981,10.39864
abw,1982,10.51794
abw,1983,10.61091
abw,1984,10.69881
abw,1985,10.73707
abw,1986,10.89384
abw,1987,11.03346
abw,1988,11.1399
abw,1989,11.23096
abw,1990,11.29174
abw,1991,10.78768
abw,1992,10.39278
abw,1993,10.12381
abw,1994,9.9741
abw,1995,9.92137
abw,1996,10.06039
abw,1997,10.22806
abw,1998,10.43544
abw,1999,10.67008
abw,2000,10.94793
abw,2001,11.19169
abw,2002,11.45955
abw,2003,11.74291
abw,2004,12.02167
abw,2005,12.28504
abw,2006,12.76744
abw,2007,13.24261
abw,2008,13.74872
abw,2009,14.30221
abw,2010,14.94627
abw,2011,15.36317
abw,2012,15.83046
abw,2013,16.34874
abw,2014,16.92226
abw,2015,17.54965
abw,2016,18.23147
abw,2017,18.96122
abw,2018,19.73988
abw,2019,20.57633
abw,2020,21.4752
afg,1960,5.08221
afg,1961,5.13014
afg,1962,5.13964
afg,1963,5.11553
afg,1964,5.06375
afg,1965,4.9879
afg,1966,5.03818
afg,1967,5.06248
afg,1968,5.05906
afg,1969,5.02528
afg,1970,4.96126
afg,1971,5.00108
afg,1972,5.01085
afg,1973,4.99404
afg,1974,4.95525
afg,1975,4.89739
afg,1976,4.93734
afg,1977,4.94208
afg,1978,4.91061
afg,1979,4.84266
afg,1980,4.73821
afg,1981,4.80157
afg,1982,4.81354
afg,1983,4.76678
afg,1984,4.65322
afg,1985,4.46232
afg,1986,4.54376
afg,1987,4.59679
afg,1988,4.61523
afg,1989,4.59004
afg,1990,4.5139
afg,1991,4.52628
afg,1992,4.55426
afg,1993,4.60102
afg,1994,4.66732
afg,1995,4.75442
afg,1996,4.78093
afg,1997,4.78444
afg,1998,4.76854
afg,1999,4.73774
afg,2000,4.69519
afg,2001,4.64542
afg,2002,4.59451
afg,2003,4.54604
afg,2004,4.50174
afg,2005,4.46275
afg,2006,4.5255
afg,2007,4.57761
afg,2008,4.62188
afg,2009,4.66303
afg,2010,4.70389
afg,2011,4.71421
afg,2012,4.72309
afg,2013,4.7276
afg,2014,4.72294
afg,2015,4.70832
afg,2016,4.73599
afg,2017,4.75093
afg,2018,4.75827
afg,2019,4.76362
afg,2020,4.77066
ago,1960,5.48103
ago,1961,5.62201
ago,1962,5.73457
ago,1963,5.8127
ago,1964,5.84777
ago,1965,5.83512
ago,1966,5.78352
ago,1967,5.66808
ago,1968,5.49199
ago,1969,5.26735
ago,1970,5.00673
ago,1971,5.08693
ago,1972,5.16135
ago,1973,5.2171
ago,1974,5.23716
ago,1975,5.21801
ago,1976,5.20086
ago,1977,5.14523
ago,1978,5.07607
ago,1979,5.02168
ago,1980,4.99388
ago,1981,5.03118
ago,1982,5.07926
ago,1983,5.12267
ago,1984,5.1374
ago,1985,5.11444
ago,1986,5.10828
ago,1987,5.06542
ago,1988,5.00751
ago,1989,4.96071
ago,1990,4.93685
ago,1991,4.97826
ago,1992,5.02093
ago,1993,5.05819
ago,1994,5.0816
ago,1995,5.08818
ago,1996,5.12937
ago,1997,5.14706
ago,1998,5.14634
ago,1999,5.13292
ago,2000,5.10992
ago,2001,5.12473
ago,2002,5.12348
ago,2003,5.10351
ago,2004,5.06025
ago,2005,4.99382
ago,2006,4.95299
ago,2007,4.88835
ago,2008,4.81159
ago,2009,4.73538
ago,2010,4.66574
ago,2011,4.64764
ago,2012,4.62868
ago,2013,4.60214
ago,2014,4.5587
ago,2015,4.4964
ago,2016,4.46087
ago,2017,4.40719
ago,2018,4.34799
ago,2019,4.29738
ago,2020,4.26245
alb,1960,9.94022
alb,1961,9.97069
alb,1962,10.06713
alb,1963,10.18712
alb,1964,10.27336
alb,1965,10.29594
alb,1966,10.20448
alb,1967,10.05816
alb,1968,9.89045
alb,1969,9.74223
alb,1970,9.6355
alb,1971,9.54625
alb,1972,9.47622
alb,1973,9.41609
alb,1974,9.35115
alb,1975,9.27678
alb,1976,9.23742
alb,1977,9.18421
alb,1978,9.12503
alb,1979,9.06973
alb,1980,9.02315
alb,1981,9.00181
alb,1982,8.98293
alb,1983,8.9645
alb,1984,8.94005
alb,1985,8.90818
alb,1986,8.89173
alb,1987,8.86459
alb,1988,8.84438
alb,1989,8.85303
alb,1990,8.90159
alb,1991,9.1914
alb,1992,9.517
alb,1993,9.86703
alb,1994,10.22301
alb,1995,10.57535
alb,1996,10.72206
alb,1997,10.85418
alb,1998,10.98351
alb,1999,11.12271
alb,2000,11.27352
alb,2001,11.60726
alb,2002,11.96103
alb,2003,12.32893
alb,2004,12.70233
alb,2005,13.07835
alb,2006,13.59162
alb,2007,14.13205
alb,2008,14.69931
alb,2009,15.29302
alb,2010,15.91253
alb,2011,16.31519
alb,2012,16.74338
alb,2013,17.21555
alb,2014,17.75637
alb,2015,18.37797
alb,2016,18.87009
alb,2017,19.41806
alb,2018,20.04121
alb,2019,20.76474
alb,2020,21.60546
are,1960,6.60438
are,1961,5.95183
are,1962,5.36471
are,1963,4.82831
are,1964,4.3336
are,1965,3.85017
are,1966,3.42868
are,1967,3.05773
are,1968,2.73757
are,1969,2.46883
are,1970,2.25432
are,1971,1.82956
are,1972,1.6912
are,1973,1.74301
are,1974,1.90276
are,1975,2.11911
are,1976,2.04662
are,1977,2.02592
are,1978,2.04299
are,1979,2.06176
are,1980,2.05475
are,1981,2.02078
are,1982,1.95004
are,1983,1.87884
are,1984,1.83403
are,1985,1.82254
are,1986,1.78679
are,1987,1.77349
are,1988,1.77511
are,1989,1.77798
are,1990,1.77175
are,1991,1.71677
are,1992,1.65388
are,1993,1.58844
are,1994,1.52689
are,1995,1.47227
are,1996,1.46295
are,1997,1.47493
are,1998,1.49703
are,1999,1.5093
are,2000,1.49947
are,2001,1.38659
are,2002,1.28605
are,2003,1.20338
are,2004,1.14195
are,2005,1.09891
are,2006,0.97184
are,2007,0.88901
are,2008,0.83776
are,2009,0.80893
are,2010,0.79574
are,2011,0.86447
are,2012,0.93743
are,2013,1.00673
are,2014,1.06227
are,2015,1.09934
are,2016,1.16628
are,2017,1.22504
are,2018,1.28689
are,2019,1.3747
are,2020,1.50666
arg,1960,8.72288
arg,1961,8.94613
arg,1962,9.15686
arg,1963,9.36036
arg,1964,9.5632
arg,1965,9.76988
arg,1966,10.01497
arg,1967,10.25303
arg,1968,10.48345
arg,1969,10.7049
arg,1970,10.91788
arg,1971,11.16311
arg,1972,11.3905
arg,1973,11.60394
arg,1974,11.80762
arg,1975,12.00455
arg,1976,12.27305
arg,1977,12.53025
arg,1978,12.77392
arg,1979,12.99954
arg,1980,13.20643
arg,1981,13.41248
arg,1982,13.59014
arg,1983,13.74902
arg,1984,13.8999
arg,1985,14.04866
arg,1986,14.23488
arg,1987,14.40384
arg,1988,14.55531
arg,1989,14.68716
arg,1990,14.79873
arg,1991,14.98124
arg,1992,15.13387
arg,1993,15.25954
arg,1994,15.36174
arg,1995,15.44389
arg,1996,15.55122
arg,1997,15.63481
arg,1998,15.69514
arg,1999,15.7298
arg,2000,15.7398
arg,2001,15.77161
arg,2002,15.77668
arg,2003,15.76594
arg,2004,15.75186
arg,2005,15.74343
arg,2006,15.7829
arg,2007,15.81544
arg,2008,15.85191
arg,2009,15.90614
arg,2010,15.98743
arg,2011,16.11912
arg,2012,16.26502
arg,2013,16.42216
arg,2014,16.58412
arg,2015,16.74807
arg,2016,16.95267
arg,2017,17.14904
arg,2018,17.33869
arg,2019,17.52317
arg,2020,17.70535
arm,1960,11.54261
arm,1961,11.2732
arm,1962,10.99131
arm,1963,10.71815
arm,1964,10.48295
arm,1965,10.30125
arm,1966,10.23101
arm,1967,10.19205
arm,1968,10.16725
arm,1969,10.13431
arm,1970,10.0848
arm,1971,10.04105
arm,1972,9.95888
arm,1973,9.85828
arm,1974,9.75999
arm,1975,9.67322
arm,1976,9.66347
arm,1977,9.65356
arm,1978,9.61776
arm,1979,9.51872
arm,1980,9.34525
arm,1981,9.15944
arm,1982,8.9243
arm,1983,8.68138
arm,1984,8.48292
arm,1985,8.36232
arm,1986,8.26343
arm,1987,8.21466
arm,1988,8.25271
arm,1989,8.42592
arm,1990,8.75587
arm,1991,9.50776
arm,1992,10.43774
arm,1993,11.47788
arm,1994,12.50636
arm,1995,13.44018
arm,1996,14.05059
arm,1997,14.46667
arm,1998,14.77648
arm,1999,15.12854
arm,2000,15.60743
arm,2001,16.10596
arm,2002,16.7411
arm,2003,17.37447
arm,2004,17.78658
arm,2005,17.85753
arm,2006,17.72434
arm,2007,17.28843
arm,2008,16.69681
arm,2009,16.16054
arm,2010,15.80811
arm,2011,15.5891
arm,2012,15.51569
arm,2013,15.55327
arm,2014,15.64277
arm,2015,15.75464
arm,2016,15.96646
arm,2017,16.21157
arm,2018,16.52236
arm,2019,16.94998
arm,2020,17.52085
atg,1960,8.02912
atg,1961,7.98302
atg,1962,7.93526
atg,1963,7.85231
atg,1964,7.7429
atg,1965,7.65278
atg,1966,7.66564
atg,1967,7.68529
atg,1968,7.67304
atg,1969,7.66271
atg,1970,7.64592
atg,1971,7.89944
atg,1972,8.11664
atg,1973,8.30192
atg,1974,8.44663
atg,1975,8.54188
atg,1976,8.81517
atg,1977,9.06556
atg,1978,9.29904
atg,1979,9.50318
atg,1980,9.69697
atg,1981,9.98218
atg,1982,10.27543
atg,1983,10.56692
atg,1984,10.83912
atg,1985,11.13336
atg,1986,11.4763
atg,1987,11.83279
atg,1988,12.22409
atg,1989,12.60504
atg,1990,12.99637
atg,1991,12.75441
atg,1992,12.48062
atg,1993,12.18228
atg,1994,11.89226
atg,1995,11.58994
atg,1996,11.34788
atg,1997,11.07076
