geo,time,ne_trd_gnfs_zs
abw,1995,171.38747
abw,1996,175.3349
abw,1997,168.77083
abw,1998,163.29311
abw,1999,164.56915
abw,2000,145.07318
abw,2001,139.04568
abw,2002,134.30216
abw,2003,133.96904
abw,2004,133.64252
abw,2005,146.50048
abw,2006,143.96313
abw,2007,142.96091
abw,2008,145.8893
abw,2009,140.0626
abw,2010,138.60715
abw,2011,151.59947
abw,2012,147.67467
abw,2013,161.89128
abw,2014,162.88208
abw,2015,145.83376
abw,2016,142.23968
abw,2017,143.80424
abw,2018,148.4258
afg,1960,11.15703
afg,1961,12.55061
afg,1962,14.22764
afg,1963,26.03551
afg,1964,26.94445
afg,1965,32.67108
afg,1966,27.14286
afg,1967,20.98274
afg,1968,24.11003
afg,1969,25.07886
afg,1970,21.72811
afg,1971,27.06314
afg,1972,32.86908
afg,1973,27.69231
afg,1974,28.86598
afg,1975,26.94836
afg,1976,28.08696
afg,1977,26.48608
afg,1978,24.7138
ago,2000,152.54711
ago,2001,150.33579
ago,2002,105.30174
ago,2003,103.90123
ago,2004,103.57992
ago,2005,106.59096
ago,2006,94.62516
ago,2007,108.06007
ago,2008,121.36471
ago,2009,122.44614
ago,2010,104.12363
ago,2011,99.98251
ago,2012,91.8001
ago,2013,86.81193
ago,2014,79.33293
ago,2015,62.88852
ago,2016,53.37016
ago,2017,52.25682
ago,2018,66.37811
ago,2019,64.28858
ago,2020,66.90748
alb,1980,47.49409
alb,1981,46.10047
alb,1982,44.81056
alb,1983,40.41067
alb,1984,38.11568
alb,1985,35.93482
alb,1986,31.6373
alb,1987,32.15956
alb,1988,36.89787
alb,1989,40.06609
alb,1990,39.43696
alb,1991,36.07052
alb,1992,108.78547
alb,1993,80.51833
alb,1994,53.10258
alb,1995,47.61059
alb,1996,44.89544
alb,1997,45.42556
alb,1998,48.13753
alb,1999,51.01103
alb,2000,63.45407
alb,2001,66.49102
alb,2002,68.52507
alb,2003,67.02056
alb,2004,67.04719
alb,2005,70.87235
alb,2006,74.26709
alb,2007,83.20208
alb,2008,77.45175
alb,2009,75.09491
alb,2010,76.54339
alb,2011,81.21857
alb,2012,76.5102
alb,2013,75.87371
alb,2014,75.40785
alb,2015,71.80101
alb,2016,74.80986
alb,2017,78.19427
alb,2018,76.80812
alb,2019,76.28706
alb,2020,60.96992
are,2001,89.86458
are,2002,93.07166
are,2003,102.30017
are,2004,116.62261
are,2005,119.55287
are,2006,119.47067
are,2007,136.79815
are,2008,148.51354
are,2009,153.46194
are,2010,143.87753
are,2011,151.66595
are,2012,164.24935
are,2013,165.27595
are,2014,168.49231
are,2015,175.22131
are,2016,176.74765
are,2017,175.00435
are,2018,159.72877
are,2019,167.69415
arg,1960,15.2081
arg,1961,11.98989
arg,1962,14.07553
arg,1963,15.78091
arg,1964,11.12743
arg,1965,10.37646
arg,1966,11.64261
arg,1967,12.49266
arg,1968,11.88816
arg,1969,12.79743
arg,1970,10.33744
arg,1971,12.61519
arg,1972,14.03564
arg,1973,13.32217
arg,1974,13.19158
arg,1975,11.80272
arg,1976,15.09688
arg,1977,16.94229
arg,1978,14.3238
arg,1979,12.84068
arg,1980,11.54567
arg,1981,14.29298
arg,1982,15.61149
arg,1983,14.98767
arg,1984,12.34638
arg,1985,18.00943
arg,1986,14.48603
arg,1987,15.44897
arg,1988,15.74346
arg,1989,19.6378
arg,1990,14.99086
arg,1991,13.75305
arg,1992,14.73098
arg,1993,16.22315
arg,1994,18.13435
arg,1995,19.77142
arg,1996,21.50647
arg,1997,23.33618
arg,1998,23.35003
arg,1999,21.38274
arg,2000,22.62244
arg,2001,21.85226
arg,2002,41.75272
arg,2003,40.64475
arg,2004,40.69265
arg,2005,40.55127
arg,2006,40.43348
arg,2007,40.94517
arg,2008,40.40267
arg,2009,34.05713
arg,2010,34.97101
arg,2011,35.20616
arg,2012,30.52654
arg,2013,29.33393
arg,2014,28.40679
arg,2015,22.48623
arg,2016,26.09389
arg,2017,25.2896
arg,2018,30.76254
arg,2019,32.21445
arg,2020,30.14814
arm,1990,81.33572
arm,1991,100.86586
arm,1992,101.07676
arm,1993,107.97315
arm,1994,112.42936
arm,1995,86.11486
arm,1996,79.22956
arm,1997,78.54775
arm,1998,71.84245
arm,1999,70.56048
arm,2000,72.23333
arm,2001,69.86427
arm,2002,73.9845
arm,2003,80.05137
arm,2004,73.07063
arm,2005,70.13974
arm,2006,61.03014
arm,2007,56.97505
arm,2008,54.54233
arm,2009,57.27424
arm,2010,64.64298
arm,2011,69.43557
arm,2012,75.96168
arm,2013,77.55505
arm,2014,75.77887
arm,2015,71.68207
arm,2016,76.07797
arm,2017,87.20238
arm,2018,92.47311
arm,2019,96.11415
arm,2020,69.491
asm,2002,210.9375
asm,2003,207.44275
asm,2004,202.35756
asm,2005,223.2
asm,2006,229.81744
asm,2007,218.14672
asm,2008,249.82143
asm,2009,161.33333
asm,2010,157.94066
asm,2011,157.54386
asm,2012,176.40625
asm,2013,173.82445
asm,2014,174.8056
asm,2015,162.40713
asm,2016,159.16542
asm,2017,161.43791
asm,2018,171.83099
asm,2019,156.32716
asm,2020,151.90409
atg,1993,235.50662
atg,1994,217.9571
atg,1995,215.65961
atg,1996,202.26525
atg,1997,200.77598
atg,1998,195.14355
atg,1999,193.33507
atg,2000,173.36859
atg,2001,172.43788
atg,2002,163.90535
atg,2003,171.67545
atg,2004,181.1563
atg,2005,175.74946
atg,2006,170.26641
atg,2007,165.31479
atg,2008,165.80927
atg,2009,151.08744
atg,2010,152.84589
atg,2011,152.37562
atg,2012,151.52815
atg,2013,156.2113
atg,2014,156.15479
atg,2015,139.7867
atg,2016,136.87293
atg,2017,133.87087
atg,2018,135.06415
atg,2019,139.41016
atg,2020,91.52514
aus,1960,27.00734
aus,1961,27.3798
aus,1962,26.52763
aus,1963,26.79249
aus,1964,28.65142
aus,1965,28.43716
aus,1966,28.01312
aus,1967,26.72896
aus,1968,26.73467
aus,1969,25.24346
aus,1970,26.15009
aus,1971,25.55041
aus,1972,24.75312
aus,1973,25.12693
aus,1974,26.31762
aus,1975,28.96166
aus,1976,26.85393
aus,1977,28.62131
aus,1978,28.16812
aus,1979,29.61469
aus,1980,32.28868
aus,1981,31.59307
aus,1982,30.31486
aus,1983,29.16493
aus,1984,28.53026
aus,1985,32.50062
aus,1986,33.02891
aus,1987,32.5265
aus,1988,32.57831
aus,1989,32.07676
aus,1990,32.16336
aus,1991,32.19686
aus,1992,33.04909
aus,1993,35.40041
aus,1994,36.45873
aus,1995,37.72969
aus,1996,38.25714
aus,1997,38.00869
aus,1998,40.01973
aus,1999,39.0853
aus,2000,40.9941
aus,2001,44.28237
aus,2002,41.49665
aus,2003,40.23152
aus,2004,37.03936
aus,2005,39.19688
aus,2006,41.60727
aus,2007,42.05977
aus,2008,42.88502
aus,2009,45.77554
aus,2010,40.55638
aus,2011,41.85745
aus,2012,43.17744
aus,2013,41.27608
aus,2014,42.47291
aus,2015,41.62562
aus,2016,40.81776
aus,2017,41.93976
aus,2018,43.38223
aus,2019,45.84504
aus,2020,44.03953
aut,1970,54.86039
aut,1971,54.38047
aut,1972,54.29602
aut,1973,54.45682
aut,1974,59.56773
aut,1975,56.59913
aut,1976,59.91628
aut,1977,60.2776
aut,1978,59.66799
aut,1979,63.31722
aut,1980,66.82501
aut,1981,68.39655
aut,1982,64.11711
aut,1983,62.47218
aut,1984,66.57501
aut,1985,70.08316
aut,1986,64.0146
aut,1987,62.85372
aut,1988,66.56255
aut,1989,70.53836
aut,1990,71.48837
aut,1991,70.04841
aut,1992,67.63017
aut,1993,63.26505
aut,1994,65.98709
aut,1995,68.2566
aut,1996,70.08367
aut,1997,74.86769
aut,1998,76.92715
aut,1999,78.26014
aut,2000,85.3605
aut,2001,87.53666
aut,2002,86.94817
aut,2003,86.38738
aut,2004,90.79235
aut,2005,94.03381
aut,2006,98.08831
aut,2007,100.73325
aut,2008,102.07368
aut,2009,87.06223
aut,2010,99.0198
aut,2011,105.10279
aut,2012,105.15218
aut,2013,104.06641
aut,2014,103.50354
aut,2015,102.42732
aut,2016,100.98208
aut,2017,104.93884
aut,2018,107.88168
aut,2019,107.47823
aut,2020,99.99894
aze,1990,83.08322
aze,1991,86.86377
aze,1992,140.79998
aze,1993,133.49045
aze,1994,55.34932
aze,1995,85.89371
aze,1996,80.84974
aze,1997,82.07897
aze,1998,77.22781
aze,1999,69.82596
aze,2000,78.54857
aze,2001,78.81519
aze,2002,92.81814
aze,2003,107.55195
aze,2004,121.50712
aze,2005,115.84188
aze,2006,105.2624
aze,2007,96.64181
aze,2008,89.2429
aze,2009,74.74404
aze,2010,74.98599
aze,2011,80.50805
aze,2012,78.26307
aze,2013,74.67584
aze,2014,69.48323
aze,2015,72.60151
aze,2016,90.07732
aze,2017,90.40232
aze,2018,91.67258
aze,2019,85.81815
aze,2020,72.16293
bdi,1960,25.89286
bdi,1961,27.58621
bdi,1962,29.5082
bdi,1963,21.80451
bdi,1964,26.1745
bdi,1965,22.88225
bdi,1966,23.76834
bdi,1967,22.68637
bdi,1968,23.66251
bdi,1969,21.75329
bdi,1970,22.3098
bdi,1971,22.60743
bdi,1972,26.80941
bdi,1973,24.3489
bdi,1974,25.28734
bdi,1975,27.27742
bdi,1976,30.37936
bdi,1977,34.88703
bdi,1978,31.93409
bdi,1979,36.88479
bdi,1980,32.10145
bdi,1981,31.18105
bdi,1982,37.11942
bdi,1983,33.79334
bdi,1984,35.05632
bdi,1985,31.81352
bdi,1986,34.03886
bdi,1987,35.48353
bdi,1988,38.54395
bdi,1989,32.68931
bdi,1990,35.64814
bdi,1991,38.42256
bdi,1992,38.22613
bdi,1993,36.543
bdi,1994,38.75352
bdi,1995,40.20463
bdi,1996,21.57372
bdi,1997,24.27538
bdi,1998,27.44003
bdi,1999,23.53975
bdi,2000,22.55372
