geo,time,sh_med_saop_p5
afg,2014,0.03
alb,2010,7.07
alb,2013,11.63
and,2014,60.27
and,2018,83.11
arg,2014,10.47
arg,2018,50.05
arm,2014,73.65
arm,2015,98.95
arm,2017,86.66
atg,2014,14.04
aus,2012,49.33
aus,2015,72.58
aus,2016,45.11
aut,2014,141.15
aut,2015,109.88
aze,2012,62.93
aze,2014,67.63
bdi,2016,0.17
bdi,2018,0.4
bel,2012,73.53
bel,2014,65.38
bel,2015,89.76
ben,2014,1.86
bfa,2014,0.59
bgd,2013,2.93
bgd,2014,3.02
bgd,2018,2.91
bgr,2013,120.83
bgr,2018,112.71
bhr,2012,24.44
bhr,2015,14.36
bih,2013,26.73
bih,2014,32.3
blr,2013,121.32
blr,2014,124.24
blz,2014,10.47
bol,2012,33.87
bra,2013,31.93
bra,2016,34.74
bra,2018,55.47
brb,2014,17.2
btn,2014,2.87
bwa,2014,3.64
caf,2014,0.38
can,2013,36.27
can,2015,35.29
can,2016,43.87
chanisl,2014,38.69
che,2014,96.27
che,2017,94.76
chl,2012,59.32
chn,2012,40.13
civ,2014,2.81
cmr,2013,1.15
cod,2013,0.19
cog,2013,0.22
col,2014,16.21
col,2015,22.71
cpv,2011,16.04
cri,2014,22.3
cri,2018,25.46
cub,2013,112.94
cub,2017,100.89
cym,2014,172.41
cym,2015,156.75
cyp,2014,79.83
cyp,2018,84.42
cze,2013,124.52
deu,2013,112.85
deu,2015,108
dji,2013,4.42
dma,2014,11.25
dnk,2012,67.85
dnk,2014,68.98
dza,2013,12.13
ecu,2014,59.39
egy,2014,50.08
eri,2008,0.4
esp,2014,79.9
est,2014,126.56
est,2017,64.98
eth,2010,0.67
eth,2014,0.56
eth,2016,0.54
fin,2014,76.3
fji,2014,4.18
fji,2016,5.8
fji,2018,5.43
fra,2013,54.72
fra,2014,63.06
fra,2015,58.63
fsm,2016,7
gbm,2014,48.28
gbm,2015,52.4
gbr,2014,92.39
gbr,2015,133.3
geo,2012,71.52
geo,2015,125.01
geo,2016,130.44
gmb,2011,1.03
gmb,2014,1.82
grc,2013,144.99
grc,2014,166.81
grc,2015,163.54
grd,2014,11.32
grd,2018,12.56
gtm,2014,3.4
guy,2014,8.78
hkg,2014,27.84
hnd,2014,13.68
hrv,2013,84.33
hrv,2015,81.24
hti,2014,4.49
hti,2015,5.88
hun,2011,56.7
hun,2017,55.69
ind,2014,6.82
irl,2014,51.92
irl,2015,49.56
irl,2018,71.97
irn,2014,5.02
irq,2013,7.64
isl,2014,78.89
isl,2015,101.57
isr,2013,60.13
isr,2015,75.59
ita,2013,121.48
ita,2014,114.03
ita,2017,142.4
jam,2014,11.2
jor,2015,24.49
jpn,2013,31.25
jpn,2014,37.36
kaz,2012,72.88
kaz,2015,73.15
ken,2014,1.72
ken,2016,2.35
kgz,2013,60.39
kgz,2014,50.06
khm,2018,4.2
kir,2014,4.57
kir,2016,8.2
kna,2014,33.48
kor,2014,49.63
kos,2014,27.67
lao,2014,2.86
lao,2017,3.68
lbn,2014,87.4
lbr,2009,0.6
lca,2014,23.56
lie,2014,97.3
lie,2015,71.94
lka,2014,3.03
lka,2015,2.78
lso,2014,0.57
ltu,2013,137.8
ltu,2015,130.92
lux,2014,84.35
lux,2015,75.83
lux,2016,80.75
lva,2014,91.1
lva,2016,67.62
mar,2011,12.04
mar,2016,3.66
mco,2014,195.6
mda,2013,49.37
mda,2014,86.12
mdg,2013,0.61
mdg,2016,0.78
mdv,2014,4.83
mhl,2011,15.92
mkd,2011,64.62
mkd,2015,61.22
mli,2014,1.05
mlt,2014,85.71
mlt,2015,84.85
mlt,2017,113.46
mmr,2013,2.42
mne,2011,54.03
mne,2015,57.68
mne,2016,64.12
mng,2014,45.03
moz,2013,1.1
moz,2016,0.56
moz,2018,0.53
mus,2014,17.58
mwi,2014,0.48
mwi,2016,0.43
mys,2011,12.17
mys,2016,11.43
nam,2013,6.13
ner,2014,0.41
nga,2014,1.37
nic,2013,31.45
nic,2014,15.47
nld,2013,52.84
nld,2014,50.36
nld,2015,48.97
nor,2013,65.98
nor,2014,61.92
nor,2017,67.16
npl,2014,2.96
nru,2014,33.33
nru,2016,30
nzl,2012,37.83
nzl,2015,39.36
nzl,2016,43
omn,2013,24.14
omn,2017,30.48
pak,2012,5.29
pak,2014,5.53
pan,2014,26.22
per,2014,42.88
phl,2014,9.56
png,2016,2.3
pol,2014,67.65
pol,2015,67.86
prt,2013,87.8
prt,2014,84.04
prt,2015,86.09
pry,2014,14.38
pry,2018,20.53
pyf,2014,32.62
qat,2011,14.49
rou,2013,61.72
rou,2015,60.53
rus,2014,63.12
rwa,2014,0.74
rwa,2016,0.75
sdn,2014,2.67
sen,2011,1.05
sgp,2013,31.45
slb,2011,2.23
slb,2016,2.5
sle,2012,0.13
slv,2009,22.26
smr,2014,112.5
smr,2017,112.86
som,2014,0.16
srb,2012,72.02
srb,2014,72.55
srb,2016,86.72
ssd,2013,0.32
svk,2014,57.17
svk,2018,53.9
svn,2013,72.82
svn,2018,66.7
swe,2012,85.45
swe,2015,113.11
swz,2010,0.17
syc,2014,34.78
syc,2015,45.21
syc,2018,48.57
tcd,2013,0.29
tgo,2014,0.51
tha,2014,13.09
tjk,2014,41.68
tkm,2013,69.25
tkm,2014,58.81
tls,2014,0.6
tls,2016,0.9
ton,2014,4.95
ton,2016,14
tto,2014,30.9
tun,2014,11.54
tur,2013,55.76
tur,2014,50.11
tur,2015,47.63
tuv,2016,18.5
tuv,2018,26.07
tza,2010,0.35
tza,2016,0.46
uga,2012,0.95
uga,2016,1.05
ukr,2012,100.03
ukr,2014,86.55
ury,2014,38.9
usa,2011,64.56
usa,2015,54.71
uzb,2012,43.58
uzb,2014,50.43
vct,2014,12.84
vct,2018,23.59
ven,2014,18.13
vut,2014,3.41
vut,2016,3.2
wsm,2014,7.28
wsm,2016,1.6
yem,2014,0.82
zaf,2014,11.42
zmb,2012,1.08
zmb,2016,1.48
zwe,2014,1.41
zwe,2016,1.55
