geo,time,en_atm_co2e_kt
afg,1990,2960
afg,1991,2740
afg,1992,1430
afg,1993,1360
afg,1994,1300
afg,1995,1250
afg,1996,1180
afg,1997,1100
afg,1998,1050
afg,1999,820
afg,2000,770
afg,2001,810
afg,2002,1100
afg,2003,1350
afg,2004,1130
afg,2005,1640
afg,2006,1940
afg,2007,2360
afg,2008,4390
afg,2009,6000
afg,2010,8670
afg,2011,12260
afg,2012,10450
afg,2013,8510
afg,2014,7810
afg,2015,7990
afg,2016,7390
afg,2017,7380
afg,2018,7440
ago,1990,6330
ago,1991,6530
ago,1992,6370
ago,1993,6900
ago,1994,6690
ago,1995,10780
ago,1996,11410
ago,1997,11730
ago,1998,11370
ago,1999,12650
ago,2000,12370
ago,2001,12910
ago,2002,13620
ago,2003,18010
ago,2004,19290
ago,2005,18210
ago,2006,20340
ago,2007,23490
ago,2008,25080
ago,2009,27150
ago,2010,28530
ago,2011,29460
ago,2012,30250
ago,2013,32820
ago,2014,34630
ago,2015,35160
ago,2016,35410
ago,2017,30840
ago,2018,27340
alb,1990,6050
alb,1991,4110
alb,1992,2240
alb,1993,2070
alb,1994,2140
alb,1995,1950
alb,1996,1970
alb,1997,1480
alb,1998,1800
alb,1999,2970
alb,2000,3170
alb,2001,3220
alb,2002,3750
alb,2003,4110
alb,2004,4290
alb,2005,4070
alb,2006,4050
alb,2007,4220
alb,2008,4170
alb,2009,4320
alb,2010,4580
alb,2011,5040
alb,2012,4580
alb,2013,4790
alb,2014,5220
alb,2015,5070
alb,2016,4930
alb,2017,5600
alb,2018,5560
and,1990,410
and,1991,410
and,1992,410
and,1993,410
and,1994,410
and,1995,430
and,1996,450
and,1997,470
and,1998,490
and,1999,510
and,2000,520
and,2001,520
and,2002,530
and,2003,530
and,2004,560
and,2005,580
and,2006,550
and,2007,540
and,2008,540
and,2009,520
and,2010,520
and,2011,490
and,2012,490
and,2013,480
and,2014,460
and,2015,470
and,2016,470
and,2017,470
and,2018,460
are,1990,55400
are,1991,61500
are,1992,59640
are,1993,62150
are,1994,68290
are,1995,72640
are,1996,75810
are,1997,81450
are,1998,83850
are,1999,86000
are,2000,84540
are,2001,96260
are,2002,98120
are,2003,103530
are,2004,109980
are,2005,116280
are,2006,121460
are,2007,131690
are,2008,156200
are,2009,157180
are,2010,162820
are,2011,166320
are,2012,175730
are,2013,184100
are,2014,183840
are,2015,194040
are,2016,199460
are,2017,208250
are,2018,200300
arg,1990,99840
arg,1991,105320
arg,1992,107350
arg,1993,111030
arg,1994,113810
arg,1995,113810
arg,1996,126560
arg,1997,127320
arg,1998,133170
arg,1999,134190
arg,2000,131910
arg,2001,124870
arg,2002,117470
arg,2003,128360
arg,2004,141850
arg,2005,146320
arg,2006,155370
arg,2007,163630
arg,2008,168150
arg,2009,157440
