global,time,dt_oda_odat_mp_zs
world,1979,1.25692
world,1980,1.2272
world,1981,1.13867
world,1982,1.08584
world,1983,1.08142
world,1984,1.05601
world,1985,1.11552
world,1986,1.19236
world,1987,1.12674
world,1988,1.05786
world,1989,0.99513
world,1990,1.09059
world,1991,1.11696
world,1992,1.03256
world,1993,0.96047
world,1994,0.94712
world,1995,0.77799
world,1996,0.69971
world,1997,0.59323
world,1998,0.62481
world,1999,0.61059
world,2000,0.50973
world,2001,0.55417
world,2002,0.64391
world,2003,0.6383
world,2004,0.58559
world,2005,0.68927
world,2006,0.58234
world,2007,0.49656
world,2008,0.51787
world,2009,0.65983
world,2010,0.57978
world,2011,0.53346
world,2012,0.50758
world,2013,0.55801
world,2014,0.58296
world,2015,0.5914
world,2016,0.64956
world,2017,0.61189
world,2018,0.55692
world,2019,0.56971
