geo,time,sl_srv_empl_fe_zs
afg,1991,9.06
afg,1992,9.2
afg,1993,9.33
afg,1994,9.62
afg,1995,9.56
afg,1996,9.61
afg,1997,9.67
afg,1998,9.75
afg,1999,9.81
afg,2000,9.82
afg,2001,9.77
afg,2002,9.84
afg,2003,10.1
afg,2004,9.98
afg,2005,10.38
afg,2006,10.57
afg,2007,10.93
afg,2008,10.92
afg,2009,10.97
afg,2010,10.65
afg,2011,10.3
afg,2012,10.07
afg,2013,9.9
afg,2014,9.73
afg,2015,9.53
afg,2016,9.51
afg,2017,9.5
afg,2018,9.72
afg,2019,10.02
ago,1991,52.23
ago,1992,51.5
ago,1993,50.99
ago,1994,50.69
ago,1995,51.37
ago,1996,51.98
ago,1997,52.74
ago,1998,53.74
ago,1999,53
ago,2000,53.3
ago,2001,54.08
ago,2002,54.22
ago,2003,54.19
ago,2004,53.93
ago,2005,52.23
ago,2006,50.65
ago,2007,49.16
ago,2008,47.51
ago,2009,45.97
ago,2010,43.37
ago,2011,40.88
ago,2012,40.48
ago,2013,40.49
ago,2014,40.78
ago,2015,41.19
ago,2016,41.48
ago,2017,41.84
ago,2018,42
ago,2019,42.3
alb,1991,27.08
alb,1992,28.04
alb,1993,28.52
alb,1994,29.04
alb,1995,29.63
alb,1996,28.43
alb,1997,28.07
alb,1998,28.49
alb,1999,28.73
alb,2000,29.4
alb,2001,30.01
alb,2002,30.78
alb,2003,31.66
alb,2004,32.17
alb,2005,32.57
alb,2006,33.27
alb,2007,33.86
alb,2008,34.26
alb,2009,32.52
alb,2010,36.27
alb,2011,34.21
alb,2012,32.44
alb,2013,36.59
alb,2014,38.37
alb,2015,38.29
alb,2016,39.93
alb,2017,42.45
alb,2018,42.06
alb,2019,42.06
are,1991,85.56
are,1992,85.7
are,1993,85.86
are,1994,85.99
are,1995,86.16
are,1996,86.2
are,1997,86.15
are,1998,86.19
are,1999,86.27
are,2000,86.29
are,2001,87.23
are,2002,88.13
are,2003,88.91
are,2004,89.65
are,2005,90.38
are,2006,90.96
are,2007,91.55
are,2008,92.07
are,2009,92.55
are,2010,92.98
are,2011,93.3
are,2012,93.55
are,2013,93.72
are,2014,93.85
are,2015,93.93
are,2016,94.09
are,2017,94.31
are,2018,94.46
are,2019,94.57
arg,1991,79.86
arg,1992,80.57
arg,1993,83.4
arg,1994,85.13
arg,1995,84.54
arg,1996,87.22
arg,1997,88.05
arg,1998,88.97
arg,1999,88.9
arg,2000,89.41
arg,2001,89.24
arg,2002,90.09
arg,2003,87.79
arg,2004,88.17
arg,2005,88.6
arg,2006,88.83
arg,2007,89.1
arg,2008,89.41
arg,2009,89.92
arg,2010,90.17
arg,2011,89.69
arg,2012,90.19
arg,2013,90.79
arg,2014,91.45
arg,2015,91.27
arg,2016,91.09
arg,2017,90.82
arg,2018,90.81
arg,2019,90.77
arm,1991,40.83
arm,1992,41.11
arm,1993,41.42
arm,1994,41.37
arm,1995,41.58
arm,1996,41.83
arm,1997,42.14
arm,1998,42.5
arm,1999,42.98
arm,2000,43.44
arm,2001,44.11
arm,2002,44.76
arm,2003,45.51
arm,2004,46.21
arm,2005,46.89
arm,2006,47.72
arm,2007,48.27
arm,2008,48.58
arm,2009,48.87
arm,2010,46.91
arm,2011,48
arm,2012,48.48
arm,2013,48.78
arm,2014,51.37
arm,2015,52.39
arm,2016,55.23
arm,2017,56.35
arm,2018,60.45
arm,2019,61.71
aus,1991,84.08
aus,1992,84.66
aus,1993,84.51
aus,1994,84.9
aus,1995,85.34
aus,1996,85.72
aus,1997,85.87
aus,1998,86.37
aus,1999,86.59
aus,2000,86.34
aus,2001,87.04
aus,2002,87.44
aus,2003,87.84
aus,2004,87.96
aus,2005,88.24
aus,2006,88.57
aus,2007,88.87
aus,2008,88.47
aus,2009,88.89
aus,2010,89.1
aus,2011,89.58
aus,2012,89.72
aus,2013,90.03
aus,2014,90.06
aus,2015,90.49
aus,2016,90.42
aus,2017,90.72
aus,2018,90.18
aus,2019,90.83
aut,1991,72.86
aut,1992,73.39
aut,1993,74.24
aut,1994,74.82
aut,1995,74.29
aut,1996,75.84
aut,1997,77.67
aut,1998,78.54
aut,1999,79.04
aut,2000,79.46
aut,2001,79.92
aut,2002,80.96
aut,2003,81.15
aut,2004,81.85
aut,2005,81.82
aut,2006,81.3
aut,2007,81.41
aut,2008,82.51
aut,2009,83.38
aut,2010,83.54
aut,2011,82.9
aut,2012,83.1
aut,2013,82.81
aut,2014,82.74
aut,2015,83.65
aut,2016,84.09
aut,2017,84.92
aut,2018,84.86
aut,2019,85.05
aze,1991,44.52
aze,1992,44.13
aze,1993,44.75
aze,1994,44.93
aze,1995,43.74
aze,1996,44.14
aze,1997,44.17
aze,1998,44.73
aze,1999,44.45
aze,2000,46.28
aze,2001,49.99
aze,2002,53.19
aze,2003,53.43
aze,2004,53.69
aze,2005,53.97
aze,2006,52.65
aze,2007,54.28
aze,2008,53.27
aze,2009,50.29
aze,2010,49.38
aze,2011,49.89
aze,2012,49.88
aze,2013,50.45
aze,2014,51.18
aze,2015,52.06
aze,2016,51.87
aze,2017,51.84
aze,2018,52.07
aze,2019,52.29
bdi,1991,2.38
bdi,1992,2.41
bdi,1993,2.41
bdi,1994,2.41
bdi,1995,2.42
bdi,1996,2.48
bdi,1997,2.52
bdi,1998,2.55
bdi,1999,2.62
bdi,2000,2.68
bdi,2001,2.79
bdi,2002,2.95
bdi,2003,2.98
bdi,2004,3.38
bdi,2005,3.38
bdi,2006,3.56
bdi,2007,3.62
bdi,2008,3.87
bdi,2009,4.04
bdi,2010,4.28
bdi,2011,4.47
bdi,2012,4.67
bdi,2013,4.99
bdi,2014,5.23
bdi,2015,5.17
bdi,2016,5.19
bdi,2017,5.2
bdi,2018,5.31
bdi,2019,5.43
bel,1991,81.61
bel,1992,82.05
bel,1993,83.91
bel,1994,83.63
bel,1995,84.34
bel,1996,84.56
bel,1997,84.67
bel,1998,85.67
bel,1999,86.54
bel,2000,87.15
bel,2001,87.25
bel,2002,86.44
bel,2003,87.35
bel,2004,87.58
bel,2005,87.2
bel,2006,87.99
bel,2007,87.69
bel,2008,88.69
bel,2009,89.3
bel,2010,89.04
bel,2011,89.44
bel,2012,90.68
bel,2013,90.59
bel,2014,90.85
bel,2015,90.91
bel,2016,91.08
bel,2017,90.72
bel,2018,90.82
bel,2019,90.97
ben,1991,34.91
ben,1992,35.11
ben,1993,35.43
ben,1994,35.05
ben,1995,35.47
ben,1996,35.9
ben,1997,36.39
ben,1998,36.94
ben,1999,37.53
ben,2000,38.24
ben,2001,39.01
ben,2002,39.81
ben,2003,40.42
ben,2004,41.32
ben,2005,41.84
ben,2006,42.63
ben,2007,43.58
ben,2008,44.46
ben,2009,45.1
ben,2010,45.69
ben,2011,46.61
ben,2012,47.53
ben,2013,48.54
ben,2014,49.54
ben,2015,50.13
ben,2016,51.17
ben,2017,52.1
ben,2018,53.1
ben,2019,54.08
bfa,1991,8.22
bfa,1992,8.35
bfa,1993,8.59
bfa,1994,8.89
bfa,1995,9.78
bfa,1996,10.96
bfa,1997,12.04
bfa,1998,13.38
bfa,1999,14.73
bfa,2000,16
bfa,2001,17.79
bfa,2002,19.53
bfa,2003,21.58
bfa,2004,23.52
bfa,2005,26.21
bfa,2006,28.53
bfa,2007,30.65
bfa,2008,33.52
bfa,2009,35.54
bfa,2010,38.25
bfa,2011,40.5
bfa,2012,42.67
bfa,2013,44.41
bfa,2014,45.69
bfa,2015,47.31
bfa,2016,49.06
bfa,2017,50.78
bfa,2018,52.36
bfa,2019,53.43
bgd,1991,1.61
bgd,1992,2.35
bgd,1993,3.44
bgd,1994,5.02
bgd,1995,7.23
bgd,1996,10.27
bgd,1997,10.97
bgd,1998,11.6
bgd,1999,12.16
bgd,2000,12.57
bgd,2001,13.48
bgd,2002,14.5
bgd,2003,15.58
bgd,2004,16.73
bgd,2005,17.93
bgd,2006,19.28
bgd,2007,19.7
bgd,2008,20.2
bgd,2009,20.76
bgd,2010,21.39
bgd,2011,21.08
bgd,2012,20.85
bgd,2013,20.69
bgd,2014,20.62
bgd,2015,20.61
bgd,2016,20.66
bgd,2017,23.36
bgd,2018,24.17
bgd,2019,24.77
bgr,1991,46.25
bgr,1992,47.82
bgr,1993,49.61
bgr,1994,51.41
bgr,1995,53.19
bgr,1996,54.84
bgr,1997,57.25
bgr,1998,58.48
bgr,1999,60.51
bgr,2000,62.14
bgr,2001,64.04
bgr,2002,63.06
bgr,2003,63.68
bgr,2004,63.19
bgr,2005,64.33
bgr,2006,65.87
bgr,2007,65.87
bgr,2008,65.59
bgr,2009,67.84
bgr,2010,70.73
bgr,2011,71.28
bgr,2012,70.63
bgr,2013,71.73
bgr,2014,72.23
bgr,2015,72.93
bgr,2016,73.38
bgr,2017,72.93
bgr,2018,73.36
bgr,2019,73.48
bhr,1991,92.5
bhr,1992,92.05
bhr,1993,91.48
bhr,1994,90.96
bhr,1995,90.34
bhr,1996,89.79
bhr,1997,89.17
bhr,1998,88.52
bhr,1999,87.82
bhr,2000,87.14
bhr,2001,86.39
bhr,2002,87.42
bhr,2003,88.32
bhr,2004,89.07
bhr,2005,89.68
bhr,2006,90.15
bhr,2007,90.47
bhr,2008,90.69
bhr,2009,90.99
bhr,2010,90.91
bhr,2011,91.02
bhr,2012,90.99
bhr,2013,90.88
bhr,2014,90.78
bhr,2015,90.75
bhr,2016,90.85
bhr,2017,90.99
bhr,2018,91.19
bhr,2019,91.39
bhs,1991,93.43
bhs,1992,93.49
bhs,1993,93.8
bhs,1994,93.15
bhs,1995,93.63
bhs,1996,93.08
bhs,1997,92.18
bhs,1998,93.45
bhs,1999,93.63
bhs,2000,93.09
bhs,2001,92.49
bhs,2002,94.07
bhs,2003,93.93
bhs,2004,94.46
bhs,2005,94.6
bhs,2006,94.47
bhs,2007,94.38
bhs,2008,95.11
bhs,2009,95.85
bhs,2010,95.95
bhs,2011,96.11
