geo,time,ne_gdi_stkb_kn
ago,2002,0
ago,2003,0
ago,2004,0
ago,2005,0
ago,2006,0
ago,2007,0
ago,2008,0
ago,2009,0
ago,2010,0
ago,2011,0
ago,2012,0
ago,2013,0
ago,2014,0
ago,2015,0
ago,2016,0
ago,2017,0
alb,1997,396574489.97269
alb,1998,-1406540545.082
alb,1999,-1886684025.21509
alb,2000,-385666898.23883
alb,2001,-284163025.3578
alb,2002,-261864668.16091
alb,2003,-2107216013.10724
alb,2004,-4451128072.12379
alb,2005,-4508031719.48021
alb,2006,-12051230824.9471
alb,2007,-18811441474.2944
alb,2008,19778526018.6486
alb,2009,21150440362.9312
alb,2010,23307780000
alb,2011,25873030000
alb,2012,23625917238.7583
alb,2013,23880626320.3641
alb,2014,19066642746.9607
alb,2015,18696524487.8904
alb,2016,11873477625.5563
alb,2017,6779370611.79768
alb,2018,708363183.52953
alb,2019,20106133008.9894
are,2001,7171000000
are,2002,7326000000
are,2003,7140000000
are,2004,7669000000
are,2005,12774000000
are,2006,14636000000
are,2007,14403000000
are,2008,13638000000
are,2009,14594000000
are,2010,25122974247.918
are,2011,21132704196.5407
are,2012,15463926727.737
are,2013,26673309796.878
are,2014,63574044787.1124
are,2015,98067526851.83401
are,2016,87098605201.08038
are,2017,181210855852.27301
are,2018,120785550285.98
are,2019,64265776894.968
are,2020,61524044787.1123
arg,1960,5528356393.45304
arg,1961,3951841808.31755
arg,1962,3176818895.67262
arg,1963,514292388.0526
arg,1964,8495592111.78332
arg,1965,8263566151.64415
arg,1966,6144116528.59203
arg,1967,5911807093.54389
arg,1968,4335366434.64622
arg,1969,5421598607.08892
arg,1970,5919686735.08131
arg,1971,8591789038.22989
arg,1972,8619608344.17496
arg,1973,10266536742.6577
arg,1974,8220097633.00493
arg,1975,9589469371.02365
arg,1976,7534273223.49542
arg,1977,9150996365.817
arg,1978,4474589195.87957
arg,1979,8021562660.92631
arg,1980,8460190725.5978
arg,1981,7193197763.61983
arg,1982,5758666653.37275
arg,1983,5781673110.08332
arg,1984,5542636278.19709
arg,1985,4760863364.97518
arg,1986,5286499663.24277
arg,1987,5970357001.48488
arg,1988,5760216592.84035
arg,1989,4515919859.44646
arg,1990,3754983334.80495
arg,1991,4879288400
arg,1992,6472057300
arg,1993,7861446600
arg,1994,8123714600
arg,1995,7456840700
arg,1996,11373930900
arg,1997,12449424300
arg,1998,11591456900
arg,1999,5529543300
arg,2000,7809136100
arg,2001,9764233300
arg,2002,5344237900
arg,2003,8332962100
arg,2004,8040702200
arg,2005,8434695000
arg,2006,2220870600
arg,2007,2546487200
arg,2008,239066600
arg,2009,-483589400
arg,2010,5875220600
arg,2011,5139045600
arg,2012,-1747860200
arg,2013,1495191800
arg,2014,2179183700
arg,2015,3768675700
arg,2016,4555630500
arg,2017,8010139000
arg,2018,1047561900
arg,2019,-284272900
arg,2020,1796431200
arm,2011,12981044900
arm,2012,46168100000.0001
arm,2013,40830326800
arm,2014,54589862762.40009
arm,2015,644854917.7032
arm,2016,25932319375.6455
arm,2017,33593214986.1155
arm,2018,316140121568.87097
arm,2019,92140442706.6739
arm,2020,106022646611.33501
asm,2002,7000000
asm,2003,12000000
asm,2004,9000000
asm,2005,-8000000
asm,2006,-3000000
asm,2007,-8000000
asm,2008,-13000000
asm,2009,-8000000
asm,2010,-5000000
asm,2011,-3000000
asm,2013,6000000
asm,2014,33000000
asm,2015,28000000
asm,2016,56000000
asm,2017,43000000
