global,time,ny_adj_dmin_gn_zs
world,1970,0.14456
world,1971,0.09583
world,1972,0.08769
world,1973,0.15993
world,1974,0.2124
world,1975,0.10614
world,1976,0.10266
world,1977,0.09877
world,1978,0.0581
world,1979,0.10428
world,1980,0.15461
world,1981,0.10037
world,1982,0.07754
world,1983,0.08973
world,1984,0.05988
world,1985,0.06536
world,1986,0.04593
world,1987,0.05872
world,1988,0.12456
world,1989,0.10187
world,1990,0.0718
world,1991,0.0526
world,1992,0.05543
world,1993,0.0426
world,1994,0.0561
world,1995,0.05859
world,1996,0.04684
world,1997,0.04285
world,1998,0.03639
world,1999,0.0349
world,2000,0.03983
world,2001,0.03039
world,2002,0.03362
world,2003,0.03434
world,2004,0.06234
world,2005,0.10204
world,2006,0.20329
world,2007,0.29827
world,2008,0.29629
world,2009,0.16934
world,2010,0.32584
world,2011,0.40965
world,2012,0.22753
world,2013,0.19126
world,2014,0.14178
world,2015,0.09554
world,2016,0.10902
world,2017,0.12038
world,2018,0.13122
world,2019,0.0937
