geo,time,dt_nfl_imfn_cd
afg,2007,54805961.8
afg,2008,35725075
afg,2009,17430052.1
afg,2010,8621518.8
afg,2011,18921223.8
afg,2012,14588311.2
afg,2013,-12646380.9
afg,2014,-19466483.6
afg,2015,-20294302.7
afg,2016,-14692918.6
afg,2017,-8348165.6
afg,2018,-3653357.7
afg,2019,3896346.9
afg,2020,329160873.4
ago,2009,353290188.3
ago,2010,524249378.2
ago,2011,316000205.1
ago,2012,131203145.9
ago,2013,-262050098.3
ago,2014,-500331177.8
ago,2015,-345491441
ago,2016,-124367146.1
ago,2017,-29777434.9
ago,2018,1012461530.2
ago,2019,494642616.6
ago,2020,1019307239.5
alb,1993,11827444.4
alb,1994,22239931.2
alb,1995,10711696.6
alb,1998,7984635.5
alb,1999,17669446
alb,2000,11575587.9
alb,2001,4071349.8
alb,2002,-2864246.9
alb,2003,1677161.2
alb,2004,2380112.1
alb,2005,2705009.5
alb,2006,-7595405.5
alb,2007,-10674915.4
alb,2008,-11357728.5
alb,2009,-12134709.7
alb,2010,-12123533.9
alb,2011,-11247090.8
alb,2012,-8873664.9
alb,2013,-8384138.7
alb,2014,-6660546.3
alb,2015,-4064457
alb,2016,-2200462.6
alb,2017,-1519865.4
alb,2018,-862362.3
alb,2019,-168565.4
arg,1971,5255851
arg,1972,308338800
arg,1973,0
arg,1974,-132294250
arg,1975,244537497
arg,1976,237258997.5
arg,1977,-120365306.8
arg,1978,-508158256.9
arg,1979,0
arg,1980,0
arg,1981,0
arg,1982,0
arg,1983,1197930000
arg,1984,-886695420.5
arg,1985,999600000
arg,1986,-236587546.3
arg,1987,622676396.9
arg,1988,22529336.7
arg,1989,-479671285.5
arg,1990,-260140594.7
arg,1991,-590229902.6
arg,1992,-74826905.7
arg,1993,1228324090.2
arg,1994,461485016.5
arg,1995,1880911723.3
arg,1996,365343154.1
arg,1997,-36828297.2
arg,1998,-656932665.4
arg,1999,-823838946.1
arg,2000,814695309.3
arg,2001,9218265463.2
arg,2002,-742773549.2
arg,2003,-141715225.6
arg,2004,-2034975076
arg,2005,-3571203528.8
arg,2006,-9793289568.6
arg,2014,0
arg,2018,28623222038.4
arg,2019,16165694452.3
arg,2020,0
arm,1994,24166055.3
arm,1995,46086088.6
arm,1998,-572560.1
arm,1999,-13076374.6
arm,2000,-15766066.8
arm,2001,-7161145.3
arm,2002,-7283629.7
arm,2003,-9834962.8
arm,2004,-8336320.3
arm,2005,-2077140
arm,2009,465737161.4
arm,2010,127392476.8
arm,2011,55186902.7
arm,2012,-78286529.6
arm,2013,-214716936.9
arm,2014,-101727193.1
arm,2015,-2255388.9
arm,2016,25264313.7
arm,2017,-5792406.6
arm,2018,-32868891
arm,2019,-36126872.9
arm,2020,283777531.5
aze,1995,102959735.7
aze,1996,78135070.2
aze,1997,104651646
aze,1998,41259603.5
aze,1999,93790819.7
aze,2000,-51441195
aze,2001,-29068521.1
aze,2002,-38572807.9
aze,2003,-42863428.4
aze,2004,-59707319.6
aze,2005,-29097688.6
aze,2006,-37157453.6
aze,2007,-36833280.5
aze,2008,-21691127.4
aze,2009,-18549894.4
aze,2010,-14732878.5
aze,2011,-17253002.6
aze,2012,-13025605.1
aze,2013,-9816581.6
aze,2014,-3911532.3
aze,2015,-1800673.4
bdi,1970,2310000
bdi,1971,-2316987.8
bdi,1972,-6101634
bdi,1973,-143091
bdi,1974,469043.3
bdi,1975,1457460
bdi,1977,2373680
bdi,1978,-172830.2
bdi,1979,19712845
bdi,1980,6330909.4
bdi,1981,84947.8
bdi,1982,-111530.5
bdi,1983,-5667705.4
bdi,1984,-6514796.3
bdi,1985,-3172529.6
bdi,1986,5683986.9
bdi,1987,-4712750.4
bdi,1988,12963778.2
bdi,1989,8224862.9
bdi,1990,-784717.4
bdi,1991,-98535.4
bdi,2002,12463099.7
bdi,2003,13463450
bdi,2004,-28528740.6
bdi,2014,0
ben,1978,6747890.8
ben,1980,9458618.2
ben,1981,57811.7
ben,1983,-240553.1
ben,1984,-1105238.4
ben,1985,-1095447.4
ben,1986,-2971681.8
ben,1987,-3312547.4
ben,1988,-3099800.1
ben,1989,6162237.5
ben,1990,-1972654.6
ben,1991,12783602.2
ben,1993,21853542.5
ben,1994,25052502.1
ben,1995,11846590.3
ben,1996,17912123.6
ben,1997,1926526
ben,1998,-5309070.3
ben,1999,968113.9
ben,2000,-1568296.9
ben,2001,548702.9
ben,2002,-4563113.1
ben,2003,-504966.8
ben,2004,-5550136.8
ben,2005,-6173803.9
ben,2006,1294838.6
ben,2007,1347185.7
ben,2008,18858413.5
ben,2009,15733321.3
ben,2010,16205403.4
ben,2011,33181519.5
ben,2012,31742943
ben,2013,15245830
ben,2014,8599596.5
ben,2015,-8417133.8
ben,2016,-9655346.5
ben,2017,27583614.7
ben,2018,23908252.4
ben,2019,23514867.8
ben,2020,275399625.6
bfa,1970,750000
bfa,1972,-1215984
bfa,1973,-715455
bfa,1974,-180401.3
bfa,1975,0
bfa,1976,0
bfa,1977,0
bfa,1978,5338949.2
bfa,1979,5089394.8
bfa,1980,4331674.9
bfa,1981,57811.7
bfa,1984,-640792.2
bfa,1985,-1713287.9
bfa,1986,-2969334.5
bfa,1987,-3313857.3
bfa,1988,-3099800.1
bfa,1989,-1863926.2
bfa,1990,-536268.8
bfa,1991,8582161.4
bfa,1993,12344109.7
bfa,1994,25318865.6
bfa,1995,26824758.7
bfa,1996,8707806.6
bfa,1997,16507575.9
bfa,1998,15076511.5
bfa,1999,11354827.4
bfa,2000,474841.8
bfa,2001,14467423.1
bfa,2002,6399235.2
bfa,2003,1432371.2
bfa,2004,2237838.9
bfa,2005,11521774.7
bfa,2006,18981156.7
bfa,2007,765446.4
bfa,2008,18238757.3
bfa,2009,54168899.9
bfa,2010,20166724.2
bfa,2011,16543456.7
bfa,2012,67711149.7
bfa,2013,2067050.2
bfa,2014,-3118284.5
bfa,2015,12448011.8
bfa,2016,11943382.8
bfa,2017,-18478290
bfa,2018,-8616543.3
bfa,2019,42206279.4
bfa,2020,139153478.4
bgd,1974,85796732.7
bgd,1975,46536211.4
bgd,1976,75242646.8
bgd,1977,-32457343.6
bgd,1978,25856932.6
bgd,1979,41437574.9
bgd,1980,92418405.5
bgd,1981,84275022
bgd,1982,109217437
bgd,1983,46793796.9
bgd,1984,-70893969.6
bgd,1985,1306001.1
bgd,1986,-37600564
bgd,1987,190777912.6
bgd,1988,41502163.2
bgd,1989,-99849386.1
bgd,1990,-140623222.2
bgd,1991,94631888.7
bgd,1992,33790137
bgd,1993,-50236975.2
bgd,1994,-54376924.7
bgd,1995,-60642511.4
bgd,1996,-86262766.4
bgd,1997,-116289428.9
bgd,1998,31989384.2
bgd,1999,-92803562.3
bgd,2000,-87054330
bgd,2001,-60233825.5
bgd,2002,-85866548.6
bgd,2003,-3410274.4
bgd,2004,146719237.5
bgd,2005,99395435.2
bgd,2006,148538587.1
bgd,2007,0
bgd,2008,202929491.2
bgd,2009,-22905864.9
bgd,2010,-45320196
bgd,2011,-131210803.2
bgd,2012,-58942887.3
bgd,2013,278467511
bgd,2014,65233235.1
bgd,2015,208747995.4
bgd,2016,-18712967.8
bgd,2017,-12677563
bgd,2018,-51782805.2
bgd,2019,-113686282.5
bgd,2020,615564336.6
bgr,1991,395818150.5
