geo,time,sp_reg_brth_zs
afg,2003,6
afg,2011,37.4
afg,2015,42.3
ago,2001,35.6
ago,2016,25
alb,2005,98
alb,2009,98.6
alb,2018,98.4
and,2012,100
and,2017,100
are,2012,100
arg,2004,91
arg,2007,99
arg,2012,99.5
arg,2020,99.7
arm,2005,96.4
arm,2010,99.6
arm,2016,98.7
aus,2012,100
aus,2013,100
aus,2017,100
aut,2011,100
aut,2014,100
aut,2017,100
aze,2006,93.6
bdi,2005,60
bdi,2010,75.2
bdi,2017,83.5
bel,2010,100
bel,2014,100
bel,2017,100
ben,2006,53.1
ben,2012,80.2
ben,2014,85
ben,2018,85.6
bfa,2006,64
bfa,2010,76.9
bgd,2006,10
bgd,2011,30.5
bgd,2013,37
bgd,2014,20.2
bgd,2018,25.2
bgd,2019,56
bgr,2011,100
bgr,2012,100
bhr,2018,100
bhr,2019,100
bih,2006,99.5
blr,2012,100
blz,2006,94
blz,2011,95.2
blz,2015,95.7
bol,2001,74
bol,2003,76.7
bol,2008,75.9
bol,2016,91.9
bra,2005,89
bra,2008,91
bra,2011,92.8
bra,2014,95.9
bra,2015,96.4
brb,2012,98.7
btn,2010,99.9
bwa,2000,58
bwa,2007,72
bwa,2008,72.2
bwa,2014,83.2
bwa,2017,87.5
caf,2006,49
caf,2010,61
caf,2019,44.8
can,2011,100
can,2012,100
can,2017,100
che,2011,100
che,2014,100
che,2017,100
chl,2004,96
chl,2007,99.4
chl,2008,99
chl,2010,99.8
chl,2011,99
civ,2005,49.3
civ,2006,55
civ,2012,65
civ,2016,71.7
cmr,2006,70
cmr,2011,61.4
cmr,2014,66.1
cmr,2018,61.9
cod,2007,31.3
cod,2010,27.8
cod,2014,24.6
cod,2018,40.1
cog,2005,76.8
cog,2012,90.8
cog,2015,95.9
col,2005,90.4
col,2010,96.5
col,2015,96.8
com,2000,87.6
com,2012,87.3
cpv,2010,91.4
cri,2011,99.7
cri,2013,100
cub,2005,100
cub,2011,100
cub,2014,100
cub,2019,99.8
cyp,2010,100
cyp,2014,100
cyp,2017,100
cze,2012,100
cze,2014,100
cze,2017,100
deu,2011,100
deu,2014,100
deu,2017,100
deu,2020,100
dji,2006,91.7
dnk,2011,100
dnk,2014,100
dnk,2017,100
dom,2006,78
dom,2007,77.8
dom,2011,82.4
dom,2012,81.1
dom,2013,84.1
dom,2014,88
dom,2019,92.2
dza,2006,99.4
dza,2013,99.6
dza,2019,99.6
ecu,2004,84.9
ecu,2010,90
ecu,2012,92.1
ecu,2015,94
ecu,2016,82
egy,2005,99
egy,2014,99.4
esp,2011,100
esp,2014,100
esp,2017,100
est,2011,100
est,2014,100
est,2017,100
eth,2005,6.6
eth,2016,2.7
fin,2011,100
fin,2014,100
fin,2017,100
fji,2021,86.6
fra,2011,100
fra,2014,100
fra,2017,100
gab,2000,89
gab,2012,89.6
gbm,2009,85.38993
gbr,2010,100
gbr,2014,100
gbr,2017,100
geo,2005,92
geo,2011,98.5
geo,2013,99.6
geo,2015,99.6
geo,2017,98.5
gha,2006,51
gha,2008,71.2
gha,2011,62.5
gha,2014,70.5
gha,2018,70.6
gin,2005,43.2
gin,2012,57.9
gin,2016,75
gin,2018,62
gmb,2006,55
gmb,2010,52.5
gmb,2013,72
gmb,2018,57.9
gmb,2020,59
gnb,2006,38.9
gnb,2010,24.1
gnb,2014,23.7
gnb,2019,46
gnq,2000,37.1
gnq,2011,53.5
grc,2010,100
grc,2014,100
grc,2017,100
gtm,2009,96.7
gtm,2015,96.4
guy,2005,94.8
guy,2006,93
guy,2007,93.3
guy,2009,87.9
guy,2014,88.7
guy,2020,98.1
hnd,2006,93.5
hnd,2012,93.6
hnd,2019,97
hrv,2017,100
hti,2006,81.1
hti,2012,79.7
hti,2017,84.8
hun,2011,100
hun,2014,100
hun,2017,100
idn,2002,55
idn,2007,50.6
idn,2012,66.6
idn,2013,68.5
idn,2016,72.5
idn,2017,77.9
idn,2018,71.9
idn,2021,77
ind,2006,41.1
ind,2011,83.6
