geo,time,sp_reg_brth_zs
ind,2014,71.9
ind,2016,79.7
irl,2010,100
irl,2014,100
irl,2017,100
irn,2010,98.6
irq,2006,95
irq,2011,99.2
irq,2018,98.8
isl,2010,100
isl,2014,100
isl,2017,100
isr,2012,100
isr,2014,100
isr,2017,100
ita,2011,100
ita,2014,100
ita,2017,100
jam,2005,89
jam,2008,97.8
jam,2010,98.1
jam,2012,99.5
jam,2017,98
jor,2012,99.1
jor,2018,98
jpn,2012,100
jpn,2013,100
jpn,2017,100
kaz,2006,99
kaz,2011,99.7
kaz,2015,99.7
ken,2003,48
ken,2009,60
ken,2014,66.9
kgz,2006,95.7
kgz,2012,98.3
kgz,2014,98
kgz,2018,98.9
khm,2005,66.4
khm,2010,62.1
khm,2014,73.3
kir,2008,92
kir,2009,93.5
kir,2019,91.6
lao,2006,72
lao,2012,74.8
lao,2017,73
lbn,2009,99.5
lbn,2016,98.9
lbr,2007,3.6
lbr,2013,24.6
lbr,2020,66.3
lca,2012,92
lie,2011,100
lie,2014,100
lie,2017,100
lka,2007,97.2
lso,2004,26.3
lso,2009,45.1
lso,2014,43.3
lso,2018,44.5
ltu,2011,100
ltu,2014,100
ltu,2017,100
lux,2010,100
lux,2014,100
lux,2017,100
lva,2011,100
lva,2014,100
lva,2017,100
mar,2000,85
mar,2011,94
mar,2018,96.9
mco,2006,100
mco,2014,100
mco,2017,100
mda,2000,98
mda,2012,99.6
mdg,2004,74.8
mdg,2009,79.7
mdg,2013,83
mdg,2018,78.6
mdv,2000,73
mdv,2009,92.5
mdv,2017,98.8
mex,2009,93.4
mex,2015,95
mex,2020,97
mhl,2007,95.9
mhl,2017,83.8
mkd,2005,94
mkd,2011,99.7
mkd,2019,99.8
mli,2006,53.3
mli,2010,80.8
mli,2013,84.3
mli,2015,87
mli,2018,86.7
mlt,2011,100
mlt,2014,100
mlt,2017,100
mmr,2003,64.9
mmr,2010,72.4
mmr,2016,81.3
mne,2005,98
mne,2006,98.9
mne,2013,99.4
mng,2005,98
mng,2010,99
mng,2013,99
mng,2018,99.6
moz,2008,31
moz,2011,47.9
moz,2015,55
mrt,2007,56
mrt,2011,58.8
mrt,2015,65.6
mwi,2014,5.6
mwi,2016,67.2
nam,2007,67.1
nam,2011,78
nam,2013,63.9
nam,2016,78.1
ner,2006,31.8
ner,2012,63.9
nga,2008,30
nga,2011,41.5
nga,2013,30.8
nga,2017,47
nga,2018,42.6
nic,2001,81
nic,2012,84.7
nld,2011,100
nld,2014,100
nld,2017,100
nor,2011,100
nor,2014,100
nor,2017,100
npl,2006,35
npl,2011,42.3
npl,2014,58.1
npl,2016,56.2
npl,2019,77.2
nru,2007,82.6
nru,2013,95.9
nzl,2012,100
nzl,2014,100
nzl,2017,100
omn,2018,100
pak,2007,26.6
pak,2013,33.6
pak,2018,42.2
pan,2013,95.6
pan,2019,96.7
per,2006,93
per,2007,93
per,2008,94.3
per,2012,95.6
per,2014,96.7
per,2016,98
per,2020,96.4
phl,2000,83
phl,2010,90.2
phl,2017,91.8
png,2018,13.4
pol,2011,100
pol,2014,100
pol,2017,100
prk,2000,98.9
prk,2009,100
prt,2011,100
prt,2014,100
prt,2017,100
pry,2011,76.1
pry,2014,84.5
pry,2017,69.1
pry,2018,71
pse,2006,96
pse,2010,99.3
pse,2014,99.3
pse,2015,95.9
pse,2020,99.2
qat,2015,100
qat,2017,100
rus,2010,100
rus,2017,100
rwa,2005,82.4
rwa,2010,63.2
rwa,2015,56
rwa,2020,85.6
sau,2018,99.2
sdn,2006,33
sdn,2010,59.3
sdn,2014,67.3
sen,2005,54.9
sen,2011,74.6
sen,2013,73
sen,2014,72.7
sen,2015,68.3
sen,2016,70.4
sen,2017,77.4
sen,2018,76.8
sen,2019,78.7
sgp,2020,99.9
slb,2007,80
slb,2015,88
sle,2005,48
sle,2008,50.9
sle,2010,78
sle,2013,76.7
sle,2017,81.1
sle,2019,90.4
slv,2008,98.6
slv,2014,98.5
slv,2018,91.2
smr,2009,100
smr,2014,100
smr,2017,100
som,2006,3
som,2020,5.9
srb,2005,99
srb,2006,98.9
srb,2010,98.9
srb,2014,99.4
srb,2019,99.9
ssd,2010,35.4
stp,2006,68.7
stp,2009,75.1
stp,2014,95.2
stp,2019,98.6
sur,2006,97
sur,2010,99
sur,2018,98.3
svk,2010,100
svk,2014,100
svk,2018,100
svk,2020,100
svn,2011,100
svn,2014,100
svn,2017,100
swe,2011,100
swe,2014,100
swe,2017,100
swz,2007,29.8
swz,2010,49.5
swz,2014,53.5
syr,2006,96
tca,2020,99.2
tcd,2004,8.9
tcd,2010,15.7
tcd,2015,12
tcd,2019,25.7
tgo,2006,78.1
tgo,2010,77.9
tgo,2014,78
tgo,2017,82.9
tha,2006,99.5
tha,2012,99.4
tha,2016,99.5
tha,2019,99.8
tjk,2005,88
tjk,2012,81.7
tjk,2017,95.8
tkm,2006,95.5
tkm,2016,99.6
tkm,2019,99.9
tls,2003,53
tls,2009,55.2
tls,2010,55.2
tls,2016,60.4
ton,2012,93.4
ton,2019,97.7
tto,2006,96.6
tto,2011,96.5
tun,2012,99
tun,2018,99.9
tur,2003,84
tur,2008,93.7
tur,2013,99
tur,2018,98.4
tuv,2007,49.9
tuv,2020,87.2
tza,2005,8
tza,2008,21.8
tza,2010,16.3
tza,2012,19.2
tza,2016,26.4
uga,2006,21
uga,2011,29.9
uga,2016,32.2
ukr,2005,100
ukr,2012,99.8
ury,2012,100
ury,2013,99.8
usa,2009,100
usa,2013,100
usa,2017,100
uzb,2006,99.9
ven,2000,92
ven,2011,80.8
ven,2017,81
vnm,2005,92.7
vnm,2006,88
vnm,2011,95
vnm,2014,96.1
vut,2007,43
vut,2013,43.4
wsm,2009,47.7
wsm,2014,58.6
wsm,2020,66.9
yem,2006,22
yem,2012,17.1
yem,2013,30.7
zaf,2006,78
zaf,2008,92
zaf,2012,85
zaf,2017,89
zmb,2000,10
zmb,2007,14
zmb,2014,11.3
zmb,2018,14.1
zwe,2006,73.9
zwe,2009,38
zwe,2011,48.8
zwe,2014,32.3
zwe,2015,43.5
zwe,2017,38
zwe,2019,48.7
