global,time,ne_exp_gnfs_cd
world,1970,383549419912.46002
world,1971,430023070902.91803
world,1972,510312741451.40094
world,1973,698901810620.48706
world,1974,969786901163.24194
world,1975,1029251367842.82996
world,1976,1148439261375.13989
world,1977,1303948568941.88989
world,1978,1513932554870.37988
world,1979,1906094530730.62012
world,1980,2306276023349.91992
world,1981,2303266752166.37012
world,1982,2169806821274.66968
world,1983,2133264620057.21997
world,1984,2253539125965.87012
world,1985,2287473023565.2998
world,1986,2552521475587.06982
world,1987,3026350231070.16016
world,1988,3477290105153.16016
world,1989,3758756515698.66943
world,1990,4307752483127.74023
world,1991,4462895070552.68945
world,1992,5052263758886.7002
world,1993,4902160661375.62012
world,1994,5428477768093.60938
world,1995,6433468195155.96973
world,1996,6729521840574.2998
world,1997,6990226061482.13965
world,1998,6914715720408.23047
world,1999,7175416386668.28027
world,2000,7971189307569.75879
world,2001,7724180434546.33008
world,2002,8111874137571.67871
world,2003,9392769451196.78711
world,2004,11408699177192.19922
world,2005,12975081983752.30078
world,2006,14954952413906.59961
world,2007,17393379532215.5
world,2008,19875662423846.5
world,2009,16032263797420.59961
world,2010,19138228062741.19922
world,2011,22558164307195.80078
world,2012,22908216889935.39844
world,2013,23504601169052.10156
world,2014,23885406006645.80078
world,2015,21279265975235
world,2016,20892653317820.80078
world,2017,23015581301719.60156
world,2018,25203672981718.30078
world,2019,24776343631439
world,2020,22429973597685.89453
