geo,time,sh_dyn_0509
afg,1990,12.3
afg,1991,11.5
afg,1992,10.8
afg,1993,10.1
afg,1994,9.4
afg,1995,8.8
afg,1996,8.2
afg,1997,7.7
afg,1998,8.9
afg,1999,6.9
afg,2000,6.6
afg,2001,6.4
afg,2002,6.2
afg,2003,6
afg,2004,5.9
afg,2005,5.9
afg,2006,5.9
afg,2007,6
afg,2008,6
afg,2009,5.9
afg,2010,5.6
afg,2011,5.4
afg,2012,5
afg,2013,4.6
afg,2014,4.2
afg,2015,3.9
afg,2016,3.6
afg,2017,3.4
afg,2018,3.2
afg,2019,3.1
afg,2020,3.3
ago,1990,37.6
ago,1991,32.4
ago,1992,37.9
ago,1993,32.4
ago,1994,32.4
ago,1995,32.3
ago,1996,32
ago,1997,31.6
ago,1998,31.1
ago,1999,30.4
ago,2000,29.6
ago,2001,28.7
ago,2002,27.7
ago,2003,26.5
ago,2004,25.2
ago,2005,23.8
ago,2006,22.3
ago,2007,20.9
ago,2008,19.5
ago,2009,18.2
ago,2010,16.9
ago,2011,15.8
ago,2012,14.7
ago,2013,13.7
ago,2014,12.9
ago,2015,12.2
ago,2016,11.6
ago,2017,11.1
ago,2018,10.6
ago,2019,10.2
ago,2020,9.8
alb,1990,3.7
alb,1991,3.5
alb,1992,3.3
alb,1993,3.1
alb,1994,2.9
alb,1995,2.7
alb,1996,2.6
alb,1997,3.1
alb,1998,2.3
alb,1999,2.2
alb,2000,2.2
alb,2001,2.1
alb,2002,2
alb,2003,1.9
alb,2004,1.8
alb,2005,1.8
alb,2006,1.7
alb,2007,1.6
alb,2008,1.6
alb,2009,1.5
alb,2010,1.4
alb,2011,1.4
alb,2012,1.3
alb,2013,1.3
alb,2014,1.2
alb,2015,1.1
alb,2016,1.1
alb,2017,1
alb,2018,1
alb,2019,1
alb,2020,0.9
and,1990,1.5
and,1991,1.5
and,1992,1.4
and,1993,1.3
and,1994,1.2
and,1995,1.2
and,1996,1.1
and,1997,1
and,1998,1
and,1999,0.9
and,2000,0.9
and,2001,0.8
and,2002,0.8
and,2003,0.8
and,2004,0.7
and,2005,0.7
and,2006,0.7
and,2007,0.6
and,2008,0.6
and,2009,0.6
and,2010,0.5
and,2011,0.5
and,2012,0.5
and,2013,0.4
and,2014,0.4
and,2015,0.4
and,2016,0.4
and,2017,0.4
and,2018,0.3
and,2019,0.3
and,2020,0.3
are,1990,1.7
are,1991,1.7
are,1992,1.6
are,1993,1.5
are,1994,1.5
are,1995,1.4
are,1996,1.4
are,1997,1.4
are,1998,1.3
are,1999,1.3
are,2000,1.3
are,2001,1.3
are,2002,1.2
are,2003,1.2
are,2004,1.2
are,2005,1.2
are,2006,1.1
are,2007,1.1
are,2008,1.1
are,2009,1.1
are,2010,1
are,2011,1
are,2012,1
are,2013,1
are,2014,1
are,2015,0.9
are,2016,0.9
are,2017,0.9
are,2018,0.9
are,2019,0.9
are,2020,0.8
arg,1990,1.6
arg,1991,1.6
arg,1992,1.6
arg,1993,1.5
arg,1994,1.5
arg,1995,1.4
arg,1996,1.4
arg,1997,1.4
arg,1998,1.4
arg,1999,1.3
arg,2000,1.3
arg,2001,1.3
arg,2002,1.2
arg,2003,1.2
arg,2004,1.2
arg,2005,1.2
arg,2006,1.3
arg,2007,1.2
arg,2008,1.2
arg,2009,1.2
arg,2010,1.1
arg,2011,1.1
arg,2012,1
arg,2013,1
arg,2014,1
arg,2015,0.9
arg,2016,0.9
arg,2017,0.9
arg,2018,0.9
arg,2019,0.8
arg,2020,0.8
arm,1990,1.8
arm,1991,1.7
arm,1992,1.5
arm,1993,1.4
arm,1994,1.3
arm,1995,1.2
arm,1996,1.2
arm,1997,1.1
arm,1998,1.1
arm,1999,1
arm,2000,1
arm,2001,1
arm,2002,1
arm,2003,1
arm,2004,1
arm,2005,1
arm,2006,1
arm,2007,1
arm,2008,1
arm,2009,1
arm,2010,1
arm,2011,1
arm,2012,1
arm,2013,1
arm,2014,1
arm,2015,1
arm,2016,1
arm,2017,1
arm,2018,1
arm,2019,1
arm,2020,1
atg,1990,1.2
atg,1991,1.2
atg,1992,1.3
atg,1993,1.3
atg,1994,1.3
atg,1995,1.3
atg,1996,1.3
atg,1997,1.4
atg,1998,1.4
atg,1999,1.3
atg,2000,1.3
atg,2001,1.3
atg,2002,1.3
atg,2003,1.2
atg,2004,1.2
atg,2005,1.1
atg,2006,1.1
atg,2007,1.1
atg,2008,1
atg,2009,1
atg,2010,0.9
atg,2011,0.9
atg,2012,0.9
atg,2013,0.8
atg,2014,0.8
atg,2015,0.8
atg,2016,0.7
atg,2017,0.7
atg,2018,0.7
atg,2019,0.7
atg,2020,0.7
aus,1990,0.9
aus,1991,0.9
aus,1992,0.8
aus,1993,0.8
aus,1994,0.8
aus,1995,0.8
aus,1996,0.7
