geo,time,nv_agr_totl_kd
afg,2002,3251432580.68973
afg,2003,3342417754.23033
afg,2004,2599185841.0134
afg,2005,3059192433.73034
afg,2006,2902890608.40805
afg,2007,3329628483.05528
afg,2008,2832970118.75748
afg,2009,4095425315.60729
afg,2010,3834336443.59883
afg,2011,3543221215.84703
afg,2012,4188965821.41809
afg,2013,4189186472.7375
afg,2014,4184967746.89785
afg,2015,3948215004.64758
afg,2016,4183992607.54901
afg,2017,4452230843.08939
afg,2018,4255650988.02006
afg,2019,4998680195.0251
afg,2020,5295718787.62201
ago,2002,3706863476.56969
ago,2003,4004259291.81644
ago,2004,4367569588.31779
ago,2005,4566256188.22449
ago,2006,5310697845.43462
ago,2007,5606892606.25589
ago,2008,5873386630.09202
ago,2009,6210086256.17578
ago,2010,6740297926.23211
ago,2011,7357452666.37502
ago,2012,7880595292.32164
ago,2013,8197369187.46048
ago,2014,9617455251.50181
ago,2015,10599805694.1197
ago,2016,11011842767.2318
ago,2017,11063642514.5005
ago,2018,10225655532.0212
ago,2019,9775673849.20094
ago,2020,9854189103.35481
alb,1996,1380032392.68563
alb,1997,1143877419.78112
alb,1998,1215184376.84664
alb,1999,1280747578.30187
alb,2000,1366499094.79924
alb,2001,1403299849.2872
alb,2002,1432035953.36225
alb,2003,1474189114.1319
alb,2004,1567180157.84566
alb,2005,1577814505.96221
alb,2006,1627018722.18014
alb,2007,1671213851.14228
alb,2008,1789393431.42146
alb,2009,1823479176.35318
alb,2010,1962975803.17362
alb,2011,2056667112.8651
alb,2012,2167576631.77099
alb,2013,2192179232.29071
alb,2014,2235186246.68357
alb,2015,2252343371.04056
alb,2016,2298460563.80631
alb,2017,2317655882.91475
alb,2018,2344928801.04633
alb,2019,2359605935.70764
alb,2020,2367385910.65003
are,2001,3628151697.99905
are,2002,3744625502.12192
are,2003,3627920309.00843
are,2004,3556419619.80814
are,2005,3413679661.16418
are,2006,3118672058.39279
are,2007,3061215389.62965
are,2008,2727796588.1541
are,2009,2716595708.86892
are,2010,2422934836.23846
are,2011,2552184264.4056
are,2012,2610150144.2542
are,2013,2623653018.33035
are,2014,2619294302.01651
are,2015,2653778080.32675
are,2016,2744682291.889
are,2017,2835558989.0681
are,2018,2988716959.16245
are,2019,3102402855.04232
are,2020,3315701642.30496
arg,1965,12080720588.9705
arg,1966,12191559153.9444
arg,1967,12501897648.9695
arg,1968,11969896100.3065
arg,1969,12501897648.9695
arg,1970,11340359480.722
arg,1971,11518813202.5491
arg,1972,11740460692.5687
arg,1973,12998419990.9919
arg,1974,13353068425.9178
arg,1975,12986231181.3397
arg,1976,13599135073.6358
arg,1977,13931621872.2834
arg,1978,14319534274.4779
arg,1979,14729623079.7968
arg,1980,13844883569.5584
arg,1981,14328638159.314
arg,1982,15400165408.9133
arg,1983,15712405690.5457
arg,1984,15768704844.4068
arg,1985,15501406601.9091
arg,1986,15529112668.2839
arg,1987,15105479664.4171
arg,1988,16293702874.4546
arg,1989,14954732770.2623
arg,1990,16222970486.3945
arg,1991,16887000661.6969
arg,1992,16918748006.0843
arg,1993,17329141370.9216
arg,1994,18590284978.6484
arg,1995,19622510242.351
arg,1996,19447851983.0942
arg,1997,19566272807.7905
arg,1998,21189505886.1225
arg,1999,21692618811.4535
arg,2000,21309553902.6016
arg,2001,21627306249.139
arg,2002,21054073055.8567
arg,2003,22479521815.6923
arg,2004,22565691391.0902
arg,2005,26805441680.7326
arg,2006,26664565464.8078
arg,2007,28941074853.8233
arg,2008,28308474664.4282
arg,2009,20919550469.5432
arg,2010,29187788956.6123
arg,2011,28478968407.4165
arg,2012,24812257625.5612
arg,2013,27659866051.802
arg,2014,28518498326.4708
arg,2015,30669352553.9863
arg,2016,29222696567.4324
arg,2017,30229437336.7126
arg,2018,25821525206.243
arg,2019,31312619574.3067
arg,2020,29078237781.7209
arm,1990,718842889.83894
arm,1991,704466055.48405
arm,1992,643177499.58496
arm,1993,605873219.15401
arm,1994,624655262.87912
arm,1995,649641490.60519
arm,1996,662599812.94075
arm,1997,632785870.66463
arm,1998,714157299.72148
arm,1999,724155537.42299
arm,2000,716189826.57041
arm,2001,803114726.03988
arm,2002,834187373.35669
arm,2003,869334214.62864
arm,2004,995717546.27984
arm,2005,1108016066.08979
arm,2006,1113374406.93455
arm,2007,1228052060.11474
arm,2008,1264893622.05989
arm,2009,1339807627.55154
arm,2010,1126700819.05833
arm,2011,1284438933.76698
arm,2012,1406460632.58435
arm,2013,1513351640.66076
arm,2014,1605666090.83308
arm,2015,1817614014.78035
arm,2016,1726733314.05974
arm,2017,1638669914.99337
arm,2018,1525601690.77896
arm,2019,1437116792.71378
arm,2020,1378195004.21251
atg,1977,23633641.9048
atg,1978,26966098.58676
atg,1979,19580762.61453
atg,1980,18534542.2218
atg,1981,15149829.51239
atg,1982,12644169.74577
atg,1983,12386559.82973
atg,1984,11625551.07918
atg,1985,11118347.53834
atg,1986,11892483.50377
atg,1987,13619917.49019
atg,1988,14476792.12499
atg,1989,15230184.61639
atg,1990,16157775.92887
atg,1991,16720168.25085
atg,1992,17443942.71739
atg,1993,18153046.07989
atg,1994,17918308.41506
atg,1995,16416965.43378
atg,1996,16074639.67257
atg,1997,16871769.65938
atg,1998,17590653.75791
atg,1999,18167717.18394
atg,2000,18774122.81808
atg,2001,18373112.64066
atg,2002,20583558.98444
atg,2003,21815931.72478
atg,2004,21390469.70728
atg,2005,23894338.1321
atg,2006,25253860.44088
atg,2007,25019122.77605
atg,2008,23297713.234
atg,2009,20026057.03048
atg,2010,20353711.68764
atg,2011,23126550.35339
atg,2012,23478656.85063
atg,2013,25288093.017
atg,2014,21004130.63392
atg,2015,21551851.85185
atg,2016,22339201.10262
atg,2017,25684212.8264
atg,2018,25894498.65114
atg,2019,26256385.88441
atg,2020,26657396.06182
aus,1975,12608515574.8426
aus,1976,13651571419.8604
aus,1977,14016384055.31
aus,1978,13557156882.1648
aus,1979,16500706720.6603
aus,1980,14471757573.8553
aus,1981,12687515494.1389
aus,1982,14762708496.1417
aus,1983,11535272768.7929
aus,1984,16529609130.1589
aus,1985,16562365194.2574
aus,1986,15405626538.5449
aus,1987,15570049134.8039
aus,1988,15234138908.853
aus,1989,15906601636.5214
aus,1990,17209779167.0271
aus,1991,18163558680.4824
aus,1992,17200145030.5275
aus,1993,18104469309.9518
aus,1994,18854005129.6167
aus,1995,16091577057.3128
aus,1996,19475728071.7209
aus,1997,21037100460.4144
aus,1998,21173905198.708
aus,1999,23285065643.6424
aus,2000,24892039611.7672
aus,2001,25876648362.021
aus,2002,26694265412.9494
aus,2003,20940116819.6523
aus,2004,26310184504.5007
aus,2005,27439305302.2478
aus,2006,28220954910.2445
aus,2007,23953032440.9445
aus,2008,25917111735.3191
aus,2009,30386708795.3431
aus,2010,30159985449.7204
aus,2011,31228732325.4036
aus,2012,31529317384.1895
aus,2013,31269195698.70169
aus,2014,31611528682.319
aus,2015,32090024128.46329
aus,2016,29812514259.97
aus,2017,32616690257.1053
aus,2018,31708512323.0811
aus,2019,28380239300.3704
aus,2020,25522754414.6043
aut,1976,3358220360.725
aut,1977,3283796455.04766
aut,1978,3328150342.36328
aut,1979,3435043033.27187
aut,1980,3357623442.78984
aut,1981,3230002832.05859
aut,1982,3448285069.62148
aut,1983,3329156670.55508
aut,1984,3337488002.85078
aut,1985,3225711236.19766
aut,1986,3292081187.80195
aut,1987,3257812772.66211
aut,1988,3357227346.68789
aut,1989,3340388269.54688
aut,1990,3595023696.97109
aut,1991,3487704953.1125
aut,1992,3415336974.82148
aut,1993,3352824799.53789
aut,1994,3614398011.06719
aut,1995,3624234952.35547
aut,1996,3622171258.37891
aut,1997,3633588146.02344
aut,1998,3820629829.125
aut,1999,4006828282.42969
aut,2000,3862647082.29297
aut,2001,3836296151.14062
aut,2002,3774296570.8125
aut,2003,3681541293.15625
aut,2004,3997430708.24609
aut,2005,3905074855.23047
aut,2006,3846681191.79687
aut,2007,4209159053.16406
aut,2008,4511201747.3789
aut,2009,4213153299.57031
aut,2010,3999272499.64453
aut,2011,4569340222.84765
aut,2012,4238771952.21484
aut,2013,4112476099.875
aut,2014,4226789212.99609
aut,2015,4315472578.34375
aut,2016,4412321958.5664
aut,2017,4642357266.17969
aut,2018,4814731188.86719
aut,2019,4809505383.15234
aut,2020,4662306307.95312
aze,1992,1894048410.37815
aze,1993,1585318620.76417
aze,1994,1382397791.10229
aze,1995,1285629976.66535
aze,1996,1324198820.27291
aze,1997,1232829043.3002
aze,1998,1309264593.73549
aze,1999,1402222222.92064
aze,2000,1676880227.11563
aze,2001,1863013923.45594
aze,2002,1982236913.68595
aze,2003,2093415446.09769
aze,2004,2197993397.73543
aze,2005,2362801648.93576
aze,2006,2384066863.77618
aze,2007,2479472578.49929
aze,2008,2630771273.45243
aze,2009,2722953686.28442
aze,2010,2668499749.72256
aze,2011,2823629202.88609
aze,2012,3010233334.43298
aze,2013,3157765472.47836
aze,2014,3075640510.47554
aze,2015,3278645325.00488
aze,2016,3363890103.45501
aze,2017,3505173487.80011
aze,2018,3666411468.23893
aze,2019,3932864768.8674
aze,2020,4007589199.47587
bdi,1965,529175696.70999
bdi,1966,552764457.86106
bdi,1967,530304741.25848
bdi,1968,504613687.55514
bdi,1969,503194207.26817
bdi,1970,703144733.74929
bdi,1971,838485828.02213
bdi,1972,755023082.24312
bdi,1973,845794804.93852
bdi,1974,811942701.47109
bdi,1975,849378127.0446
bdi,1976,880322027.16078
bdi,1977,916380287.54362
bdi,1978,891850976.39982
bdi,1979,905043679.61558
bdi,1980,916611097.39288
bdi,1981,1045920362.33208
bdi,1982,966566031.00212
bdi,1983,1009015799.23438
bdi,1984,972538234.44653
bdi,1985,1100218366.99485
bdi,1986,1145639811.42001
bdi,1987,1205188738.92082
bdi,1988,1224311330.48468
bdi,1989,1197708578.04441
bdi,1990,1264376064.33103
bdi,1991,1291303873.88448
bdi,1992,1331850815.50548
bdi,1993,1273515749.94486
bdi,1994,1149602667.3933
bdi,1995,1071774566.63224
bdi,1996,1087958362.62093
bdi,1997,1124187376.125
bdi,1998,1145884192.57187
bdi,1999,1133966996.90081
bdi,2000,1075242813.97017
bdi,2001,1038222868.52036
bdi,2002,1082185257.10862
bdi,2003,1044159148.62668
bdi,2004,1041660075.70253
bdi,2005,973322935.44237
bdi,2006,1004363880.04492
bdi,2007,910566586.06866
bdi,2008,928451613.17162
bdi,2009,917524175.17653
bdi,2010,932348494.14586
bdi,2011,919685603.08532
bdi,2012,939313971.67675
bdi,2013,1018365830.91392
bdi,2014,981911456.01061
bdi,2015,952454112.33029
bdi,2016,931500121.85903
bdi,2017,934294622.14178
bdi,2018,962323274.00423
bdi,2019,992155245.00752
bdi,2020,1019939163.67311
bel,1995,2270063374.21875
bel,1996,2270063374.21875
bel,1997,2335080829.60937
bel,1998,2410194852.30469
bel,1999,2426393740.50781
bel,2000,2587273109.64844
bel,2001,2403315872.38281
bel,2002,2652734370.19531
bel,2003,2565415705.70312
bel,2004,2749705796.83594
bel,2005,2674924628.00781
bel,2006,2912138484.02344
bel,2007,2904260942.5
bel,2008,2921902197.46094
bel,2009,2741606352.73437
bel,2010,3036736781.64062
bel,2011,3098647600.9375
bel,2012,3103973262.8125
bel,2013,2663829499.10156
bel,2014,2670264673.86719
bel,2015,3173539721.05469
bel,2016,2947753847.8125
bel,2017,3075902586.67969
bel,2018,2774226031.71875
bel,2019,2799522925.625
bel,2020,2608464805.85937
ben,1970,510360609.7849
ben,1971,491730387.52587
ben,1972,508545397.08878
