geo,time,ic_bus_ndns_zs
afg,2009,0.26019
afg,2010,0.32946
afg,2011,0.24897
afg,2012,0.22593
afg,2013,0.19316
afg,2014,0.14236
afg,2015,0.12447
afg,2016,0.13003
afg,2017,0.15486
afg,2018,0.21165
alb,2006,0.85221
alb,2007,1.06888
alb,2008,1.47872
alb,2009,1.13628
alb,2010,1.11145
alb,2011,0.9641
alb,2012,0.95153
alb,2013,1.06342
alb,2014,1.14587
alb,2015,1.31873
alb,2016,1.37791
alb,2017,1.52808
alb,2018,1.65782
alb,2019,1.63354
alb,2020,1.52484
are,2006,1.75719
are,2007,1.69272
are,2008,1.50727
are,2009,1.02682
are,2010,1.17057
are,2011,1.25583
are,2012,1.45401
are,2013,1.6273
are,2014,1.99568
are,2015,2.11394
are,2016,2.11248
are,2017,2.03233
are,2018,2.20529
are,2019,2.74853
are,2020,2.29513
arg,2006,0.24065
arg,2007,0.24047
arg,2008,0.23729
arg,2009,0.18967
arg,2010,0.20761
arg,2011,0.22111
arg,2012,0.18466
arg,2013,0.2002
arg,2014,0.17203
arg,2015,0.17944
arg,2016,0.21075
arg,2017,0.21998
arg,2018,0.19863
arm,2006,1.24509
arm,2007,1.65321
arm,2008,1.67654
arm,2009,1.28845
arm,2010,1.26284
arm,2011,1.31683
arm,2012,1.58728
arm,2013,1.57858
arm,2014,1.5698
arm,2015,1.72931
arm,2016,1.73855
arm,2017,2.20422
arm,2018,3.05246
arm,2019,3.43186
arm,2020,2.85546
atg,2006,5.33628
atg,2007,4.5523
atg,2008,3.91763
atg,2009,2.6983
atg,2010,3.20993
atg,2011,3.0593
atg,2012,2.70405
atg,2013,3.43888
atg,2014,3.84357
atg,2015,4.18113
atg,2016,4.52337
atg,2017,5.75522
atg,2018,4.20743
atg,2019,3.61194
atg,2020,3.78389
aus,2006,9.57617
aus,2007,11.17922
aus,2008,9.86125
aus,2009,9.94359
aus,2010,10.69375
aus,2011,11.08467
aus,2012,12.08073
aus,2013,13.06016
aus,2014,14.22827
aus,2015,15.27394
aus,2016,15.248
aus,2017,15.44787
aus,2018,14.47962
aus,2019,13.58991
aus,2020,14.2724
aut,2006,0.55624
aut,2007,0.52436
aut,2008,0.50753
aut,2009,0.50135
aut,2010,0.49947
aut,2011,0.48974
aut,2012,0.47796
aut,2013,0.49276
aut,2014,0.50921
aut,2015,0.52123
aut,2016,0.51466
aut,2017,0.51821
aut,2018,0.50825
aut,2019,0.51043
aut,2020,0.53061
