geo,time,per_si_allsi_cov_pop_tot
afg,2007,0.53904
ago,2018,3.63217
alb,2008,45.93881
alb,2012,36.25506
arg,2006,22.3381
arg,2010,29.57528
arg,2011,29.33212
arg,2012,28.96956
arg,2013,30.59056
arg,2014,31.44236
arg,2016,34.67823
arg,2017,35.36281
arg,2018,33.90985
arg,2019,34.30034
arm,2008,49.99086
arm,2009,51.284
arm,2010,52.10611
arm,2011,52.87971
arm,2012,53.36276
arm,2013,53.03151
arm,2014,54.75133
arm,2015,53.41843
arm,2016,51.89176
arm,2017,55.05737
arm,2018,52.32998
aze,2015,50.6121
ben,2003,6.62698
bfa,2014,2.18617
bfa,2018,2.70044
bgd,2005,1.64765
bgd,2010,1.49869
bgd,2016,0.95057
bgr,2007,47.71536
bih,2007,41.52379
bih,2015,40.16296
blr,2008,43.08533
blr,2009,40.88504
blr,2010,42.38951
blr,2012,47.92547
blr,2013,48.6875
blr,2014,47.1448
blr,2015,49.69061
blr,2016,49.98795
blr,2017,50.66548
blr,2018,48.91627
blr,2019,47.47545
blz,2009,28.18954
bol,2006,8.09237
bol,2007,8.08624
bol,2008,8.21736
bol,2009,8.39291
bol,2011,8.36406
bol,2012,8.54984
bol,2014,7.77064
bol,2015,7.68408
bol,2016,7.9594
bol,2017,7.31946
bol,2018,7.48572
bol,2019,8.53684
bra,2006,30.10094
bra,2009,27.94677
bra,2011,28.31045
bra,2012,28.34465
bra,2015,30.53531
bra,2016,29.63191
bra,2017,30.29412
bra,2018,30.86955
bra,2019,30.50582
btn,2007,1.43015
btn,2012,0.71224
btn,2017,0.89294
bwa,2015,3.76782
chl,2006,31.87976
chl,2009,41.25616
chl,2011,23.64044
chl,2013,44.39475
chl,2015,44.9127
chl,2017,45.67106
chn,2013,35.57958
civ,2002,20.61524
civ,2008,8.07079
civ,2015,7.92255
cmr,2007,2.80467
cmr,2014,3.40811
cod,2004,1.51236
cod,2012,1.59962
cog,2005,8.9148
col,2010,9.93494
col,2011,9.61441
col,2012,8.89796
col,2014,9.27032
col,2015,10.65736
col,2016,10.7572
col,2017,10.4588
col,2018,10.73056
col,2019,10.82088
com,2004,1.88031
cpv,2007,6.00065
cri,2008,12.94454
cri,2009,18.83602
cri,2010,14.0517
cri,2011,14.4034
cri,2012,15.02844
cri,2014,15.56914
cri,2015,15.66321
cri,2016,16.53164
cri,2017,18.2801
cri,2018,18.23503
cri,2019,18.3545
dji,2012,8.50192
dma,2002,13.3701
dom,2007,5.42859
dom,2008,4.79105
dom,2009,5.11579
dom,2010,5.78479
dom,2011,6.1303
dom,2012,5.68255
dom,2013,6.2101
dom,2014,6.48566
dom,2015,6.60105
dom,2016,6.72266
dom,2017,4.71885
dom,2018,5.52192
dom,2019,6.30969
ecu,2008,7.2553
