geo,time,sl_agr_empl_zs
afg,1991,63.43
afg,1992,63.65
afg,1993,64.41
afg,1994,64.44
afg,1995,64.3
afg,1996,64.68
afg,1997,64.98
afg,1998,65.2
afg,1999,65.46
afg,2000,65.84
afg,2001,66.29
afg,2002,64.42
afg,2003,63.7
afg,2004,63.27
afg,2005,62.15
afg,2006,61.28
afg,2007,60.14
afg,2008,59.29
afg,2009,56.89
afg,2010,54.58
afg,2011,53.56
afg,2012,51.4
afg,2013,49.82
afg,2014,48.41
afg,2015,47.07
afg,2016,45.81
afg,2017,43.99
afg,2018,43.13
afg,2019,42.5
ago,1991,39.83
ago,1992,39.9
ago,1993,40.21
ago,1994,40.09
ago,1995,39.56
ago,1996,38.98
ago,1997,38.54
ago,1998,38.16
ago,1999,37.86
ago,2000,37.5
ago,2001,37.22
ago,2002,36.56
ago,2003,36.45
ago,2004,36.17
ago,2005,38.11
ago,2006,40.21
ago,2007,42.21
ago,2008,44.37
ago,2009,46.51
ago,2010,48.88
ago,2011,51.22
ago,2012,51.23
ago,2013,51.18
ago,2014,51.14
ago,2015,51.16
ago,2016,51.15
ago,2017,50.99
ago,2018,50.91
ago,2019,50.73
alb,1991,57.91
alb,1992,58.11
alb,1993,57.62
alb,1994,57.08
alb,1995,56.36
alb,1996,55.94
alb,1997,56.06
alb,1998,55.25
alb,1999,54.03
alb,2000,52.82
alb,2001,51.31
alb,2002,50.16
alb,2003,49.27
alb,2004,48.34
alb,2005,47.38
alb,2006,46.3
alb,2007,45.55
alb,2008,44.66
alb,2009,44.05
alb,2010,42.08
alb,2011,45.39
alb,2012,46
alb,2013,44.2
alb,2014,42.26
alb,2015,41.28
alb,2016,40.04
alb,2017,38.08
alb,2018,37.29
alb,2019,36.42
are,1991,8.46
are,1992,8.37
are,1993,8.24
are,1994,8.13
are,1995,8
are,1996,7.99
are,1997,7.96
are,1998,7.92
are,1999,7.92
are,2000,7.9
are,2001,7.25
are,2002,6.67
are,2003,6.11
are,2004,5.63
are,2005,5.19
are,2006,4.78
are,2007,4.39
are,2008,4.04
are,2009,3.68
are,2010,3.38
are,2011,3.08
are,2012,2.79
are,2013,2.51
are,2014,2.25
are,2015,2.01
are,2016,1.81
are,2017,1.62
are,2018,1.46
are,2019,1.39
arg,1991,0.34
arg,1992,0.4
arg,1993,0.45
arg,1994,0.45
arg,1995,0.62
arg,1996,0.76
arg,1997,0.8
arg,1998,0.76
arg,1999,0.74
arg,2000,0.67
arg,2001,0.83
arg,2002,0.98
arg,2003,1.4
arg,2004,1.5
arg,2005,1.28
arg,2006,1.05
arg,2007,1.12
arg,2008,1.2
arg,2009,1.23
arg,2010,1.27
arg,2011,0.64
arg,2012,0.62
arg,2013,0.62
arg,2014,0.55
arg,2015,0.26
arg,2016,0.13
arg,2017,0.06
arg,2018,0.1
arg,2019,0.06
arm,1991,43.78
arm,1992,44.36
arm,1993,44.64
arm,1994,44.69
arm,1995,44.53
arm,1996,44.33
arm,1997,44.13
arm,1998,43.76
arm,1999,43.37
arm,2000,42.91
arm,2001,42.15
arm,2002,41.26
arm,2003,40.22
arm,2004,39.41
arm,2005,38.52
arm,2006,37.46
arm,2007,36.53
arm,2008,37.8
arm,2009,39.45
arm,2010,38.6
arm,2011,38.93
arm,2012,37.25
arm,2013,36.28
arm,2014,34.83
arm,2015,35.33
arm,2016,33.6
arm,2017,31.34
arm,2018,25.78
arm,2019,24.05
aus,1991,5.36
aus,1992,5.05
aus,1993,5.12
aus,1994,4.9
aus,1995,4.78
aus,1996,4.84
aus,1997,4.91
aus,1998,4.85
aus,1999,4.93
aus,2000,4.86
aus,2001,4.75
aus,2002,4.38
aus,2003,3.91
aus,2004,3.74
aus,2005,3.58
aus,2006,3.41
aus,2007,3.32
aus,2008,3.31
aus,2009,3.23
aus,2010,3.23
aus,2011,2.82
aus,2012,2.8
aus,2013,2.62
aus,2014,2.8
aus,2015,2.64
aus,2016,2.62
aus,2017,2.6
aus,2018,2.62
aus,2019,2.56
aut,1991,7.78
aut,1992,7.62
aut,1993,7.41
aut,1994,7.2
aut,1995,7.34
aut,1996,7.43
aut,1997,6.89
aut,1998,6.49
aut,1999,6.23
aut,2000,6.05
aut,2001,5.81
aut,2002,5.76
aut,2003,5.5
aut,2004,4.9
aut,2005,5.27
aut,2006,5.24
aut,2007,5.53
aut,2008,5.25
aut,2009,5.32
aut,2010,5.21
aut,2011,4.94
aut,2012,4.68
aut,2013,4.58
aut,2014,4.84
aut,2015,4.53
aut,2016,4.35
aut,2017,3.93
aut,2018,3.69
aut,2019,3.66
aze,1991,40.87
aze,1992,41.41
aze,1993,41.32
aze,1994,42.2
aze,1995,43.31
aze,1996,43.35
aze,1997,42.92
aze,1998,42.3
aze,1999,42.31
aze,2000,41.01
aze,2001,39.95
aze,2002,40.19
aze,2003,39.89
aze,2004,39.54
aze,2005,39.32
aze,2006,39.55
aze,2007,38.55
aze,2008,39.59
aze,2009,38.12
aze,2010,38.23
aze,2011,37.88
aze,2012,37.65
aze,2013,37.1
aze,2014,36.75
aze,2015,36.36
aze,2016,36.34
aze,2017,36.35
aze,2018,36.26
aze,2019,36
bdi,1991,92.13
bdi,1992,92.13
bdi,1993,92.19
bdi,1994,92.22
bdi,1995,92.3
bdi,1996,92.37
bdi,1997,92.35
bdi,1998,92.21
bdi,1999,91.99
bdi,2000,91.76
bdi,2001,91.48
bdi,2002,91.17
bdi,2003,90.93
bdi,2004,90.62
bdi,2005,90.3
bdi,2006,89.92
bdi,2007,89.53
bdi,2008,89.11
bdi,2009,88.68
bdi,2010,88.22
bdi,2011,87.75
bdi,2012,87.24
bdi,2013,86.71
bdi,2014,86.19
bdi,2015,86.29
bdi,2016,86.28
bdi,2017,86.31
bdi,2018,86.25
bdi,2019,86.21
bel,1991,3
bel,1992,2.9
bel,1993,2.63
bel,1994,2.89
bel,1995,2.68
bel,1996,2.75
bel,1997,2.66
bel,1998,2.24
bel,1999,2.39
bel,2000,1.91
bel,2001,1.38
bel,2002,1.79
bel,2003,1.72
bel,2004,2.22
bel,2005,2.04
bel,2006,1.95
bel,2007,1.86
bel,2008,1.55
bel,2009,1.49
bel,2010,1.35
bel,2011,1.3
bel,2012,1.17
bel,2013,1.36
bel,2014,1.22
bel,2015,1.18
bel,2016,1.25
bel,2017,1.16
bel,2018,0.99
bel,2019,0.92
ben,1991,50.9
ben,1992,50.8
ben,1993,50.64
ben,1994,50.26
ben,1995,50.06
ben,1996,49.83
ben,1997,49.51
ben,1998,49.25
ben,1999,48.85
ben,2000,48.39
ben,2001,47.91
ben,2002,47.46
ben,2003,47.07
ben,2004,46.65
ben,2005,46.32
ben,2006,45.88
ben,2007,45.34
ben,2008,44.85
ben,2009,44.45
ben,2010,44.07
ben,2011,43.61
ben,2012,43.03
ben,2013,42.27
ben,2014,41.56
ben,2015,41.08
ben,2016,40.59
ben,2017,39.87
ben,2018,39.08
ben,2019,38.27
bfa,1991,89.78
bfa,1992,89.64
bfa,1993,89.42
bfa,1994,89.14
bfa,1995,88.07
bfa,1996,86.77
bfa,1997,85.4
bfa,1998,83.86
bfa,1999,82.14
bfa,2000,80.43
bfa,2001,78.35
bfa,2002,76.11
bfa,2003,73.46
bfa,2004,70.72
bfa,2005,67.52
bfa,2006,64.09
bfa,2007,60.53
bfa,2008,56.66
bfa,2009,52.7
bfa,2010,48.22
bfa,2011,43.72
bfa,2012,39.2
bfa,2013,34.73
bfa,2014,30.38
bfa,2015,29.75
bfa,2016,28.93
bfa,2017,28.02
bfa,2018,27.08
bfa,2019,26.21
bgd,1991,69.51
bgd,1992,68.9
bgd,1993,68.12
bgd,1994,67.22
bgd,1995,66.03
bgd,1996,64.63
bgd,1997,64.86
bgd,1998,64.93
bgd,1999,64.94
bgd,2000,64.81
bgd,2001,62.39
bgd,2002,59.9
bgd,2003,57.19
bgd,2004,54.3
bgd,2005,51.17
bgd,2006,48.08
bgd,2007,47.85
bgd,2008,47.67
bgd,2009,47.53
bgd,2010,47.31
bgd,2011,46.55
bgd,2012,45.76
bgd,2013,45.01
bgd,2014,44.27
bgd,2015,43.46
bgd,2016,42.66
bgd,2017,40.6
bgd,2018,39.39
bgd,2019,38.3
bgr,1991,19.54
bgr,1992,19
bgr,1993,18.32
bgr,1994,17.49
bgr,1995,16.62
bgr,1996,15.6
bgr,1997,15.56
bgr,1998,14.32
bgr,1999,13.88
bgr,2000,13.2
bgr,2001,9.69
bgr,2002,10.71
bgr,2003,11.14
bgr,2004,10.75
bgr,2005,8.94
bgr,2006,8.11
bgr,2007,7.54
bgr,2008,7.47
bgr,2009,7.09
bgr,2010,6.82
bgr,2011,6.78
bgr,2012,6.44
bgr,2013,6.66
bgr,2014,7.01
bgr,2015,6.86
bgr,2016,6.75
bgr,2017,7.01
bgr,2018,6.58
bgr,2019,6.62
bhr,1991,2.43
bhr,1992,2.34
bhr,1993,2.24
bhr,1994,2.14
bhr,1995,2.05
bhr,1996,1.97
bhr,1997,1.88
bhr,1998,1.8
bhr,1999,1.72
bhr,2000,1.65
bhr,2001,1.57
bhr,2002,1.52
bhr,2003,1.47
bhr,2004,1.41
bhr,2005,1.35
bhr,2006,1.29
bhr,2007,1.24
bhr,2008,1.18
bhr,2009,1.14
bhr,2010,1.08
bhr,2011,1.09
bhr,2012,1.09
bhr,2013,1.09
bhr,2014,1.08
bhr,2015,1.08
bhr,2016,1.04
bhr,2017,1.01
bhr,2018,0.97
bhr,2019,0.94
bhs,1991,5.25
bhs,1992,5.25
bhs,1993,5.46
bhs,1994,5.43
bhs,1995,4.34
bhs,1996,5
bhs,1997,3.84
bhs,1998,3.53
bhs,1999,4.03
bhs,2000,4.11
bhs,2001,4.2
bhs,2002,3.71
bhs,2003,3
bhs,2004,4.43
bhs,2005,3.49
bhs,2006,2.5
bhs,2007,2.31
bhs,2008,2.93
bhs,2009,2.88
bhs,2010,2.71
bhs,2011,2.65
bhs,2012,2.62
bhs,2013,2.57
bhs,2014,2.49
bhs,2015,2.44
bhs,2016,2.38
bhs,2017,2.33
bhs,2018,2.26
bhs,2019,2.2
bih,1991,35.34
bih,1992,35.26
bih,1993,34.86
bih,1994,33.78
bih,1995,32.37
bih,1996,30.27
bih,1997,28.71
bih,1998,27.31
bih,1999,26.19
bih,2000,25.23
bih,2001,24.44
bih,2002,23.45
bih,2003,22.7
bih,2004,22.1
bih,2005,21.31
bih,2006,20.55
bih,2007,19.82
bih,2008,20.58
bih,2009,21.23
bih,2010,19.7
bih,2011,19.61
bih,2012,20.56
bih,2013,18.86
bih,2014,17.08
bih,2015,17.52
bih,2016,17.96
bih,2017,16.82
bih,2018,15.73
bih,2019,17.96
blr,1991,15.1
blr,1992,15.43
blr,1993,15.52
blr,1994,15.68
blr,1995,15.89
blr,1996,15.88
blr,1997,15.69
blr,1998,15.51
blr,1999,15.38
blr,2000,15.12
blr,2001,14.72
blr,2002,14.41
blr,2003,13.97
blr,2004,13.5
blr,2005,12.99
blr,2006,12.54
blr,2007,12.07
blr,2008,11.63
blr,2009,11.35
blr,2010,10.89
blr,2011,10.59
blr,2012,10.31
blr,2013,10.14
blr,2014,9.89
blr,2015,9.7
blr,2016,9.73
blr,2017,10.7
blr,2018,11.31
blr,2019,11.06
blz,1991,24.31
blz,1992,24.17
blz,1993,23.94
blz,1994,23.11
blz,1995,27.15
blz,1996,28.68
blz,1997,29.91
blz,1998,25.02
blz,1999,27.47
blz,2000,26.01
blz,2001,24.67
blz,2002,23.34
blz,2003,22
blz,2004,20.78
blz,2005,19.56
blz,2006,19.42
blz,2007,19.31
blz,2008,19.13
blz,2009,19.04
blz,2010,18.91
blz,2011,18.79
blz,2012,18.62
blz,2013,18.46
blz,2014,18.25
blz,2015,18.08
blz,2016,18.56
blz,2017,17.42
blz,2018,17.01
