global,time,sh_dth_1519
world,1990,825435
world,1991,815888
world,1992,801882
world,1993,799242
world,1994,850185
world,1995,786410
world,1996,781045
world,1997,775051
world,1998,773001
world,1999,774371
world,2000,766988
world,2001,762123
world,2002,757660
world,2003,754557
world,2004,757436
world,2005,741137
world,2006,722878
world,2007,709100
world,2008,701969
world,2009,680504
world,2010,685535
world,2011,656234
world,2012,647927
world,2013,640750
world,2014,634092
world,2015,628231
world,2016,620002
world,2017,611748
world,2018,603857
world,2019,594701
world,2020,585664
