global,time,sh_anm_allw_zs
world,2000,31.2
world,2001,30.9
world,2002,30.6
world,2003,30.3
world,2004,30.1
world,2005,29.9
world,2006,29.6
world,2007,29.3
world,2008,29.1
world,2009,28.8
world,2010,28.6
world,2011,28.5
world,2012,28.5
world,2013,28.5
world,2014,28.6
world,2015,28.8
world,2016,29
world,2017,29.3
world,2018,29.6
world,2019,29.9
