geo,time,er_h2o_intr_k3
brb,1982,0.08
brb,1987,0.08
brb,1992,0.08
brb,1997,0.08
brb,2002,0.08
brb,2007,0.08
brb,2012,0.08
brb,2017,0.08
brb,2018,0.08
brn,1962,8.5
brn,1967,8.5
brn,1972,8.5
brn,1977,8.5
brn,1982,8.5
brn,1987,8.5
brn,1992,8.5
brn,1997,8.5
brn,2002,8.5
brn,2007,8.5
brn,2012,8.5
brn,2017,8.5
brn,2018,8.5
btn,1962,95
btn,1967,95
btn,1972,95
btn,1977,95
btn,1982,95
btn,1987,95
btn,1992,95
btn,1997,81
btn,2002,81
btn,2007,78
btn,2012,78
btn,2017,78
btn,2018,78
bwa,1962,2.4
bwa,1967,2.4
bwa,1972,2.4
bwa,1977,2.4
bwa,1982,2.4
bwa,1987,2.4
bwa,1992,2.4
bwa,1997,2.4
bwa,2002,2.4
bwa,2007,2.4
bwa,2012,2.4
bwa,2017,2.4
bwa,2018,2.4
caf,1962,141
caf,1967,141
caf,1972,141
caf,1977,141
caf,1982,141
caf,1987,141
caf,1992,141
caf,1997,141
caf,2002,141
caf,2007,141
caf,2012,141
caf,2017,141
caf,2018,141
can,1962,2850
can,1967,2850
can,1972,2850
can,1977,2850
can,1982,2850
can,1987,2850
can,1992,2850
can,1997,2850
can,2002,2850
can,2007,2850
can,2012,2850
can,2017,2850
can,2018,2850
che,1962,40.4
che,1967,40.4
che,1972,40.4
che,1977,40.4
che,1982,40.4
che,1987,40.4
che,1992,40.4
che,1997,40.4
che,2002,40.4
che,2007,40.4
che,2012,40.4
che,2017,40.4
che,2018,40.4
chl,1962,885
chl,1967,885
chl,1972,885
chl,1977,885
chl,1982,885
chl,1987,885
chl,1992,885
chl,1997,885
chl,2002,885
chl,2007,885
chl,2012,885
chl,2017,885
chl,2018,885
chn,1962,2812.8999
chn,1967,2812.8999
chn,1972,2812.8999
chn,1977,2812.8999
chn,1982,2812.8999
chn,1987,2812.8999
chn,1992,2812.8999
chn,1997,2812.8999
chn,2002,2812.8999
chn,2007,2812.8999
chn,2012,2812.8999
chn,2017,2812.8999
chn,2018,2812.8999
civ,1962,76.84
civ,1967,76.84
civ,1972,76.84
civ,1977,76.84
civ,1982,76.84
civ,1987,76.84
civ,1992,76.84
civ,1997,76.84
civ,2002,76.84
civ,2007,76.84
civ,2012,76.84
civ,2017,76.84
civ,2018,76.84
cmr,1962,273
cmr,1967,273
cmr,1972,273
cmr,1977,273
cmr,1982,273
cmr,1987,273
cmr,1992,273
cmr,1997,273
cmr,2002,273
cmr,2007,273
cmr,2012,273
cmr,2017,273
cmr,2018,273
cod,1962,900
cod,1967,900
cod,1972,900
cod,1977,900
cod,1982,900
cod,1987,900
cod,1992,900
cod,1997,900
cod,2002,900
cod,2007,900
cod,2012,900
cod,2017,900
cod,2018,900
cog,1962,222
cog,1967,222
cog,1972,222
cog,1977,222
cog,1982,222
cog,1987,222
cog,1992,222
cog,1997,222
cog,2002,222
cog,2007,222
cog,2012,222
cog,2017,222
cog,2018,222
col,1962,2145
col,1967,2145
col,1972,2145
col,1977,2145
col,1982,2145
col,1987,2145
col,1992,2145
col,1997,2145
col,2002,2145
col,2007,2145
col,2012,2145
col,2017,2145
col,2018,2145
com,1962,1.2
com,1967,1.2
com,1972,1.2
com,1977,1.2
com,1982,1.2
com,1987,1.2
com,1992,1.2
com,1997,1.2
com,2002,1.2
com,2007,1.2
com,2012,1.2
com,2017,1.2
com,2018,1.2
cpv,1962,0.3
cpv,1967,0.3
cpv,1972,0.3
cpv,1977,0.3
cpv,1982,0.3
cpv,1987,0.3
cpv,1992,0.3
cpv,1997,0.3
cpv,2002,0.3
cpv,2007,0.3
cpv,2012,0.3
cpv,2017,0.3
cpv,2018,0.3
cri,1962,113
cri,1967,113
cri,1972,113
cri,1977,113
cri,1982,113
cri,1987,113
cri,1992,113
cri,1997,113
cri,2002,113
cri,2007,113
cri,2012,113
cri,2017,113
cri,2018,113
cub,1962,38.12
cub,1967,38.12
cub,1972,38.12
cub,1977,38.12
cub,1982,38.12
cub,1987,38.12
cub,1992,38.12
cub,1997,38.12
cub,2002,38.12
cub,2007,38.12
cub,2012,38.12
cub,2017,38.12
cub,2018,38.12
cyp,1962,0.78
cyp,1967,0.78
cyp,1972,0.78
cyp,1977,0.78
cyp,1982,0.78
cyp,1987,0.78
cyp,1992,0.78
cyp,1997,0.78
cyp,2002,0.78
cyp,2007,0.78
cyp,2012,0.78
cyp,2017,0.78
cyp,2018,0.78
cze,1997,13.15
cze,2002,13.15
cze,2007,13.15
cze,2012,13.15
cze,2017,13.15
cze,2018,13.15
deu,1962,107
deu,1967,107
deu,1972,107
deu,1977,107
deu,1982,107
deu,1987,107
deu,1992,107
deu,1997,107
deu,2002,107
deu,2007,107
deu,2012,107
deu,2017,107
deu,2018,107
dji,1962,0.3
dji,1967,0.3
dji,1972,0.3
dji,1977,0.3
dji,1982,0.3
dji,1987,0.3
dji,1992,0.3
dji,1997,0.3
dji,2002,0.3
dji,2007,0.3
dji,2012,0.3
dji,2017,0.3
dji,2018,0.3
dma,1962,0.2
dma,1967,0.2
dma,1972,0.2
dma,1977,0.2
dma,1982,0.2
dma,1987,0.2
dma,1992,0.2
dma,1997,0.2
dma,2002,0.2
dma,2007,0.2
dma,2012,0.2
dma,2017,0.2
dma,2018,0.2
dnk,1962,6
dnk,1967,6
dnk,1972,6
dnk,1977,6
dnk,1982,6
dnk,1987,6
dnk,1992,6
dnk,1997,6
dnk,2002,6
dnk,2007,6
dnk,2012,6
dnk,2017,6
dnk,2018,6
dom,1962,23.5
dom,1967,23.5
dom,1972,23.5
dom,1977,23.5
dom,1982,23.5
dom,1987,23.5
dom,1992,23.5
dom,1997,23.5
dom,2002,23.5
dom,2007,23.5
dom,2012,23.5
dom,2017,23.5
dom,2018,23.5
dza,1962,11.247
dza,1967,11.247
dza,1972,11.247
dza,1977,11.247
dza,1982,11.247
dza,1987,11.247
dza,1992,11.247
dza,1997,11.247
dza,2002,11.247
dza,2007,11.247
dza,2012,11.247
dza,2017,11.247
dza,2018,11.247
ecu,1962,442.39999
ecu,1967,442.39999
ecu,1972,442.39999
ecu,1977,442.39999
ecu,1982,442.39999
ecu,1987,442.39999
ecu,1992,442.39999
ecu,1997,442.39999
ecu,2002,442.39999
ecu,2007,442.39999
ecu,2012,442.39999
ecu,2017,442.39999
ecu,2018,442.39999
egy,1962,1
egy,1967,1
egy,1972,1
egy,1977,1
egy,1982,1
egy,1987,1
egy,1992,1
egy,1997,1
egy,2002,1
egy,2007,1
egy,2012,1
egy,2017,1
egy,2018,1
eri,1997,2.8
eri,2002,2.8
eri,2007,2.8
eri,2012,2.8
eri,2017,2.8
eri,2018,2.8
esp,1962,111.2
esp,1967,111.2
esp,1972,111.2
esp,1977,111.2
esp,1982,111.2
esp,1987,111.2
esp,1992,111.2
esp,1997,111.2
esp,2002,111.2
esp,2007,111.2
esp,2012,111.2
esp,2017,111.2
esp,2018,111.2
est,1992,12.71
est,1997,12.71
est,2002,12.71
est,2007,12.71
est,2012,12.71
est,2017,12.71
est,2018,12.71
eth,1997,122
eth,2002,122
eth,2007,122
eth,2012,122
eth,2017,122
eth,2018,122
fin,1962,107
fin,1967,107
fin,1972,107
fin,1977,107
fin,1982,107
fin,1987,107
fin,1992,107
fin,1997,107
fin,2002,107
fin,2007,107
fin,2012,107
fin,2017,107
fin,2018,107
fji,1962,28.55
fji,1967,28.55
fji,1972,28.55
fji,1977,28.55
fji,1982,28.55
fji,1987,28.55
fji,1992,28.55
fji,1997,28.55
fji,2002,28.55
fji,2007,28.55
fji,2012,28.55
fji,2017,28.55
fji,2018,28.55
fra,1962,200
fra,1967,200
fra,1972,200
fra,1977,200
fra,1982,200
fra,1987,200
fra,1992,200
fra,1997,200
fra,2002,200
fra,2007,200
fra,2012,200
fra,2017,200
fra,2018,200
gab,1962,164
gab,1967,164
gab,1972,164
gab,1977,164
gab,1982,164
gab,1987,164
gab,1992,164
gab,1997,164
gab,2002,164
gab,2007,164
gab,2012,164
gab,2017,164
gab,2018,164
gbr,1962,145
gbr,1967,145
gbr,1972,145
gbr,1977,145
gbr,1982,145
gbr,1987,145
gbr,1992,145
gbr,1997,145
gbr,2002,145
gbr,2007,145
gbr,2012,145
gbr,2017,145
gbr,2018,145
geo,1992,58.13
geo,1997,58.13
geo,2002,58.13
geo,2007,58.13
geo,2012,58.13
geo,2017,58.13
geo,2018,58.13
gha,1962,30.3
gha,1967,30.3
gha,1972,30.3
gha,1977,30.3
gha,1982,30.3
gha,1987,30.3
gha,1992,30.3
gha,1997,30.3
gha,2002,30.3
gha,2007,30.3
gha,2012,30.3
gha,2017,30.3
gha,2018,30.3
gin,1962,226
gin,1967,226
gin,1972,226
gin,1977,226
gin,1982,226
gin,1987,226
gin,1992,226
gin,1997,226
gin,2002,226
gin,2007,226
gin,2012,226
gin,2017,226
gin,2018,226
gmb,1962,3
gmb,1967,3
gmb,1972,3
gmb,1977,3
gmb,1982,3
gmb,1987,3
gmb,1992,3
gmb,1997,3
gmb,2002,3
gmb,2007,3
gmb,2012,3
gmb,2017,3
gmb,2018,3
gnb,1962,16
gnb,1967,16
gnb,1972,16
gnb,1977,16
gnb,1982,16
gnb,1987,16
gnb,1992,16
gnb,1997,16
gnb,2002,16
gnb,2007,16
gnb,2012,16
gnb,2017,16
gnb,2018,16
gnq,1962,26
gnq,1967,26
gnq,1972,26
gnq,1977,26
gnq,1982,26
gnq,1987,26
gnq,1992,26
gnq,1997,26
gnq,2002,26
gnq,2007,26
gnq,2012,26
gnq,2017,26
gnq,2018,26
grc,1962,58
grc,1967,58
grc,1972,58
grc,1977,58
grc,1982,58
grc,1987,58
grc,1992,58
grc,1997,58
grc,2002,58
grc,2007,58
grc,2012,58
grc,2017,58
grc,2018,58
grd,1962,0.2
grd,1967,0.2
grd,1972,0.2
grd,1977,0.2
grd,1982,0.2
grd,1987,0.2
grd,1992,0.2
grd,1997,0.2
grd,2002,0.2
grd,2007,0.2
grd,2012,0.2
grd,2017,0.2
grd,2018,0.2
