geo,time,er_h2o_intr_k3
ner,2007,3.5
ner,2012,3.5
ner,2017,3.5
ner,2018,3.5
nga,1962,221
nga,1967,221
nga,1972,221
nga,1977,221
nga,1982,221
nga,1987,221
nga,1992,221
nga,1997,221
nga,2002,221
nga,2007,221
nga,2012,221
nga,2017,221
nga,2018,221
nic,1962,156.21001
nic,1967,156.21001
nic,1972,156.21001
nic,1977,156.21001
nic,1982,156.21001
nic,1987,156.21001
nic,1992,156.21001
nic,1997,156.21001
nic,2002,156.21001
nic,2007,156.21001
nic,2012,156.21001
nic,2017,156.21001
nic,2018,156.21001
nld,1962,11
nld,1967,11
nld,1972,11
nld,1977,11
nld,1982,11
nld,1987,11
nld,1992,11
nld,1997,11
nld,2002,11
nld,2007,11
nld,2012,11
nld,2017,11
nld,2018,11
nor,1962,382
nor,1967,382
nor,1972,382
nor,1977,382
nor,1982,382
nor,1987,382
nor,1992,382
nor,1997,382
nor,2002,382
nor,2007,382
nor,2012,382
nor,2017,382
nor,2018,382
npl,1962,198.2
npl,1967,198.2
npl,1972,198.2
npl,1977,198.2
npl,1982,198.2
npl,1987,198.2
npl,1992,198.2
npl,1997,198.2
npl,2002,198.2
npl,2007,198.2
npl,2012,198.2
npl,2017,198.2
npl,2018,198.2
nru,1962,0.01
nru,1967,0.01
nru,1972,0.01
nru,1977,0.01
nru,1982,0.01
nru,1987,0.01
nru,1992,0.01
nru,1997,0.01
nru,2002,0.01
nru,2007,0.01
nru,2012,0.01
nru,2017,0.01
nru,2018,0.01
nzl,1962,327
nzl,1967,327
nzl,1972,327
nzl,1977,327
nzl,1982,327
nzl,1987,327
nzl,1992,327
nzl,1997,327
nzl,2002,327
nzl,2007,327
nzl,2012,327
nzl,2017,327
nzl,2018,327
omn,1962,1.4
omn,1967,1.4
omn,1972,1.4
omn,1977,1.4
omn,1982,1.4
omn,1987,1.4
omn,1992,1.4
omn,1997,1.4
omn,2002,1.4
omn,2007,1.4
omn,2012,1.4
omn,2017,1.4
omn,2018,1.4
pak,1962,55
pak,1967,55
pak,1972,55
pak,1977,55
pak,1982,55
pak,1987,55
pak,1992,55
pak,1997,55
pak,2002,55
pak,2007,55
pak,2012,55
pak,2017,55
pak,2018,55
pan,1962,136.60001
pan,1967,136.60001
pan,1972,136.60001
pan,1977,136.60001
pan,1982,136.60001
pan,1987,136.60001
pan,1992,136.60001
pan,1997,136.60001
pan,2002,136.60001
pan,2007,136.60001
pan,2012,136.60001
pan,2017,136.60001
pan,2018,136.60001
per,1962,1641
per,1967,1641
per,1972,1641
per,1977,1641
per,1982,1641
per,1987,1641
per,1992,1641
per,1997,1641
per,2002,1641
per,2007,1641
per,2012,1641
per,2017,1641
per,2018,1641
phl,1962,479
phl,1967,479
phl,1972,479
phl,1977,479
phl,1982,479
phl,1987,479
phl,1992,479
phl,1997,479
phl,2002,479
phl,2007,479
phl,2012,479
phl,2017,479
phl,2018,479
png,1962,801
png,1967,801
png,1972,801
png,1977,801
png,1982,801
png,1987,801
png,1992,801
png,1997,801
png,2002,801
png,2007,801
png,2012,801
png,2017,801
png,2018,801
pol,1962,53.6
pol,1967,53.6
pol,1972,53.6
pol,1977,53.6
pol,1982,53.6
pol,1987,53.6
pol,1992,53.6
pol,1997,53.6
pol,2002,53.6
pol,2007,53.6
pol,2012,53.6
pol,2017,53.6
pol,2018,53.6
pri,1962,7.1
pri,1967,7.1
pri,1972,7.1
pri,1977,7.1
pri,1982,7.1
pri,1987,7.1
pri,1992,7.1
pri,1997,7.1
pri,2002,7.1
pri,2007,7.1
pri,2012,7.1
pri,2017,7.1
pri,2018,7.1
prk,1962,67
prk,1967,67
prk,1972,67
prk,1977,67
prk,1982,67
prk,1987,67
prk,1992,67
prk,1997,67
prk,2002,67
prk,2007,67
prk,2012,67
prk,2017,67
prk,2018,67
prt,1962,38
prt,1967,38
prt,1972,38
prt,1977,38
prt,1982,38
prt,1987,38
prt,1992,38
prt,1997,38
prt,2002,38
prt,2007,38
prt,2012,38
prt,2017,38
prt,2018,38
pry,1962,117
pry,1967,117
pry,1972,117
pry,1977,117
pry,1982,117
pry,1987,117
pry,1992,117
pry,1997,117
pry,2002,117
pry,2007,117
pry,2012,117
pry,2017,117
pry,2018,117
pse,1962,0.812
pse,1967,0.812
pse,1972,0.812
pse,1977,0.812
pse,1982,0.812
pse,1987,0.812
pse,1992,0.812
pse,1997,0.812
pse,2002,0.812
pse,2007,0.812
pse,2012,0.812
pse,2017,0.812
pse,2018,0.812
qat,1962,0.056
qat,1967,0.056
qat,1972,0.056
qat,1977,0.056
qat,1982,0.056
qat,1987,0.056
qat,1992,0.056
qat,1997,0.056
qat,2002,0.056
qat,2007,0.056
qat,2012,0.056
qat,2017,0.056
qat,2018,0.056
rou,1962,42.38
rou,1967,42.38
rou,1972,42.38
rou,1977,42.38
rou,1982,42.38
rou,1987,42.38
rou,1992,42.38
rou,1997,42.38
rou,2002,42.38
rou,2007,42.38
rou,2012,42.38
rou,2017,42.38
rou,2018,42.38
rus,1992,4312
rus,1997,4312
rus,2002,4312
rus,2007,4312
rus,2012,4312
rus,2017,4312
rus,2018,4312
rwa,1962,9.5
rwa,1967,9.5
rwa,1972,9.5
rwa,1977,9.5
rwa,1982,9.5
rwa,1987,9.5
rwa,1992,9.5
rwa,1997,9.5
rwa,2002,9.5
rwa,2007,9.5
rwa,2012,9.5
rwa,2017,9.5
rwa,2018,9.5
sau,1962,2.4
sau,1967,2.4
sau,1972,2.4
sau,1977,2.4
sau,1982,2.4
sau,1987,2.4
sau,1992,2.4
sau,1997,2.4
sau,2002,2.4
sau,2007,2.4
sau,2012,2.4
sau,2017,2.4
sau,2018,2.4
sdn,2012,4
sdn,2017,4
sdn,2018,4
sen,1962,25.8
sen,1967,25.8
sen,1972,25.8
sen,1977,25.8
sen,1982,25.8
sen,1987,25.8
sen,1992,25.8
sen,1997,25.8
sen,2002,25.8
sen,2007,25.8
sen,2012,25.8
sen,2017,25.8
sen,2018,25.8
sgp,1962,0.6
sgp,1967,0.6
sgp,1972,0.6
sgp,1977,0.6
sgp,1982,0.6
sgp,1987,0.6
sgp,1992,0.6
sgp,1997,0.6
sgp,2002,0.6
sgp,2007,0.6
sgp,2012,0.6
sgp,2017,0.6
sgp,2018,0.6
slb,1962,44.7
slb,1967,44.7
slb,1972,44.7
slb,1977,44.7
slb,1982,44.7
slb,1987,44.7
slb,1992,44.7
slb,1997,44.7
slb,2002,44.7
slb,2007,44.7
slb,2012,44.7
slb,2017,44.7
slb,2018,44.7
sle,1962,160
sle,1967,160
sle,1972,160
sle,1977,160
sle,1982,160
sle,1987,160
sle,1992,160
sle,1997,160
sle,2002,160
sle,2007,160
sle,2012,160
sle,2017,160
sle,2018,160
slv,1962,15.63
slv,1967,15.63
slv,1972,15.63
slv,1977,15.63
slv,1982,15.63
slv,1987,15.63
slv,1992,15.63
slv,1997,15.63
slv,2002,15.63
slv,2007,15.63
slv,2012,15.63
slv,2017,15.63
slv,2018,15.63
som,1962,6
som,1967,6
som,1972,6
som,1977,6
som,1982,6
som,1987,6
som,1992,6
som,1997,6
som,2002,6
som,2007,6
som,2012,6
som,2017,6
som,2018,6
srb,2007,8.407
srb,2012,8.407
srb,2017,8.407
srb,2018,8.407
ssd,2012,26
ssd,2017,26
ssd,2018,26
stp,1962,2.18
stp,1967,2.18
stp,1972,2.18
stp,1977,2.18
stp,1982,2.18
stp,1987,2.18
stp,1992,2.18
stp,1997,2.18
stp,2002,2.18
stp,2007,2.18
stp,2012,2.18
stp,2017,2.18
stp,2018,2.18
sur,1962,99
sur,1967,99
sur,1972,99
sur,1977,99
sur,1982,99
sur,1987,99
sur,1992,99
sur,1997,99
sur,2002,99
sur,2007,99
sur,2012,99
sur,2017,99
sur,2018,99
svk,1997,12.6
svk,2002,12.6
svk,2007,12.6
svk,2012,12.6
svk,2017,12.6
svk,2018,12.6
svn,1992,18.67
svn,1997,18.67
svn,2002,18.67
svn,2007,18.67
svn,2012,18.67
svn,2017,18.67
svn,2018,18.67
swe,1962,171
swe,1967,171
swe,1972,171
swe,1977,171
swe,1982,171
swe,1987,171
swe,1992,171
swe,1997,171
swe,2002,171
swe,2007,171
swe,2012,171
swe,2017,171
swe,2018,171
swz,1962,2.64
swz,1967,2.64
swz,1972,2.64
swz,1977,2.64
swz,1982,2.64
swz,1987,2.64
swz,1992,2.64
swz,1997,2.64
swz,2002,2.64
swz,2007,2.64
swz,2012,2.64
swz,2017,2.64
swz,2018,2.64
syr,1962,7.132
syr,1967,7.132
syr,1972,7.132
syr,1977,7.132
syr,1982,7.132
syr,1987,7.132
syr,1992,7.132
syr,1997,7.132
syr,2002,7.132
syr,2007,7.132
syr,2012,7.132
syr,2017,7.132
syr,2018,7.132
tcd,1962,15
tcd,1967,15
tcd,1972,15
tcd,1977,15
tcd,1982,15
tcd,1987,15
tcd,1992,15
tcd,1997,15
tcd,2002,15
tcd,2007,15
tcd,2012,15
tcd,2017,15
tcd,2018,15
tgo,1962,11.5
tgo,1967,11.5
tgo,1972,11.5
tgo,1977,11.5
tgo,1982,11.5
tgo,1987,11.5
tgo,1992,11.5
tgo,1997,11.5
tgo,2002,11.5
tgo,2007,11.5
tgo,2012,11.5
tgo,2017,11.5
tgo,2018,11.5
tha,1962,224.50999
tha,1967,224.50999
tha,1972,224.50999
tha,1977,224.50999
tha,1982,224.50999
tha,1987,224.50999
tha,1992,224.50999
tha,1997,224.50999
tha,2002,224.50999
tha,2007,224.50999
tha,2012,224.50999
tha,2017,224.50999
tha,2018,224.50999
tjk,1992,63.46
tjk,1997,63.46
tjk,2002,63.46
tjk,2007,63.46
tjk,2012,63.46
tjk,2017,63.46
tjk,2018,63.46
tkm,1992,1.405
tkm,1997,1.405
tkm,2002,1.405
tkm,2007,1.405
tkm,2012,1.405
tkm,2017,1.405
tkm,2018,1.405
tls,1962,8.215
tls,1967,8.215
tls,1972,8.215
tls,1977,8.215
tls,1982,8.215
tls,1987,8.215
tls,1992,8.215
tls,1997,8.215
tls,2002,8.215
tls,2007,8.215
tls,2012,8.215
tls,2017,8.215
tls,2018,8.215
tto,1962,3.84
tto,1967,3.84
tto,1972,3.84
tto,1977,3.84
tto,1982,3.84
tto,1987,3.84
tto,1992,3.84
tto,1997,3.84
tto,2002,3.84
tto,2007,3.84
tto,2012,3.84
tto,2017,3.84
tto,2018,3.84
tun,1962,4.195
tun,1967,4.195
tun,1972,4.195
tun,1977,4.195
tun,1982,4.195
tun,1987,4.195
tun,1992,4.195
tun,1997,4.195
tun,2002,4.195
tun,2007,4.195
tun,2012,4.195
tun,2017,4.195
tun,2018,4.195
tur,1962,227
tur,1967,227
tur,1972,227
tur,1977,227
tur,1982,227
tur,1987,227
tur,1992,227
tur,1997,227
tur,2002,227
tur,2007,227
tur,2012,227
tur,2017,227
tur,2018,227
tza,1962,84
tza,1967,84
tza,1972,84
tza,1977,84
tza,1982,84
tza,1987,84
tza,1992,84
tza,1997,84
tza,2002,84
tza,2007,84
tza,2012,84
tza,2017,84
tza,2018,84
uga,1962,39
uga,1967,39
uga,1972,39
uga,1977,39
uga,1982,39
uga,1987,39
uga,1992,39
uga,1997,39
uga,2002,39
uga,2007,39
uga,2012,39
uga,2017,39
uga,2018,39
ukr,1992,55.1
ukr,1997,55.1
ukr,2002,55.1
ukr,2007,55.1
ukr,2012,55.1
ukr,2017,55.1
ukr,2018,55.1
ury,1962,92.2
ury,1967,92.2
ury,1972,92.2
ury,1977,92.2
ury,1982,92.2
ury,1987,92.2
ury,1992,92.2
ury,1997,92.2
ury,2002,92.2
ury,2007,92.2
ury,2012,92.2
ury,2017,92.2
ury,2018,92.2
usa,1962,2818
usa,1967,2818
usa,1972,2818
usa,1977,2818
usa,1982,2818
usa,1987,2818
usa,1992,2818
usa,1997,2818
usa,2002,2818
usa,2007,2818
usa,2012,2818
usa,2017,2818
usa,2018,2818
uzb,1992,16.34
uzb,1997,16.34
uzb,2002,16.34
uzb,2007,16.34
uzb,2012,16.34
uzb,2017,16.34
uzb,2018,16.34
vct,1962,0.1
vct,1967,0.1
vct,1972,0.1
vct,1977,0.1
vct,1982,0.1
vct,1987,0.1
vct,1992,0.1
vct,1997,0.1
vct,2002,0.1
vct,2007,0.1
vct,2012,0.1
vct,2017,0.1
vct,2018,0.1
ven,1962,805
ven,1967,805
ven,1972,805
ven,1977,805
ven,1982,805
ven,1987,805
ven,1992,805
ven,1997,805
ven,2002,805
ven,2007,805
ven,2012,805
ven,2017,805
ven,2018,805
vnm,1962,359.42001
vnm,1967,359.42001
vnm,1972,359.42001
vnm,1977,359.42001
vnm,1982,359.42001
vnm,1987,359.42001
vnm,1992,359.42001
vnm,1997,359.42001
vnm,2002,359.42001
vnm,2007,359.42001
vnm,2012,359.42001
vnm,2017,359.42001
vnm,2018,359.42001
vut,1962,10
vut,1967,10
vut,1972,10
vut,1977,10
vut,1982,10
vut,1987,10
vut,1992,10
vut,1997,10
vut,2002,10
vut,2007,10
vut,2012,10
vut,2017,10
vut,2018,10
yem,1962,2.1
yem,1967,2.1
yem,1972,2.1
yem,1977,2.1
yem,1982,2.1
yem,1987,2.1
yem,1992,2.1
yem,1997,2.1
yem,2002,2.1
yem,2007,2.1
yem,2012,2.1
yem,2017,2.1
yem,2018,2.1
zaf,1962,44.8
zaf,1967,44.8
zaf,1972,44.8
zaf,1977,44.8
zaf,1982,44.8
zaf,1987,44.8
zaf,1992,44.8
zaf,1997,44.8
zaf,2002,44.8
zaf,2007,44.8
zaf,2012,44.8
zaf,2017,44.8
zaf,2018,44.8
zmb,1962,80.2
zmb,1967,80.2
zmb,1972,80.2
zmb,1977,80.2
zmb,1982,80.2
zmb,1987,80.2
zmb,1992,80.2
zmb,1997,80.2
zmb,2002,80.2
zmb,2007,80.2
zmb,2012,80.2
zmb,2017,80.2
zmb,2018,80.2
zwe,1962,12.26
zwe,1967,12.26
zwe,1972,12.26
zwe,1977,12.26
zwe,1982,12.26
zwe,1987,12.26
zwe,1992,12.26
zwe,1997,12.26
zwe,2002,12.26
zwe,2007,12.26
zwe,2012,12.26
zwe,2017,12.26
zwe,2018,12.26
