global,time,sh_mmr_risk_zs
world,2000,0.96864
world,2001,0.93687
world,2002,0.90641
world,2003,0.87434
world,2004,0.83844
world,2005,0.79818
world,2006,0.7625
world,2007,0.73008
world,2008,0.70294
world,2009,0.67803
world,2010,0.6528
world,2011,0.63002
world,2012,0.61023
world,2013,0.5925
world,2014,0.578
world,2015,0.56103
world,2016,0.54591
world,2017,0.53404
