geo,time,is_rrs_pasg_km
alb,1995,197
alb,1996,168
alb,1997,95
alb,1998,116
alb,1999,121
alb,2000,125
alb,2001,138
alb,2002,123
alb,2003,105
alb,2004,89
alb,2005,73
alb,2006,80
alb,2007,51
alb,2008,41
alb,2009,32
alb,2010,19
alb,2011,18
alb,2012,16
alb,2013,12
alb,2014,7.714
alb,2015,6.99
alb,2016,3.2
alb,2017,2.4
alb,2018,2.7
arg,2005,8640.76274
arg,2006,9052.39046
arg,2007,8715.43859
arg,2008,9237.51055
arg,2009,9108.06037
arg,2010,8817.87237
arg,2011,7287.93339
arg,2012,6002.51779
arg,2013,5035.00182
arg,2014,5733.57702
arg,2015,6883.56523
arg,2016,8065.36846
arg,2017,8360.78202
arm,1997,84
arm,1998,52
arm,1999,46
arm,2000,47
arm,2001,47
arm,2002,48
arm,2003,41
arm,2004,30
arm,2005,27
arm,2006,28
arm,2007,24
arm,2008,24
arm,2009,35
arm,2010,50
arm,2011,49
arm,2012,53
arm,2013,55
arm,2014,52
arm,2015,44
arm,2016,50
arm,2017,55
aus,1995,10344.506
aus,1996,10696.25244
aus,1997,10976.87547
aus,1998,10950.91899
aus,1999,11164.80379
aus,2000,11552.16196
aus,2001,12149.62499
aus,2002,12005.65718
aus,2003,12021.77311
aus,2004,12087.04654
aus,2005,12062.89335
aus,2006,12590.87402
aus,2007,13212.73158
aus,2008,14276.38405
aus,2009,15004.1416
aus,2010,14992.79186
aus,2011,15275.79363
aus,2012,15568.96388
aus,2013,15543.66784
aus,2014,15571.08331
aus,2015,16016.86065
aus,2016,16503.75857
aus,2017,17039.19373
aus,2018,17585.94717
aut,1995,9625
aut,1996,9689
aut,1997,8140
aut,1998,7971
aut,1999,7995
aut,2000,8206
aut,2001,8240
aut,2002,8300
aut,2003,8249
aut,2004,8295
aut,2005,8470
aut,2006,9296
aut,2007,9580
aut,2008,10837
aut,2009,10653
aut,2010,10737
aut,2011,10875
aut,2012,11323
aut,2013,11915
aut,2014,12092
aut,2015,12208
aut,2016,12578
aut,2017,12656.7
aut,2018,13204.7
aze,1995,791
aze,1996,558
aze,1997,489
aze,1998,533
aze,1999,422
aze,2000,493
aze,2001,537
aze,2002,584
aze,2003,654
aze,2004,789
aze,2005,878
aze,2006,964
aze,2007,1108
aze,2008,1049
aze,2009,1024
aze,2010,917
aze,2011,660
aze,2012,591
aze,2013,609
aze,2014,612
aze,2015,495
aze,2016,448
aze,2017,467
aze,2018,466
bel,1995,6757
bel,1996,6788
bel,1997,6980
bel,1998,7097
bel,1999,7354
bel,2000,7755
bel,2001,8036
bel,2002,8260
bel,2003,8265
bel,2004,8676
bel,2005,9150
bel,2006,9607
bel,2007,9932
bel,2008,10406
bel,2009,10427
bel,2010,10403
bel,2011,11003
bel,2013,10595
bel,2014,10974
bel,2015,10333
bel,2016,10025
bel,2017,10167
ben,1996,118
ben,1997,120
ben,1998,112
ben,1999,108
ben,2003,66
bgd,1995,4037
bgd,1996,3754
bgd,1997,3753.6
bgd,1998,3855.5
bgd,1999,3678.3
bgd,2000,3940.7
bgd,2001,4209.2
bgd,2002,3971.8
bgd,2003,4024.2
bgd,2004,4341.5
bgd,2005,4164.1
bgd,2007,4586
bgd,2008,5609
bgd,2009,6801
bgd,2010,7304
bgd,2011,8052
bgd,2012,8787
bgd,2013,8253
bgd,2014,8135
bgd,2015,8711
bgd,2016,10040
bgr,1995,4693
bgr,1996,5065
bgr,1997,5886
bgr,1998,4740
bgr,1999,3819
bgr,2000,3472
bgr,2001,2990
bgr,2002,2598
bgr,2003,2517
bgr,2004,2404
bgr,2005,2389
bgr,2006,2422
bgr,2007,2424
bgr,2008,2335
bgr,2009,2144
bgr,2010,2100
bgr,2011,2068
bgr,2012,1876
bgr,2013,1826
bgr,2014,1702
bgr,2015,1552
bgr,2016,1458
bgr,2017,1438
bgr,2018,1479
bih,1995,65
bih,1996,30
bih,1997,6
bih,1998,4
bih,1999,41
bih,2000,38
bih,2001,41
bih,2002,38
bih,2003,36
bih,2004,34
bih,2005,34
bih,2006,36
bih,2007,61
bih,2008,78
bih,2009,61
bih,2010,59
bih,2011,100
bih,2012,54
bih,2013,40
bih,2014,35
bih,2015,34
bih,2016,24
bih,2017,30
blr,1995,12505
blr,1996,11657
blr,1997,12909
blr,1998,13268
blr,1999,16874
blr,2000,17722
blr,2001,15264
blr,2002,14349
blr,2003,13308
blr,2004,13893
blr,2005,10351
blr,2006,9968
blr,2007,9366
blr,2008,8188
blr,2009,7401
blr,2010,7578
blr,2011,7941
blr,2012,8977
blr,2013,8998
blr,2014,7796
blr,2015,7117
blr,2016,6428
blr,2017,6295
blr,2018,6215
bra,2013,15191
bra,2014,15901
bra,2015,15877
bra,2016,15648
bra,2017,15807
bwa,1995,86
bwa,1996,95.8
bwa,1997,96
bwa,1998,94
bwa,1999,89
bwa,2000,75
bwa,2001,106
bwa,2002,115
bwa,2003,160
bwa,2004,94
bwa,2005,94
bwa,2006,94
can,1995,1382
can,1996,1411
can,1997,1440
can,1998,1469
can,1999,1498
can,2000,1548
can,2001,1553
can,2002,1596
can,2003,1433
can,2004,1413
can,2005,1478
can,2006,1450
can,2007,1453
can,2008,1574
can,2009,1413
can,2010,1404
can,2011,1404
can,2012,1376
can,2013,1365
can,2014,1327
can,2015,1349
can,2016,1408
can,2017,1527
can,2018,1598
che,1995,11713
che,1996,11890
che,1997,12051
che,1998,12148
che,1999,12501
che,2000,12620
che,2001,13301
che,2002,14147
che,2003,14509
che,2004,14914
che,2005,16144
che,2006,16578
che,2007,17434
che,2008,17776
che,2009,18571
che,2010,19177
che,2011,19471
che,2012,19262
che,2013,19447
che,2014,20010
che,2015,20389
che,2016,20812
che,2017,20864.5
chl,2010,696.35048
chl,2011,851.58211
chl,2012,933.99955
chl,2013,861.78041
chl,2014,662.56165
chl,2015,584.36598
chl,2016,582.86035
chl,2017,595.78301
chl,2018,676.50997
chn,1995,354570
chn,1996,334760
chn,1997,358486
chn,1998,377342
chn,1999,413590
chn,2000,453259
chn,2001,476682
chn,2002,496940
chn,2003,478861
chn,2004,571220
chn,2005,606196
chn,2006,662212
chn,2007,721631
chn,2008,777860
chn,2009,787889
chn,2010,876218
chn,2011,961229
chn,2012,981233
chn,2013,1059560
chn,2014,1124190
chn,2015,1196060
chn,2016,1257930
chn,2017,1345690
civ,1995,161
civ,1996,157.512
civ,1997,155
civ,1998,119
civ,1999,93.1
civ,2000,125.91
civ,2001,182
civ,2002,148
cmr,1995,399
cmr,1996,334
cmr,1997,317
cmr,1998,281
cmr,1999,248.8
cmr,2000,327.1
cmr,2001,302.8
cmr,2002,308.5
cmr,2003,319
cmr,2004,308
cmr,2005,324
cmr,2006,361.935
cmr,2007,370
cmr,2008,377.477
cmr,2009,435.39004
cmr,2010,463.485
cmr,2011,494.747
cmr,2017,262.124
cmr,2018,256.872
cod,1995,60
cod,1996,146
cod,1997,161
cod,1998,143
cod,1999,146
cod,2000,188
cod,2001,222
cod,2002,160
cod,2003,142
cod,2004,140
cod,2005,140.4
cod,2006,94.1
cod,2007,84.84451
cod,2008,89.07505
cod,2009,34.95985
cod,2010,36.68416
cod,2011,24.64963
cod,2012,22.2422
cod,2013,30
cod,2014,20
cod,2015,16.7
cod,2016,28.3972
cod,2017,22.724
cod,2018,29.514
cog,1995,302
cog,1996,360
cog,1997,234.497
cog,1998,242
cog,2000,83.9
cog,2001,170.9
cog,2002,76
cog,2003,59
cog,2004,135
cog,2005,167.5
cog,2006,211
cog,2007,199
cog,2008,233
cog,2009,207
cog,2011,264.56
cog,2012,266.47
cub,1995,2188.2
cub,1996,2159.2
cub,1997,1962.2
cub,1998,1750.4
cub,1999,1498.8
cub,2000,1853
cub,2002,1681.4
cub,2003,2046.1
cub,2004,1759.5
cub,2005,1513.8
cub,2006,1233.4
cub,2007,1284.8
cze,1995,8023
cze,1996,8111
cze,1997,7721
cze,1998,7018
cze,1999,6957
cze,2000,7300
cze,2001,7299
cze,2002,6597
cze,2003,6518
cze,2004,6590
cze,2005,6667
cze,2006,6922
cze,2007,6900
cze,2008,6803
cze,2009,6503
cze,2010,6591
cze,2011,6714
cze,2012,7265
cze,2013,7601
cze,2014,7797
cze,2015,8298.11259
cze,2016,8843.37327
cze,2017,9497.56645
cze,2018,10286.019
deu,1995,70977
deu,1996,71730
deu,1997,72403
deu,1998,72666
deu,1999,73796
deu,2000,75404
deu,2001,75754
deu,2002,71366
deu,2003,71293
deu,2004,72879
deu,2005,76824
deu,2006,78995
deu,2007,79107
deu,2008,82539
deu,2009,82253
deu,2010,83886
deu,2011,85414
deu,2012,88796
deu,2013,89615
deu,2014,90976
deu,2015,91603
deu,2016,94197
deu,2017,95530
deu,2018,98000
dji,1999,150
dji,2000,145
dji,2001,173
dji,2002,127
dji,2003,82
dji,2005,145
dnk,1995,4684
dnk,1996,4621
dnk,1997,4978
dnk,1998,5163
dnk,1999,5113
dnk,2000,5537
dnk,2001,5721
dnk,2002,5754
dnk,2003,5893
dnk,2004,6074
dnk,2005,6136
dnk,2006,6274
dnk,2007,6353
dnk,2008,6475
dnk,2009,6367
dnk,2010,6577
dnk,2011,6890
dnk,2012,7020
dnk,2013,7076
dnk,2014,6808
dnk,2015,6808
dnk,2016,6653
dza,1995,1797
dza,1996,1826
dza,1997,1360
dza,1998,1163
dza,1999,1069
dza,2000,1142
