global,time,se_sec_nenr_ma
world,1998,56.13721
world,1999,56.27319
world,2000,57.05331
world,2001,57.39193
world,2002,57.67075
world,2003,58.27267
world,2004,58.98751
world,2005,59.49344
world,2006,60.02987
world,2007,60.96726
world,2008,61.61238
world,2009,61.87435
world,2010,62.96926
world,2011,63.77674
world,2012,63.75537
world,2013,64.96435
world,2014,65.63201
world,2015,65.66595
world,2016,65.81118
world,2017,66.13172
world,2018,66.2793
