global,time,se_xpd_totl_gb_zs
world,2000,13.52858
world,2001,14.47763
world,2002,14.52521
world,2003,15.09539
world,2004,14.23504
world,2005,14.12779
world,2006,14.16248
world,2007,14.10441
world,2008,14.09696
world,2009,14.02987
world,2010,14.64214
world,2011,13.79371
world,2012,14.4072
world,2013,14.1891
world,2014,13.88379
world,2015,13.92291
world,2016,13.97149
world,2017,14.49976
world,2018,13.82757
