global,time,fm_lbl_bmny_gd_zs
world,1960,50.04097
world,1961,51.66412
world,1962,52.37388
world,1963,53.8683
world,1964,54.11155
world,1965,54.50451
world,1966,53.44476
world,1967,55.59521
world,1968,55.85014
world,1969,53.2203
world,1970,57.39295
world,1971,60.64122
world,1972,64.80468
world,1973,64.6056
world,1974,60.76458
world,1975,61.90608
world,1976,62.40289
world,1977,62.67071
world,1978,66.16928
world,1979,64.54719
world,1980,63.89024
world,1981,65.32464
world,1982,68.11035
world,1983,71.57184
world,1984,74.09589
world,1985,75.43203
world,1986,83.71514
world,1987,88.56116
world,1988,92.25468
world,1989,93.35886
world,1990,88.07637
world,1991,89.94657
world,1992,88.34766
world,1993,91.93798
world,1994,91.33708
world,1995,92.63992
world,1996,89.94226
world,1997,90.4155
world,1998,92.83116
world,1999,98.99844
world,2000,99.22792
world,2001,95.49297
world,2002,96.19641
world,2003,97.02188
world,2004,95.85208
world,2005,95.11966
world,2006,95.89288
world,2007,96.22425
world,2008,99.80952
world,2009,110.56563
world,2010,107.78139
world,2011,109.18954
world,2012,111.40323
world,2013,111.89865
world,2014,114.34877
world,2015,119.17909
world,2016,123.29996
world,2017,121.59272
world,2018,122.58364
world,2019,125.44165
world,2020,143.94742
