global,time,ny_gdp_petr_rt_zs
world,1970,0.45885
world,1971,0.51068
world,1972,0.55902
world,1973,0.72278
world,1974,2.8347
world,1975,2.43765
world,1976,2.68675
world,1977,2.6348
world,1978,2.27259
world,1979,3.9208
world,1980,4.47191
world,1981,3.36569
world,1982,2.19602
world,1983,2.47165
world,1984,2.4374
world,1985,2.2079
world,1986,0.92748
world,1987,1.2464
world,1988,0.99763
world,1989,1.46406
world,1990,1.84642
world,1991,0.94891
world,1992,0.95885
world,1993,0.96876
world,1994,0.83772
world,1995,0.84204
world,1996,1.08486
world,1997,0.93538
world,1998,0.48862
world,1999,0.81029
world,2000,1.50328
world,2001,1.12382
world,2002,1.10796
world,2003,1.22619
world,2004,1.61253
world,2005,2.24341
world,2006,2.44887
world,2007,2.30399
world,2008,2.9299
world,2009,1.61942
world,2010,2.12121
world,2011,2.81689
world,2012,2.69827
world,2013,2.44876
world,2014,2.1328
world,2015,0.95651
world,2016,0.80189
world,2017,1.09573
world,2018,1.51689
world,2019,1.30066
