geo,time,se_sec_cuat_po_ma_zs
afg,1975,2.43703
afg,1979,5.47785
afg,2021,6.04469
and,2003,26.31579
and,2004,31.59671
and,2005,28.71734
and,2006,29.54921
and,2014,32.17099
and,2015,31.96835
and,2016,31.83362
are,1975,6.59956
are,2005,19.82382
are,2017,55.04297
are,2018,56.51973
are,2019,54.38645
arm,2001,41.57643
arm,2011,45.07081
arm,2015,48.52003
arm,2017,44.77899
arm,2020,44.67221
asm,1974,15.80335
asm,1980,20.246
asm,1990,25.09227
aus,1971,33.22415
aus,2004,30.9891
aus,2005,32.29707
aus,2006,32.86286
aus,2007,33.90703
aus,2008,35.83086
aus,2009,37.2595
aus,2010,38.45932
aus,2011,38.76749
aus,2012,42.79552
aus,2013,37.45544
aus,2014,41.02993
aus,2015,41.29295
aus,2016,42.80359
aus,2017,43.35481
aus,2018,43.46283
aus,2019,45.4929
aus,2020,46.81657
aut,1971,4.39749
aut,1981,5.30118
aut,1991,7.57567
aut,2005,27.05878
aut,2007,27.40195
aut,2008,28.18557
aut,2009,28.56597
aut,2010,28.75725
aut,2011,29.13744
aut,2012,29.8585
aut,2013,30.29904
aut,2014,30.08359
aut,2015,31.25186
aut,2016,31.8293
aut,2017,32.16513
aut,2019,33.49539
aze,1999,39.77281
aze,2007,34.39748
aze,2008,34.52291
aze,2009,34.53246
aze,2010,34.26445
aze,2011,34.26799
aze,2012,34.30754
aze,2013,34.29203
aze,2014,34.3459
aze,2015,34.40121
aze,2016,34.45237
aze,2017,34.46946
aze,2019,34.52941
bel,1970,7.34366
bel,2006,28.44515
bel,2008,29.76253
bel,2009,30.90623
bel,2010,31.78344
bel,2011,32.26054
bel,2012,32.59865
bel,2013,32.73644
bel,2014,32.88417
bel,2015,32.65915
bel,2016,33.2288
bel,2017,35.65692
bel,2019,35.62077
ben,1979,0.54174
ben,2002,3.755
bfa,2006,2.83457
bfa,2007,0.44892
bfa,2014,0
bfa,2018,4.83641
bgd,1974,1.57508
bgd,1981,2.17615
bgd,2001,4.91579
bgd,2011,14.38898
bgd,2012,14.64906
bgd,2013,12.90655
bgd,2014,13.22611
bgd,2015,18.11146
bgd,2016,18.61955
bgd,2017,19.18964
bgd,2018,19.89106
bgd,2019,20.56097
bgd,2020,27.31833
bgr,1975,7.11627
bgr,1992,14.87876
bgr,2001,16.47987
bgr,2006,16.77098
bgr,2007,17.14447
bgr,2008,17.50939
bgr,2009,17.58469
bgr,2010,17.47617
bgr,2011,17.69292
bgr,2012,18.12347
bgr,2013,19.29771
bgr,2014,20.15373
bgr,2015,20.38969
bgr,2016,20.56251
bgr,2017,20.57752
bgr,2020,22.11832
bhr,1971,4.95658
bhr,1991,10.24269
bhr,2010,20.14194
bhr,2016,23.03911
bhr,2017,23.45585
bhr,2018,30.55439
bhr,2020,32.28688
bhs,1990,13.61051
bhs,2000,17.85386
bhs,2010,27.4248
bih,2010,10.54159
bih,2011,11.63255
bih,2014,12.63808
bih,2015,13.07519
bih,2016,13.42049
bih,2018,13.35563
bih,2020,14.1666
blr,1970,7.23582
blr,1989,13.7319
blr,2009,63.12999
blr,2019,74.29651
blz,1970,2.11135
blz,1980,3.3841
blz,1991,7.4947
blz,2005,11.25991
blz,2010,15.05187
blz,2020,19.5664
bmu,1970,8.6073
bmu,1991,19.26467
bmu,2000,51.23542
bmu,2010,47.29769
bmu,2016,51.23938
bol,2001,18.83255
bol,2006,22.7934
bol,2008,22.56739
bol,2009,24.65012
bol,2012,25.32827
bol,2015,27.20868
bol,2019,32.59585
brb,1970,1.87056
brb,2000,14.16686
brn,1971,4.1563
brn,1981,11.48472
brn,2011,24.4949
btn,2012,7.94701
btn,2017,13.64939
bwa,1971,0.98167
caf,1975,0.3186
caf,1988,3.52065
can,1976,33.40957
can,1981,35.90887
can,2006,57.90419
can,2011,60.73122
can,2016,60.39702
che,1980,16.95611
che,2009,43.02706
che,2010,44.57187
che,2011,44.54727
che,2012,45.9617
chn,1982,1.47863
chn,2000,5.40475
civ,1988,10.07362
civ,1998,12.14012
civ,2014,7.44123
cmr,1976,0.47359
cmr,2010,18.56495
cog,1984,5.06093
col,2019,19.94094
col,2020,20.67062
cpv,2015,11.38065
cri,2020,21.15323
cub,2002,9.19066
cub,2012,29.36452
cym,1970,4.99664
cym,1989,17.1518
cym,2004,31.00038
cym,2005,38.47945
cym,2006,38.56539
cym,2007,44.53257
cym,2008,42.68836
cym,2014,55.07399
cym,2015,54.00442
cyp,1992,19.75613
cyp,2004,28.44673
cyp,2005,27.17751
cyp,2006,28.33374
cyp,2007,30.64017
cyp,2008,31.22122
cyp,2009,30.71043
cyp,2010,32.21876
cyp,2011,33.63835
cyp,2012,34.48775
cyp,2013,34.60918
cyp,2014,35.3687
cyp,2015,35.08104
cyp,2016,35.64652
cyp,2018,36.2759
cyp,2020,36.84446
cze,1991,11.4652
cze,2006,15.71163
cze,2007,15.64726
cze,2008,15.8347
cze,2009,16.82944
cze,2010,17.98755
cze,2011,19.05298
cze,2012,19.53499
cze,2013,20.33225
cze,2014,19.70455
cze,2015,19.83895
cze,2016,20.76521
deu,2006,32.37494
deu,2007,32.83088
deu,2008,34.00198
deu,2009,34.86217
deu,2010,35.17283
deu,2011,35.57767
deu,2012,36.04488
deu,2013,36.32527
deu,2014,37.05575
deu,2015,37.69257
deu,2016,38.63501
deu,2018,37.66194
dma,2001,5.23407
dnk,2011,27.94457
dnk,2012,28.57143
dnk,2013,29.07801
dnk,2014,37.30724
dnk,2015,30.66362
dnk,2016,32.18192
dnk,2018,32.31917
dnk,2020,33.61345
dom,2016,18.86336
egy,1986,7.48694
egy,1996,6.30401
egy,2006,19.91688
egy,2017,13.22705
esp,2004,22.8739
esp,2005,24.54645
esp,2006,24.74731
esp,2007,25.21572
esp,2008,25.4806
esp,2009,25.51372
esp,2010,26.23335
esp,2011,27.04934
esp,2012,27.34423
esp,2014,29.1039
esp,2015,29.00108
esp,2016,29.36347
esp,2018,30.82397
esp,2020,32.94337
est,2000,26.77267
est,2020,41.11709
eth,2007,3.432
eth,2011,8.46099
fin,1985,16.1657
fin,1990,17.63067
