global,time,se_prm_nint_ma_zs
world,2006,65.13577
world,2007,65.9823
world,2008,65.9946
world,2009,65.87284
world,2010,66.20433
world,2011,67.17908
world,2012,67.29769
world,2013,67.72314
world,2014,68.62365
world,2015,69.71645
world,2016,70.58589
world,2017,70.26155
world,2018,70.31409
