geo,time,st_int_xpnd_mp_zs
ben,2011,3.51068
ben,2012,3.71072
ben,2013,1.17712
ben,2014,1.30145
ben,2015,4.03631
ben,2016,2.34141
ben,2017,3.68357
ben,2018,1.62787
ben,2019,3.01862
bfa,2005,5.30761
bfa,2006,5.78586
bfa,2007,5.45863
bfa,2008,4.65681
bfa,2009,5.69339
bfa,2010,4.2982
bfa,2011,3.66874
bfa,2012,3.76807
bfa,2013,4.5208
bfa,2014,4.06484
bfa,2015,4.24148
bfa,2016,4.32599
bfa,2017,3.9314
bfa,2018,3.69659
bfa,2019,3.68693
bgd,1996,3.36884
bgd,1997,4.00795
bgd,1998,3.69681
bgd,1999,4.19828
bgd,2000,4.86916
bgd,2001,3.53188
bgd,2002,3.38821
bgd,2003,3.51403
bgd,2004,3.40726
bgd,2005,2.5224
bgd,2006,2.86585
bgd,2007,2.71054
bgd,2008,2.92041
bgd,2009,2.82151
bgd,2010,2.83331
bgd,2011,2.1622
bgd,2012,2.35503
bgd,2013,3.14662
bgd,2014,1.73098
bgd,2015,1.81456
bgd,2016,1.75013
bgd,2017,1.98538
bgd,2018,1.84035
bgd,2019,2.16242
bgd,2020,1.16069
bgr,1995,4.7986
bgr,1996,5.27864
bgr,1997,8.30876
bgr,1998,10.91942
bgr,1999,11.38462
bgr,2000,9.96116
bgr,2001,9.7485
bgr,2002,11.63127
bgr,2003,12.13803
bgr,2004,11.49167
bgr,2005,9.01582
bgr,2006,8.00074
bgr,2007,6.07776
bgr,2008,6.33607
bgr,2009,7.19075
bgr,2010,3.62036
bgr,2011,3.1393
bgr,2012,3.17218
bgr,2013,3.69029
bgr,2014,3.92172
bgr,2015,4.19411
bgr,2016,5.12298
bgr,2017,5.49317
bgr,2018,5.36158
bgr,2019,5.24824
bgr,2020,3.30633
bhr,1995,7.76258
bhr,1996,6.40897
bhr,1997,7.20593
bhr,1998,8.27737
bhr,1999,9.47528
bhr,2000,8.28129
bhr,2001,8.82201
bhr,2002,9.77973
bhr,2003,7.92901
bhr,2004,6.46233
bhr,2005,5.57988
bhr,2006,5.52814
bhr,2007,5.31429
bhr,2008,4.3253
bhr,2009,5.25806
bhr,2010,5.22318
bhr,2011,6.47494
bhr,2012,3.78653
bhr,2013,3.53318
bhr,2014,2.8551
bhr,2015,22.14613
bhr,2016,15.4922
bhr,2017,13.31025
bhr,2018,9.2765
bhs,1995,13.4202
bhs,1996,13.92772
bhs,1997,13.79801
bhs,1998,11.36364
bhs,1999,11.87376
bhs,2000,11.56615
bhs,2001,12.31367
bhs,2002,12.22343
bhs,2003,14.17057
bhs,2004,14.94525
bhs,2005,14.41111
bhs,2006,12.35902
bhs,2007,11.85933
bhs,2008,9.99578
bhs,2009,10.34338
bhs,2010,9.78106
bhs,2011,8.14923
bhs,2012,7.79992
bhs,2013,7.55077
bhs,2014,6.4668
bhs,2015,8.19964
bhs,2016,9.84966
bhs,2017,11.25681
bhs,2018,10.14404
bhs,2019,10.59399
bhs,2020,4.86908
bih,1998,2.39542
bih,1999,2.28851
bih,2000,2.21297
bih,2001,2.20131
bih,2002,2.35566
bih,2003,2.40846
bih,2004,2.28537
bih,2005,2.00259
bih,2006,2.57791
bih,2007,2.94985
bih,2008,3.02681
bih,2009,3.3044
bih,2010,2.80871
bih,2011,2.0546
bih,2012,2.04127
bih,2013,2.00852
bih,2014,1.95134
bih,2015,3.18784
bih,2016,3.23639
bih,2017,3.33563
bih,2018,3.27104
bih,2019,3.52321
bih,2020,1.67976
blr,1995,1.75579
blr,1996,1.95202
blr,1997,1.40383
blr,1998,1.70022
blr,1999,1.99844
blr,2000,3.24364
blr,2001,5.74
blr,2002,5.8055
blr,2003,3.7671
blr,2004,3.03568
blr,2005,3.00092
blr,2006,2.92697
blr,2007,2.43908
blr,2008,2.10317
blr,2009,2.51181
blr,2010,2.03145
blr,2011,1.52612
blr,2012,1.93173
blr,2013,2.8721
blr,2014,2.98496
blr,2015,3.04691
blr,2016,2.97074
blr,2017,2.96477
blr,2018,2.83028
blr,2019,2.88948
blr,2020,1.3518
blz,1995,10.1382
blz,1996,11.84336
blz,1997,8.0095
blz,1998,8.46355
blz,1999,8.29579
blz,2000,7.45429
blz,2001,7.65049
blz,2002,7.73804
blz,2003,7.67535
blz,2004,7.67792
blz,2005,6.40108
blz,2006,5.73309
blz,2007,5.72942
blz,2008,4.59379
blz,2009,5.4969
blz,2010,4.81711
blz,2011,3.89778
blz,2012,3.80469
blz,2013,3.87562
blz,2014,4.43431
blz,2015,4.22789
blz,2016,4.85947
blz,2017,4.87183
blz,2018,4.32865
blz,2019,3.77329
blz,2020,2.44395
bmu,2006,20.14058
bmu,2007,19.85999
bmu,2008,20.85697
bmu,2009,19.86796
bmu,2010,20.8359
bmu,2011,18.13889
bmu,2012,18.17716
bmu,2013,16.88543
bmu,2014,19.31937
bmu,2015,19.85773
bmu,2016,19.38693
bmu,2017,18.04968
bmu,2018,15.20178
bmu,2019,15.37893
bmu,2020,12.30149
bol,1995,4.57462
bol,1996,5.02478
bol,1997,4.65491
bol,1998,4.45455
bol,1999,5.88324
bol,2000,5.58272
bol,2001,5.75919
bol,2002,5.50194
bol,2003,9.61861
bol,2004,9.95301
bol,2005,8.97176
bol,2006,10.41397
bol,2007,9.29906
bol,2008,6.59385
bol,2009,7.52552
bol,2010,6.83931
bol,2011,4.67125
bol,2012,5.06104
bol,2013,5.96708
bol,2014,7.37697
bol,2015,7.13017
bol,2016,8.8982
bol,2017,8.47644
bol,2018,8.14273
bol,2019,9.29924
bol,2020,3.88792
bra,1995,6.29138
bra,1996,7.55552
bra,1997,8.05318
bra,1998,7.93266
bra,1999,5.5756
bra,2000,6.23405
bra,2001,5.16076
bra,2002,4.71217
bra,2003,4.49059
bra,2004,4.67706
bra,2005,6.03335
bra,2006,6.23418
bra,2007,6.60873
bra,2008,6.01897
bra,2009,7.39525
bra,2010,7.74696
bra,2011,8.14537
bra,2012,8.55039
bra,2013,8.99366
bra,2014,9.40725
bra,2015,8.36692
bra,2016,8.38406
bra,2017,9.84805
bra,2018,8.30927
bra,2019,7.87235
bra,2020,2.84831
brb,1995,11.3199
brb,1996,10.86663
brb,1997,9.83853
brb,1998,9.93635
brb,1999,9.75939
brb,2000,9.68029
brb,2001,10.99065
brb,2002,10.59303
brb,2003,9.75275
brb,2004,9.29994
brb,2005,7.8155
brb,2006,7.8689
brb,2007,7.85371
brb,2008,6.29555
brb,2009,6.47732
brb,2010,6.73159
brb,2011,5.10543
brb,2012,4.46969
brb,2013,4.23894
brb,2014,4.97457
brb,2015,5.3051
brb,2016,4.44967
brn,2001,21.34161
brn,2002,16.88894
brn,2003,20.46495
brn,2004,15.82904
brn,2005,14.82991
brn,2006,14.56164
brn,2007,12.99634
brn,2008,10.77418
brn,2009,12.83425
brn,2012,8.7484
brn,2013,8.02991
brn,2014,10.52135
brn,2015,9.42545
brn,2016,11.59672
brn,2017,11.66529
brn,2018,10.29622
btn,2008,8.48964
btn,2009,4.98412
btn,2010,4.59774
btn,2011,4.44593
btn,2012,5.71256
btn,2013,6.08628
btn,2014,3.80915
btn,2015,3.65545
btn,2016,4.20267
btn,2017,5.10155
btn,2018,6.32769
btn,2019,5.44837
btn,2020,4.20707
bwa,1995,7.46463
bwa,1996,5.07911
bwa,1997,4.3972
bwa,1998,5.50779
bwa,1999,6.48125
bwa,2000,9.00665
bwa,2001,10.40423
bwa,2002,9.4681
bwa,2003,8.66545
bwa,2004,7.74975
bwa,2005,8.21587
bwa,2006,8.32263
bwa,2007,5.96657
bwa,2008,4.00528
bwa,2009,4.27145
bwa,2010,4.49962
bwa,2011,3.82716
bwa,2012,3.74404
bwa,2013,2.85265
bwa,2014,3.07578
bwa,2015,3.16827
bwa,2016,3.42834
bwa,2017,4.03239
bwa,2018,3.78002
bwa,2019,3.82987
bwa,2020,1.24911
can,1995,6.35243
can,1996,6.62159
can,1997,5.98283
can,1998,5.55493
can,1999,5.40185
can,2000,5.27696
can,2001,5.46185
can,2002,5.27063
can,2003,5.52716
can,2004,5.71926
can,2005,5.90536
can,2006,6.0669
can,2007,6.60258
can,2008,6.66758
can,2009,7.32841
can,2010,7.44257
can,2011,7.25592
che,1995,8.70211
che,1996,8.9589
che,1997,8.40588
che,1998,8.11054
che,1999,7.225
che,2000,6.08766
che,2001,5.79251
che,2002,5.78215
che,2003,5.9988
che,2004,5.95748
che,2005,5.59535
che,2006,5.43426
che,2007,5.14171
che,2008,4.65042
che,2009,4.83899
che,2010,4.3535
che,2011,4.1697
che,2012,4.72019
che,2013,4.61859
che,2014,5.27008
che,2015,5.37137
che,2016,5.16004
che,2017,5.46653
che,2018,5.27212
che,2019,5.22575
che,2020,2.48984
chl,1995,5.10355
chl,1996,4.58958
chl,1997,4.85308
chl,1998,5.15661
chl,1999,5.33573
chl,2000,4.12916
chl,2001,4.38562
chl,2002,4.46333
chl,2003,4.85151
chl,2004,4.28555
chl,2005,2.91629
chl,2006,2.76701
chl,2007,2.61075
chl,2008,1.97755
chl,2009,3.00869
chl,2010,2.55971
chl,2011,2.42355
chl,2012,2.6588
chl,2013,2.76756
chl,2014,3.26105
chl,2015,3.51167
chl,2016,3.97848
chl,2017,4.11933
chl,2018,3.67068
chl,2019,3.91906
chl,2020,1.08381
chn,1997,9.43618
chn,1998,10.19513
chn,1999,9.74565
chn,2000,8.79156
chn,2001,8.30637
chn,2002,7.97124
chn,2003,4.07553
chn,2004,3.85838
civ,2005,7.44799
civ,2006,7.66947
civ,2007,7.05293
civ,2008,6.27056
civ,2009,6.05638
civ,2010,5.2754
civ,2011,6.11814
civ,2012,4.67176
civ,2013,4.83012
civ,2014,5.13405
civ,2015,4.93351
civ,2016,4.58037
civ,2017,4.75993
civ,2018,4.74093
civ,2019,5.45005
civ,2020,2.48812
cmr,1995,8.70821
cmr,1996,6.78672
cmr,1997,7.31529
cmr,1998,9.03895
cmr,1999,9.37073
cmr,2000,9.61428
cmr,2001,6.79885
cmr,2002,6.58771
cmr,2003,7.897
cmr,2004,9.91993
cmr,2005,11.03879
cmr,2006,11.18603
cmr,2007,7.77509
cmr,2008,6.97088
cmr,2009,7.60576
cmr,2010,4.15512
cmr,2011,7.56244
cmr,2012,8.18689
cmr,2013,8.98782
cmr,2014,8.57449
cmr,2015,9.52573
cmr,2016,11.55938
cmr,2017,11.62119
cmr,2018,10.86375
cmr,2019,10.83056
cmr,2020,9.66383
cod,2005,1.39911
cod,2006,2.44904
cod,2007,1.5855
cod,2008,1.43903
cod,2009,1.78833
cod,2010,1.40119
cod,2011,2.52437
cod,2012,0.98103
cod,2013,1.2683
cod,2014,1.79244
cod,2015,0.99481
cod,2016,0.42141
cod,2017,0.52057
cod,2018,0.647
cog,1995,5.12683
cog,1996,5.6461
cog,1997,4.86648
cog,1998,4.87338
cog,1999,5.10332
cog,2000,4.94299
cog,2001,5.3472
cog,2002,5.25332
cog,2003,6.91417
cog,2004,8.86519
cog,2007,2.39512
cog,2008,3.62514
cog,2009,7.97631
cog,2010,4.27687
cog,2011,4.10209
cog,2012,4.42227
cog,2013,5.00433
cog,2014,4.76026
cog,2015,5.86052
cog,2016,6.27225
col,1995,7.26789
col,1996,8.71214
col,1997,8.50177
col,1998,8.40481
col,1999,10.01584
col,2000,10.02901
col,2001,9.70461
col,2002,8.70211
col,2003,8.04863
col,2004,7.67076
col,2005,7.62756
col,2006,7.04566
col,2007,6.48445
col,2008,6.096
col,2009,7.07504
col,2010,6.58351
col,2011,5.74071
col,2012,6.3172
col,2013,6.394
col,2014,6.81467
col,2015,7.40787
col,2016,8.69976
col,2017,8.8425
col,2018,8.60451
col,2019,8.6421
col,2020,3.07198
com,1995,14.51372
com,2003,7.78867
com,2004,7.85127
com,2005,13.7969
com,2006,15.14704
com,2007,14.77005
com,2008,12.13141
com,2009,11.78273
com,2010,12.22431
com,2011,12.16726
com,2012,11.28592
com,2014,11.92981
com,2015,12.7204
com,2016,14.17925
com,2017,13.75695
com,2018,13.49646
com,2019,15.00312
com,2020,12.51197
cpv,1995,6.79965
cpv,1996,8.64715
cpv,1997,8.71061
cpv,1998,10.54991
cpv,1999,13.44254
cpv,2000,12.55103
cpv,2001,15.9946
cpv,2002,15.29404
cpv,2003,16.47882
cpv,2004,14.7243
cpv,2005,12.77362
cpv,2006,13.19099
cpv,2007,11.90869
cpv,2008,12.09509
cpv,2009,13.50787
cpv,2010,12.39343
cpv,2011,10.33367
cpv,2012,11.26734
cpv,2013,10.96162
cpv,2014,9.3121
cpv,2015,12.03587
cpv,2016,7.8962
cpv,2017,8.47759
cpv,2018,8.37575
cpv,2019,8.30488
cpv,2020,5.85535
cri,1995,8.48369
cri,1996,8.3134
cri,1997,8.58503
cri,1998,8.60077
cri,1999,9.84907
cri,2000,8.34756
cri,2001,6.6891
cri,2002,6.27629
cri,2003,6.58799
cri,2004,6.643
cri,2005,6.47551
cri,2006,6.15597
cri,2007,6.72623
cri,2008,5.18396
cri,2009,4.68135
cri,2010,4.86475
cri,2011,4.05808
cri,2012,3.92244
cri,2013,3.86063
cri,2014,3.7865
cri,2015,5.23785
cri,2016,5.87626
cri,2017,6.95239
cri,2018,5.82626
cri,2019,6.52452
cri,2020,3.92192
cym,2016,9.62012
cym,2017,12.08274
cym,2018,11.27971
cym,2019,11.09185
cyp,1995,10.23326
cyp,1996,10.04284
cyp,1997,10.82915
cyp,1998,10.74585
cyp,1999,11.50095
cyp,2000,10.5603
cyp,2001,10.99257
cyp,2002,10.62584
cyp,2003,11.03769
cyp,2004,11.52567
cyp,2005,11.77944
cyp,2006,11.11499
cyp,2007,13.25953
cyp,2008,11.19442
cyp,2009,12.3696
cyp,2010,8.74142
cyp,2011,8.64366
cyp,2012,9.22655
cyp,2013,8.76942
cyp,2014,8.91864
cyp,2015,10.85798
cyp,2016,10.81885
cyp,2017,8.06163
cyp,2018,8.35491
cyp,2019,8.22093
cyp,2020,4.54991
cze,2002,4.63382
cze,2003,4.4613
cze,2004,3.93089
cze,2005,3.19371
cze,2006,2.94741
cze,2007,3.19476
cze,2008,3.47135
cze,2009,3.80575
cze,2010,3.32779
cze,2011,3.16774
cze,2012,3.07731
cze,2013,3.1561
cze,2014,3.26858
cze,2015,3.43494
cze,2016,3.53622
cze,2017,3.52466
cze,2018,3.436
cze,2019,3.51982
cze,2020,2.2127
deu,1995,11.91166
deu,1996,11.70451
deu,1997,10.98794
deu,1998,10.67288
deu,1999,10.57424
deu,2000,9.67646
deu,2001,9.60164
deu,2002,10.10156
deu,2003,10.02093
deu,2004,9.35091
deu,2005,9.05381
deu,2006,7.93759
deu,2007,7.67513
deu,2008,7.47805
deu,2009,8.23157
deu,2010,7.1938
deu,2011,6.65473
deu,2012,6.81061
deu,2013,6.93126
deu,2014,6.71143
deu,2015,6.46367
deu,2016,6.51429
deu,2017,6.56106
deu,2018,6.32815
deu,2019,6.35186
dji,1995,6.39411
dji,1996,6.95039
dji,1997,6.75881
dji,1998,5.7841
dji,1999,4.47485
dji,2000,5.32907
dji,2001,4.92355
dji,2002,2.97742
dji,2003,3.24338
dji,2004,4.13476
dji,2005,3.98776
dji,2006,3.52953
dji,2007,2.44415
dji,2008,2.20282
dji,2009,3.02611
dji,2010,4.15795
dji,2011,4.96746
dji,2012,4.08589
dma,2014,11.52231
dma,2015,10.41366
dma,2016,10.01751
dma,2017,8.75204
dma,2018,6.66386
dma,2019,7.47815
dma,2020,3.22895
dnk,1995,7.41093
dnk,1996,7.14124
dnk,1997,7.42814
dnk,1998,7.65379
dnk,1999,7.96199
dnk,2000,7.23814
dnk,2001,7.45902
dnk,2002,8.09535
dnk,2003,8.01382
dnk,2004,7.35813
dnk,2005,6.18174
dnk,2006,5.66278
dnk,2007,5.67683
dnk,2008,5.39082
dnk,2009,6.53151
dnk,2010,6.47032
dnk,2011,6.02696
dnk,2012,6.03523
dnk,2013,6.07758
dnk,2014,6.20344
dnk,2015,6.05869
dnk,2016,6.26793
dnk,2017,6.14683
dnk,2018,5.82697
dom,1995,6.46395
dom,1996,6.6566
dom,1997,6.32074
dom,1998,6.11316
dom,1999,6.05751
dom,2000,5.64877
dom,2001,5.87276
