global,time,ag_lnd_crel_ha
world,1961,521087414
world,1962,523256117
world,1963,530955289
world,1964,538424327
world,1965,537102776
world,1966,541898227
world,1967,553522806
world,1968,558890435
world,1969,559475905
world,1970,551605540
world,1971,564258870
world,1972,553063945
world,1973,569014415
world,1974,569158990
world,1975,577997250
world,1976,588954609
world,1977,583008670
world,1978,580794013
world,1979,575497766
world,1980,584934803
world,1981,595193203
world,1982,585551387
world,1983,578693906
world,1984,590946786
world,1985,595331876
world,1986,594791616
world,1987,578047181
world,1988,579687911
world,1989,595274958
world,1990,594003802
world,1991,588577921
world,1992,696198387
world,1993,686613438
world,1994,683022129
world,1995,675648710
world,1996,689580558
world,1997,689222722
world,1998,669215311
world,1999,661359418
world,2000,664116833
world,2001,662178609
world,2002,652227436
world,2003,658780168
world,2004,669746976
world,2005,679661225
world,2006,673481951
world,2007,686633980
world,2008,703264965
world,2009,690900518
world,2010,686200354
world,2011,696342918
world,2012,708597049
world,2013,724518874
world,2014,724249847
world,2015,727377783
world,2016,733367261
world,2017,734598109
world,2018,728365199
