geo,time,sp_reg_brth_ru_zs
afg,2003,4.3
afg,2011,33.1
afg,2015,36
ago,2001,25.8
ago,2016,13.6
alb,2005,98
alb,2009,98.4
alb,2018,98.4
arm,2005,95.2
arm,2010,100
arm,2016,98.1
aze,2006,91.7
bdi,2005,60.1
bdi,2010,74.1
bdi,2017,82.8
ben,2006,48.1
ben,2012,75.8
ben,2014,82.2
ben,2018,82.1
bfa,2006,58.4
bfa,2010,73.6
bgd,2006,8.8
bgd,2011,29.2
bgd,2013,35.5
bgd,2014,19.3
bgd,2018,24.9
bgd,2019,56.6
bih,2006,99.8
blz,2006,96.5
blz,2011,95.6
blz,2015,95
bol,2001,71.9
bol,2003,74.3
bol,2008,72
brb,2012,99.5
btn,2010,99.8
bwa,2000,52
bwa,2008,66.9
bwa,2017,81.5
caf,2006,35.8
caf,2010,51.6
caf,2019,35.1
civ,2005,36.3
civ,2006,40.5
civ,2012,53.6
civ,2016,60.1
cmr,2006,57.6
cmr,2011,47.6
cmr,2014,53.1
cmr,2018,47
cod,2007,30.4
cod,2010,29.2
cod,2014,22.3
cod,2018,29.2
cog,2005,67.8
cog,2012,84.7
cog,2015,91.4
col,2005,76.5
col,2010,94.6
col,2015,95.8
com,2000,87
com,2012,86.5
cri,2011,99.3
cub,2005,99.9
cub,2011,100
cub,2014,100
cub,2019,100
dji,2006,84.3
dom,2006,70.2
dom,2007,71.1
dom,2013,80.4
dom,2014,82.2
dom,2019,87.1
dza,2006,99.2
dza,2013,99.5
dza,2019,99.6
ecu,2004,85.3
ecu,2010,92
ecu,2012,93.2
ecu,2015,91
egy,2005,98.8
egy,2014,99.3
eth,2005,4.9
eth,2016,1.6
gab,2000,87.2
gab,2012,91
geo,2005,87.1
geo,2011,98.3
geo,2013,99.7
geo,2015,99.5
geo,2017,98.7
gha,2006,42
gha,2008,64.6
gha,2011,55.2
gha,2014,63.2
gha,2018,63.8
gin,2005,32.8
gin,2012,48.8
gin,2018,54
gmb,2006,53.9
gmb,2010,51.6
gmb,2013,72.2
gmb,2018,58.4
gmb,2020,63.3
gnb,2006,33.1
gnb,2010,21.1
gnb,2014,17.5
gnb,2019,41.4
gnq,2000,28.2
gnq,2011,47.4
gtm,2009,96.9
gtm,2015,96.2
guy,2005,94.4
guy,2007,92.4
guy,2009,87
guy,2014,88.2
guy,2020,88.2
hnd,2006,92.7
hnd,2012,92.7
hnd,2019,96.8
hti,2005,78.3
hti,2006,78.3
hti,2012,77.1
hti,2017,82
idn,2002,43
idn,2007,39.8
idn,2012,57.8
idn,2013,59.9
idn,2016,65.34
idn,2017,73.1
idn,2021,72.7
ind,2006,34.8
ind,2014,67.1
ind,2016,76.1
irn,2010,98.1
irq,2006,95.6
irq,2011,98.9
irq,2018,99.2
