global,time,bx_klt_dinv_wd_gd_zs
world,1970,0.48116
world,1971,0.47142
world,1972,0.42297
world,1973,0.48055
world,1974,0.49752
world,1975,0.48727
world,1976,0.34291
world,1977,0.41007
world,1978,0.43308
world,1979,0.45279
world,1980,0.51564
world,1981,0.63838
world,1982,0.60236
world,1983,0.47794
world,1984,0.51092
world,1985,0.36334
world,1986,0.56801
world,1987,0.84783
world,1988,0.90024
world,1989,1.03837
world,1990,1.09461
world,1991,0.76993
world,1992,0.74196
world,1993,0.90637
world,1994,1.00281
world,1995,1.17467
world,1996,1.31759
world,1997,1.67658
world,1998,2.49419
world,1999,3.65641
world,2000,4.60997
world,2001,2.66151
world,2002,2.15108
world,2003,1.86091
world,2004,2.22848
world,2005,3.28284
world,2006,4.25328
world,2007,5.32805
world,2008,3.79555
world,2009,2.3206
world,2010,2.84536
world,2011,3.16316
world,2012,2.69327
world,2013,2.67552
world,2014,2.38623
world,2015,3.55679
world,2016,3.54469
world,2017,2.68402
world,2018,1.04614
world,2019,1.69643
world,2020,1.41048
