geo,time,sl_fam_work_zs
bdi,2014,29.55
bdi,2015,29.13
bdi,2016,27.65
bdi,2017,27.58
bdi,2018,27.24
bdi,2019,26.92
bel,1991,2.35
bel,1992,2.78
bel,1993,2.5
bel,1994,2.38
bel,1995,2.54
bel,1996,2.56
bel,1997,2.33
bel,1998,1.99
bel,1999,2.47
bel,2000,2.09
bel,2001,1.98
bel,2002,1.84
bel,2003,1.68
bel,2004,1.71
bel,2005,1.7
bel,2006,1.54
bel,2007,1.29
bel,2008,1.21
bel,2009,1.25
bel,2010,0.98
bel,2011,1.11
bel,2012,0.84
bel,2013,0.91
bel,2014,0.91
bel,2015,0.89
bel,2016,0.8
bel,2017,0.73
bel,2018,0.85
bel,2019,0.8
ben,1991,25.95
ben,1992,25.59
ben,1993,25.41
ben,1994,20.28
ben,1995,20.5
ben,1996,20.14
ben,1997,19.74
ben,1998,19.9
ben,1999,19.14
ben,2000,18.89
ben,2001,17.98
ben,2002,17.66
ben,2003,17.28
ben,2004,17.6
ben,2005,17.02
ben,2006,17.11
ben,2007,17.39
ben,2008,18
ben,2009,17.57
ben,2010,17.02
ben,2011,16.89
ben,2012,16.93
ben,2013,16.46
ben,2014,15.88
ben,2015,14.82
ben,2016,15.2
ben,2017,14.15
ben,2018,13.82
ben,2019,12.74
bfa,1991,52.86
bfa,1992,52.49
bfa,1993,52.47
bfa,1994,52.12
bfa,1995,51.96
bfa,1996,51.92
bfa,1997,51.02
bfa,1998,51.56
bfa,1999,50.07
bfa,2000,50.18
bfa,2001,50.38
bfa,2002,49.84
bfa,2003,47.96
bfa,2004,47.28
bfa,2005,48.16
bfa,2006,47.61
bfa,2007,45.96
bfa,2008,46.95
bfa,2009,44.85
bfa,2010,42.33
bfa,2011,40.26
bfa,2012,40.68
bfa,2013,41.92
bfa,2014,41.07
bfa,2015,40.78
bfa,2016,39.55
bfa,2017,38.74
bfa,2018,38.69
bfa,2019,38.27
bgd,1991,25.68
bgd,1992,25.68
bgd,1993,25.67
bgd,1994,25.64
bgd,1995,25.57
bgd,1996,25.48
bgd,1997,25.35
bgd,1998,25.17
bgd,1999,24.92
bgd,2000,24.62
bgd,2001,24.26
bgd,2002,23.89
bgd,2003,23.44
bgd,2004,22.99
bgd,2005,22.43
bgd,2006,21.81
bgd,2007,21.83
bgd,2008,21.84
bgd,2009,21.84
bgd,2010,21.77
bgd,2011,20.58
bgd,2012,19.38
bgd,2013,18.2
bgd,2014,16.98
bgd,2015,15.75
bgd,2016,14.51
bgd,2017,11.86
bgd,2018,11.07
bgd,2019,10.41
bgr,1991,1.04
bgr,1992,1.12
bgr,1993,1.17
bgr,1994,1.21
bgr,1995,1.23
bgr,1996,1.23
bgr,1997,1.44
bgr,1998,1.45
bgr,1999,1.73
bgr,2000,1.73
bgr,2001,1.55
bgr,2002,1.7
bgr,2003,2.03
bgr,2004,2.15
bgr,2005,1.55
bgr,2006,1.28
bgr,2007,1.17
bgr,2008,1.01
bgr,2009,1.02
bgr,2010,1.04
bgr,2011,1.02
bgr,2012,0.83
bgr,2013,0.67
bgr,2014,0.69
bgr,2015,0.65
bgr,2016,0.61
bgr,2017,0.78
bgr,2018,0.75
bgr,2019,0.62
bhr,1991,0.08
bhr,1992,0.07
bhr,1993,0.06
bhr,1994,0.06
bhr,1995,0.05
bhr,1996,0.05
bhr,1997,0.05
bhr,1998,0.04
bhr,1999,0.04
bhr,2000,0.04
bhr,2001,0.04
bhr,2002,0.6
bhr,2003,0.58
bhr,2004,0.08
bhr,2005,0.57
bhr,2006,0.57
bhr,2007,0.55
bhr,2008,0.54
bhr,2009,0.53
bhr,2010,0.54
bhr,2011,0.56
bhr,2012,0.53
