global,time,ne_con_totl_kd
world,1970,14538163243725.5
world,1971,15173424821603
world,1972,15975698216568.40039
world,1973,16762667870580.19922
world,1974,17068165323973.30078
world,1975,17590870269713.19922
world,1976,18339875642991.30078
world,1977,18941246361870.30078
world,1978,19657156474047.80078
world,1979,20358659614214.69531
world,1980,20752971114409
world,1981,21112962589217
world,1982,21440255455146.89453
world,1983,22074906259546.80078
world,1984,22759954028753.89453
world,1985,23568308563378.80078
world,1986,24424685385598.60156
world,1987,25210020608604
world,1988,26108306085690.5
world,1989,26889660099831.80078
world,1990,27685162424628.39844
world,1991,28125747105246.10156
world,1992,28821870475469.89453
world,1993,29334455014216.89453
world,1994,30093101478680.5
world,1995,30798882617624.60156
world,1996,31793677245888
world,1997,32763587134799
world,1998,33800633414950.10156
world,1999,35111220115724.39844
world,2000,36516990506456
world,2001,37577853700707.29688
world,2002,38629528939097.60156
world,2003,39697513463417.69531
world,2004,41089836835536.09375
world,2005,42623368317211.20312
world,2006,44092878670181
world,2007,45869308073373.20312
world,2008,46811860969869
world,2009,47247459049810.89844
world,2010,48611336445696.79688
world,2011,49932768275529.50781
world,2012,51023093823685.29688
world,2013,52248481991379.39844
world,2014,53602978451455
world,2015,55144364225376.09375
world,2016,56703158050763.69531
world,2017,58393350115040.09375
world,2018,60246199634778.49219
world,2019,61838418191982.09375
world,2020,59695734165171.50781
