geo,time,se_sec_tcaq_lo_fe_zs
ago,2015,59.43937
alb,2018,59.39298
alb,2020,47.1803
and,2006,100
and,2009,100
and,2010,100
and,2011,100
and,2012,100
are,1999,60.05709
are,2000,55.75277
are,2001,57.1398
are,2002,56.07271
are,2004,49.35023
are,2005,48.70474
are,2015,100
are,2016,100
are,2019,100
are,2020,100
arm,2019,74.74324
arm,2020,76.14586
atg,2000,32.98969
atg,2008,51.78571
atg,2009,38.51852
atg,2010,39.92933
aze,2016,91.61694
aze,2017,97.74027
aze,2018,99.8012
aze,2019,99.84347
aze,2020,99.68016
bdi,2015,100
bdi,2018,100
bdi,2019,58.32612
ben,2000,43.77407
bfa,2009,56.92619
bfa,2017,57.79882
bfa,2018,60.04141
bfa,2019,60.70205
bfa,2020,65.26904
bgd,1998,53.74653
bgd,1999,54.05916
bgd,2000,54.27949
bgd,2001,51.31852
bgd,2002,62.28616
bgd,2003,46.64491
bgd,2004,44.35119
bgd,2007,54.28199
bgd,2008,75.30484
bgd,2009,71.73495
bgd,2010,68.10081
bgd,2011,72.21014
bgd,2012,78.91277
bgd,2013,78.8914
bgd,2020,63.79986
bhr,2012,83.15789
bhr,2013,83.71904
bhr,2014,84.16928
bhr,2015,83.81727
bhr,2016,85.01677
bhr,2017,85.10874
bhr,2018,100
bhr,2019,100
bhr,2020,100
bhs,2002,100
bhs,2005,89.84962
bhs,2006,90.53549
bhs,2007,87.12776
bhs,2008,86.31985
bhs,2009,83.24873
bhs,2011,82.83302
bhs,2012,89.87342
bhs,2013,79.59668
bhs,2014,79.70688
bhs,2015,88.01653
bhs,2016,85.04902
bhs,2017,88.01653
bhs,2018,84.56938
blr,2013,98.00307
blr,2014,98.1424
blr,2015,97.99825
blr,2016,98.1574
blr,2017,98.55864
blr,2018,98.7171
blz,2000,54.27435
blz,2001,42.46324
blz,2003,42.44966
blz,2004,54.11437
blz,2006,40.42272
blz,2007,40.07634
blz,2008,40.74074
blz,2009,39.48598
blz,2010,43.06652
blz,2012,47.10071
blz,2013,43.24045
blz,2015,55.76748
blz,2016,59.9233
blz,2018,66.25659
blz,2019,70.01704
blz,2020,74.82639
bmu,2001,100
bmu,2002,100
bmu,2003,100
bmu,2004,100
bmu,2005,100
bmu,2006,100
bmu,2011,100
bmu,2012,100
bmu,2014,100
bmu,2016,100
