global,time,sl_fam_work_ma_zs
world,1991,13.37634
world,1992,13.2147
world,1993,12.98285
world,1994,12.70987
world,1995,12.41653
world,1996,12.13262
world,1997,11.81872
world,1998,11.70675
world,1999,11.48969
world,2000,11.19503
world,2001,11.04135
world,2002,10.84915
world,2003,10.67639
world,2004,10.39743
world,2005,10.09913
world,2006,9.65036
world,2007,9.23663
world,2008,8.9205
world,2009,8.73388
world,2010,8.34185
world,2011,7.99201
world,2012,7.69341
world,2013,7.36915
world,2014,7.12815
world,2015,6.78084
world,2016,6.56951
world,2017,6.25278
world,2018,5.96828
world,2019,5.67908
