global,time,se_prm_tenr_fe
world,2009,89.20455
world,2010,89.1279
world,2011,89.34253
world,2012,89.50035
world,2013,89.67569
world,2014,89.76395
world,2015,89.5167
world,2016,89.63329
world,2017,89.56732
world,2018,89.45854
