global,time,sn_itk_defc_zs
world,2001,13.2
world,2002,13.2
world,2003,13.1
world,2004,12.8
world,2005,12.3
world,2006,11.5
world,2007,10.7
world,2008,10.2
world,2009,9.7
world,2010,9.4
world,2011,9
world,2012,8.9
world,2013,8.7
world,2014,8.5
world,2015,8.3
world,2016,8.3
world,2017,8.2
world,2018,8.3
world,2019,8.9
