global,time,sh_sta_suic_p5
world,2000,12.95958
world,2001,12.44152
world,2002,12.19035
world,2003,12.12849
world,2004,12.07328
world,2005,11.98658
world,2006,11.56506
world,2007,11.31147
world,2008,11.19376
world,2009,10.98173
world,2010,10.7991
world,2011,10.59142
world,2012,10.26247
world,2013,9.99844
world,2014,9.72492
world,2015,9.4702
world,2016,9.34017
world,2017,9.23442
world,2018,9.27178
world,2019,9.17048
