global,time,sh_hiv_incd_zs
world,1990,0.64
world,1991,0.7
world,1992,0.75
world,1993,0.77
world,1994,0.82
world,1995,0.82
world,1996,0.81
world,1997,0.8
world,1998,0.78
world,1999,0.75
world,2000,0.71
world,2001,0.66
world,2002,0.63
world,2003,0.6
world,2004,0.57
world,2005,0.55
world,2006,0.53
world,2007,0.51
world,2008,0.49
world,2009,0.48
world,2010,0.47
world,2011,0.46
world,2012,0.44
world,2013,0.43
world,2014,0.41
world,2015,0.39
world,2016,0.38
world,2017,0.36
world,2018,0.35
world,2019,0.33
world,2020,0.31
