global,time,ny_gdp_totl_rt_zs
world,1970,1.08113
world,1971,1.05126
world,1972,1.09245
world,1973,1.51741
world,1974,4.12989
world,1975,3.78915
world,1976,4.02081
world,1977,3.97514
world,1978,3.34178
world,1979,5.4588
world,1980,6.12963
world,1981,4.81021
world,1982,3.44197
world,1983,3.5718
world,1984,3.37198
world,1985,3.11209
world,1986,1.52311
world,1987,1.80627
world,1988,1.6976
world,1989,2.16949
world,1990,2.55577
world,1991,1.54437
world,1992,1.53999
world,1993,1.51019
world,1994,1.32577
world,1995,1.37131
world,1996,1.64699
world,1997,1.46429
world,1998,0.93179
world,1999,1.21519
world,2000,2.11406
world,2001,1.87293
world,2002,1.67183
world,2003,1.86347
world,2004,2.51839
world,2005,3.21356
world,2006,3.6194
world,2007,3.66887
world,2008,4.98101
world,2009,2.78007
world,2010,3.70995
world,2011,4.80869
world,2012,4.11358
world,2013,3.66971
world,2014,3.12989
world,2015,1.71313
world,2016,1.50024
world,2017,1.94605
world,2018,2.44238
world,2019,2.02346
