global,time,ny_gns_ictr_zs
world,1982,23.92076
world,1983,23.36937
world,1984,24.44191
world,1985,24.05305
world,1986,23.55088
world,1987,24.40695
world,1988,25.1746
world,1989,25.04794
world,1990,24.13458
world,1991,23.28549
world,1992,23.7157
world,1993,23.89109
world,1994,24.62738
world,1995,24.57238
world,1996,25.19671
world,1997,25.69456
world,1998,25.37744
world,1999,25.04452
world,2000,25.67923
world,2001,24.97989
world,2002,24.75924
world,2003,25.16549
world,2004,26.42193
world,2005,26.93446
world,2006,28.15589
world,2007,27.99127
world,2008,27.23808
world,2009,25.05096
world,2010,26.32615
world,2011,26.64922
world,2012,26.83234
world,2013,26.45263
world,2014,26.79219
world,2015,26.41265
world,2016,25.86641
world,2017,26.54615
world,2018,26.65052
world,2019,26.49583
world,2020,26.01071
