geo,time,nv_ind_manf_cn
abw,1995,59520000
abw,1996,62000000
abw,1997,67920000
abw,1998,83290000
abw,1999,111000000
abw,2000,131530000
abw,2001,132530000
abw,2002,133530000
abw,2003,134530000
abw,2004,135530000
abw,2005,136530000
abw,2006,137530000
abw,2007,138530000
abw,2008,139530000
abw,2009,140530000
afg,2002,34288037600
afg,2003,37462427100
afg,2004,43848492900
afg,2005,51149586200
afg,2006,57029600800
afg,2007,86148822400
afg,2008,91879808100
afg,2009,80436757300
afg,2010,90942850400
afg,2011,117170960300
afg,2012,128456122200
afg,2013,130961614300
afg,2014,135030315300
afg,2015,139638865200
afg,2016,50313204900
afg,2017,45382180100
afg,2018,81788081200
afg,2019,103506328800
afg,2020,118773880100
ago,1995,547500
ago,1996,28789000
ago,1997,76700000
ago,1998,159977000
ago,1999,553400000
ago,2000,2649300000
ago,2001,7634300000
ago,2002,24365238700
ago,2003,53155135200
ago,2004,92120460400
ago,2005,126086881300
ago,2006,152090945600
ago,2007,170189939800
ago,2008,229975396000
ago,2009,284969862900
ago,2010,349791585400
ago,2011,437658757700
ago,2012,538299943800
ago,2013,636968056000
ago,2014,682255656100
ago,2015,793094243800
ago,2016,1117539288700
ago,2017,1333370450000
ago,2018,1552905141700
ago,2019,1405560186400
ago,2020,2305048890000
alb,1996,16243000000
alb,1997,15186000000
alb,1998,18180000000
alb,1999,20106000000
alb,2000,21641000000
alb,2001,23096000000
alb,2002,24826000000
alb,2003,27951000000
alb,2004,30816000000
alb,2005,35591000000
alb,2006,42807000000
alb,2007,51142000000
alb,2008,54010000000
alb,2009,59457000000
alb,2010,67587000000
alb,2011,73640000000
alb,2012,61502000000
alb,2013,68310000000
alb,2014,74311000000
alb,2015,81347000000
alb,2016,83702000000
alb,2017,95491000000
alb,2018,100385000000
alb,2019,105917000000
alb,2020,100120520000
are,1975,531000000
are,1976,853000000
are,1977,2664000000
are,1978,3159000000
are,1979,3643000000
are,1980,6026000000
are,1981,11613000000
are,1982,13567000000
are,1983,13780000000
are,1984,14035000000
are,1985,13307000000
are,1986,10312000000
are,1987,11720000000
are,1988,11773000000
are,1989,12431000000
are,1990,13948000000
are,1991,14048000000
are,1992,15100000000
are,1993,16017000000
are,1994,14342000000
are,1995,16345000000
are,1996,17926000000
are,1997,22851000000
are,1998,23987000000
are,1999,26539000000
are,2000,34762000000
are,2001,50514000000
are,2002,52685000000
are,2003,55998000000
are,2004,62499000000
are,2005,70365000000
are,2006,78774000000
are,2007,85490000000
are,2008,99641000000
are,2009,85623000000
are,2010,84603000000
are,2011,99202000000
are,2012,105490000000
are,2013,107885000000
